"ABBR";"Forkortelse"
"ADDR";"Adresse"
"ADR1";"Adresse 1"
"ADR2";"Adresse 2"
"ADOP";"Adoptert"
"AFN";"Slekts-filnr. Mormoner"
"AGE";"Alder"
"AGNC";"Agentur"
"ALIA";"Alias"
"ANCE";"Forfedre"
"ANCI";"Mangler forfedre..."
"ANUL";"Annulert ekteskap"
"ASSO";"Forbindelser"
"AUTH";"Forfatter"
"BAPL";"Døpt Mormoner"
"BAPM";"Døpt på bekjennelse"
"BARM";"Bar Mitzvah Jødisk sermoni gutt"
"BASM";"Bat Mitzvah Jødisk sermoni jente"
"BIRT";"Født"
"BLES";"Velsignet / Navnefest"
"BLOB";"Binært dataobjekt"
"BURI";"Gravlagt"
"CALN";"Arkivnr./ISBN/ISSN"
"CAST";"Kaste / Sosial status"
"CAUS";"Dødsårsak"
"CEME";"Kirkegård"
"CENS";"Folketelling"
"CHAN";"Sist endret"
"CHAR";"Tegnsett"
"CHIL";"Barn"
"CHR";"Døpt som barn"
"CHRA";"Døpt som voksen"
"CITY";"Sted/by"
"CONF";"Konfirmert"
"CONL";"Konfirmert Mormoner"
"COPR";"Opphavsrett / Copyright"
"CORP";"Bedrift-/firmanavn"
"CREM";"Kremert"
"CTRY";"Land"
"DATE";"Dato"
"DATA";"Data"
"DEAT";"Død"
"DESC";"Etterkommere"
"DESI";"Mangler etterkommer(e)..."
"DEST";"Mål"
"DIV";"Skilsmisse"
"DIVF";"Skilsmissebegjæring"
"DSCR";"Beskrivelse"
"EDUC";"Utdannelse"
"EMIG";"Utvandret"
"ENDL";"Gave Mormorer"
"ENGA";"Forlovet"
"EVEN";"Hendelse"
"FAM";"Familie"
"FAMC";"Familie-ID for barn"
"FAMF";"Familiekort til Mormonere"
"FAMS";"Familie-ID for ektefelle/partner"
"FCOM";"Første nattverd-måltid"
"FILE";"Ekstern fil"
"FORM";"Format / type"
"GIVN";"Fornavn"
"GRAD";"Uteksaminert"
"HUSB";"Ektemann"
"IDNO";"Person-ID-nr."
"IMMI";"Innvandret"
"LEGA";"Arving"
"MARB";"Lysing av giftemål"
"MARC";"Ekteskapskontrakt"
"MARL";"Ekteskapsattest"
"MARR";"Ekteskap"
"MARS";"Ekteskapsavtale"
"MEDI";"Media-type"
"NAME";"Navn"
"NATI";"Nasjonalitet"
"NATU";"Statsborgerskap"
"NCHI";"Antall barn"
"NICK";"Klengenavn"
"NMR";"Antall ekteskap"
"NOTE";"Note"
"NPFX";"Prefiks"
"NSFX";"Postfiks"
"OBJE";"Multimedia objekt"
"OCCU";"Yrke"
"ORDI";"Rituale rel. tjeneste"
"ORDN";"Ordinert rel. tjeneste"
"PAGE";"Dokument referanse"
"PEDI";"Slektsgrein"
"PLAC";"Stedsnavn"
"PHON";"Tlf.nr."
"POST";"Postnummer"
"PROB";"Skifte"
"PROP";"Eiendom"
"PUBL";"Publikasjon"
"QUAY";"Datakvalitet (0-3)"
"REPO";"Oppbevaringssted"
"REFN";"Referensenummer"
"RELA";"Slektskap"
"RELI";"Religion"
"RESI";"Bosted"
"RESN";"Restriksjon"
"RETI";"Pensjonert"
"RFN";"Ref.nr. (statisk)"
"RIN";"Ref.nr. (dynamisk)"
"ROLE";"Rolle i hendelse"
"SEX";"Kjønn"
"SLGC";"Barn-kobling Mormoner"
"SLGS";"Ekteskap-kobling Mormoner"
"SOUR";"Kilde"
"SPFX";"Etternavn prefiks"
"SSN";"Personnummer"
"STAE";"Stat/Region"
"STAT";"Status"
"SUBM";"Bidragsgiver/Avsender"
"SUBN";"Del av datasamling"
"SURN";"Etternavn"
"TEMP";"Mormoner kirkekode"
"TEXT";"Kildetekst"
"TIME";"Klokkeslett"
"TITL";"Tittel"
"TYPE";"Type"
"WIFE";"Hustru"
"WILL";"Testamente"
"_EMAIL";"E-post-adresse"
"EMAIL";"E-post-adresse"
"_TODO";"Utestående gjøremål"
"_UID";"Universell ID"
"_GMU";"Sist oppdatert av"
"_PRIM";"Merket som hovedbilde"
"_THUM";"Bruke dette bilde som passfoto?"
"_MDCL";"Helse"
"_DEG";"Akademisk grad"
"_MILT";"Militærtjeneste"
"_SEPR";"Separert"
"_DETS";"Ektefelles død"
"CITN";"Statsborgerskap"
"_FA1";"Fakta 1"
"_FA2";"Fakta 2"
"_FA3";"Fakta 3"
"_FA4";"Fakta 4"
"_FA5";"Fakta 5"
"_FA6";"Fakta 6"
"_FA7";"Fakta 7"
"_FA8";"Fakta 8"
"_FA9";"Fakta 9"
"_FA10";"Fakta 10"
"_FA11";"Fakta 11"
"_FA12";"Fakta 12"
"_FA13";"Fakta 13"
"_MREL";"Tilknytning til mor"
"_FREL";"Tilknytning til far"
"_MSTAT";"Ekteskap start-status"
"_MEND";"Ekteskap slutt-status"
"FAX";"Faks"
"FACT";"Fakta"
"WWW";"Hjemmeside"
"MAP";"Kart"
"LATI";"Breddegrad"
"LONG";"Lengdegrad"
"FONE";"Fonetisk"
"ROMN";"Romanisert"
"_NAME";"Navn på postmottager"
"URL";"URL (internett-adresse)"
"_HEB";"Hebraisk"
"_SCBK";"Utklippsbok"
"_TYPE";"Media-type"
"_SSHOW";"Lysbildeframvining"
"_SUBQ";"Kortversjon"
"_BIBL";"Bibliografi"
"EMAL";"Epost-adresse"
"_ADPF";"Adopteret av faren"
"_ADPM";"Adopteret av moren"
"_AKAN";"Også kjent som"
"_AKA";"Også kjent som"
"_BRTM";"Brit mila Jødisk omskjæring"
"_COML";"Samboerskap"
"_EYEC";"Øyefarge"
"_FNRL";"Bisettelse"
"_HAIR";"Hårfarve"
"_HEIG";"Høyde"
"_HOL";"Holocaust"
"_INTE";"Urnenedsettelse"
"_MARI";"Ekteskaps-intensjon"
"_MBON";"Ekteskapsgaranti"
"_MEDC";"Helsetilstand"
"_MILI";"Milit&oelig;rtjeneste"
"_NMR";"Ikke gift"
"_NLIV";"Lever ikke"
"_NMAR";"Aldri gift"
"_PRMN";"Permanent nummer"
"_WEIG";"Vekt"
"_YART";"Yartzeit Jødisk fødselsdag"
"_MARNM";"Navn som gift"
"_STAT";"Sivilstatus"
"COMM";"Kommentar"
"MARR_CIVIL";"Borgelig vielse"
