"ABBR";"Skrót"
"ADDR";"Adres"
"ADR1";"Adres 1"
"ADR2";"Adres 2"
"ADOP";"Adopcja"
"AFN";"Numer Ancestral File (AFN)"
"AGE";"Wiek"
"AGNC";"Agencja"
"ALIA";"Inaczej"
"ANCE";"Przodkowie"
"ANCI";"Udział przodków"
"ANUL";"Unieważnienie"
"ASSO";"Połączenia"
"AUTH";"Autor(ka)"
"BAPL";"Chrzest Mormoński"
"BAPM";"Chrzest"
"BARM";"Bar Mitzva"
"BASM";"Bas Mitzva"
"BIRT";"Narodziny"
"BLES";"Błogosławieństwo"
"BLOB";"Obiekt binarny"
"BURI";"Pogrzeb"
"CALN";"Numer źródła"
"CAST";"Kasta / Status społeczny"
"CAUS";"Przyczyna śmierci"
"CEME";"Cmentarz"
"CENS";"Spis powszechny"
"CHAN";"Ostatnia zmiana"
"CHAR";"Zestaw znaków"
"CHIL";"Dziecko"
"CHR";"Chrzciny"
"CHRA";"Chrzciny dorosłego"
"CITY";"Miasto"
"CONF";"Bierzmowanie"
"CONL";"Bierzmowanie Mormońskie"
"COPR";"Prawa autorskie"
"CORP";"Korporacja / Firma"
"CREM";"Kremacja"
"CTRY";"Kraj"
"DATA";"Dane"
"DATE";"Data"
"DEAT";"Śmierć"
"DESC";"Potomkowie"
"DESI";"Udział potomków"
"DEST";"Cel"
"DIV";"Rozwód"
"DIVF";"Uzyskanie rozwodu"
"DSCR";"Opis"
"EDUC";"Edukacja"
"EMIG";"Emigracja"
"ENDL";"Posag Mormoński"
"ENGA";"Zaręczyny"
"EVEN";"Wydarzenie"
"FAM";"Rodzina"
"FAMC";"W rodzinie jako dziecko"
"FAMF";"Dane rodziny"
"FAMS";"W rodzinie jako małżonek"
"FCOM";"Pierwsza Komunia"
"FILE";"Zewnętrzny plik"
"FORM";"Format"
"GIVN";"Imię (Imiona)"
"GRAD";"Ukończenie studiów"
"IDNO";"Numer Identyfikacyjny"
"IMMI";"Imigracja"
"LEGA";"Legatariusz / Zapisobiorca"
"MARB";"Zapowiedzi"
"MARC";"Kontrakt małżeński"
"MARL";"Licencja małżeńska"
"MARR";"Ślub"
"MARS";"Układ małżeński"
"MEDI";"Typ mediów"
"NAME";"Nazwisko"
"NATI";"Narodowość"
"NATU";"Naturalizacja"
"NCHI";"Ilość dzieci"
"NICK";"Pseudonim"
"NMR";"Liczba małżeństw"
"NOTE";"Notka"
