"stat_sources";"Kilder,"
"stat_other";"Andre poster"
"stat_individuals";"Personer,"
"stat_families";"Familier,"
"gedcom_block";"Gedcomvelkomst blok"
"gedcom_favorites_block";"Gedcomfavoritter blok"
"gedcom_favorites";"Denne Gedcom-fils favoritter"
"gedcom_news_block";"Gedcomnyheder blok"
"gedcom_news";"Nyheder"
"gedcom_stats";"Gedcom statistik:"
"gedcom_created_using";"Denne Gedcom-fil blev lavet med <b>#SOFTWARE# #VERSION#</b>."
"gedcom_created_on2";"den <b>#DATE#</b>"
"html_block_name";"HTML"
"config_block";"Indstil blok"
"logged_in_users_block";"Brugere online blok"
"login_block";"Log ind blok"
"random_media_block";"Tilfældigt medie blok"
"recent_changes_block";"Nylige blokændringer"
"review_changes_block";"Foreliggende ændringer."
"rss_feeds";"RSS Feeds"
"theme_select_block";"Temavalg blok"
"todays_events_block";"På denne dag blok"
"top10_pageviews";"Oftest viste"
"block_top10";"Top 10 for efternavnes hyppighed"
"upcoming_events_block";"Kommende begivenheder blok"
"user_news_block";"Brugernotat blok"
"user_favorites_block";"Brugerfavoritter blok"
"user_messages_block";"Brugerbeskeder blok"
"welcome_block";"Brugervelkomst blok"
"login";"Login"
"welcome_page";"Velkomstside"
"help_not_exist";"<b>Der findes desværre ikke en hjælpe tekst for denne side eller dette emne endnu</b>"
"mygedview";"Min Portal"
"charts";"Diagrammer"
"pedigree_chart";"Anetræ"
"descend_chart";"Efterkommerdiagram"
"timeline_chart";"Tidslinjediagram"
"relationship_chart";"Slægtskabsdiagram"
"ancestry_chart";"Stamtræ"
"fan_chart";"Anehjul"
"hourglass_chart";"Timeglasdiagram"
"lists";"Lister"
"individual_list";"Personliste"
"family_list";"Familieliste"
"patriarch_list";"Stamfædre"
"source_list";"Kildeliste"
"repo_list";"Arkivstedliste"
"place_list";"Stednavneniveauer"
"alive_in_year";"Lever i året"
"media_list";"Multimedieliste"
"anniversary_calendar";"Mærkedage"
"viewday";"Se dag"
"viewmonth";"Se måned"
"viewyear";"Se år"
"reports";"Rapporter"
"clippings_cart";"Familietræ udklipsmappe"
"search";"Søg"
"search_general";"Generel søgning"
"search_soundex";"Soundex-søgning"
"help_for_this_page";"Hjælp med denne side"
"help_contents";"Indhold i hjælp"
"support_contact";"For teknisk hjælp, kontakt"
"jan";"januar"
"feb";"februar"
"mar";"marts"
"apr";"april"
"may";"maj"
"jun";"juni"
"jul";"juli"
"aug";"august"
"sep";"september"
"oct";"oktober"
"nov";"november"
"dec";"december"
"abt";"ca."
"aft";"efter"
"and";"og"
"bef";"før"
"bet";"mellem"
"cal";"beregnet"
"est";"anslået"
"from";"fra"
"int";"fortolket"
"to";"til"
"cir";"cirka"
"apx";"omtrent"
"NN";"(ukendt)"
"PN";"(ukendt)"
"cancel";"Annuller"
"changelog";"Ændringer i version #VERSION#"
"html_block_descr";"Dette er en simpel HTML-blok som du kan placere på din side, så du kan vise noget i HTML-format."
"num_to_show";"Antal ting som skal vises"
"days_to_show";"Antal dage som skal vises"
"pls_note12";"Brug venligst disse felter til at beskrive hvorfor du gerne vil have en brugerkonto på denne hjemmeside og hvilken tilknytning du måtte have."
"enter_comments";"Skriv venligst din eventuelle tilknytning i kommentar feltet"
"comments";"Kommentarer"
"none";"Ingen"
"ahnentafel_report";"Ahnentafel-rapport"
"child-family";"Forældre og søskende"
"spouse-family";"Ægtefælle og børn"
"direct-ancestors";"Aner i lige linje"
"ancestors";"Aner i lige linje med familier"
"descendants";"Efterkommere"
"choose_relatives";"Vælg slægtninge"
"relatives_report";"Slægtningsrapport"
"total_living";"Antal Levende"
"total_dead";"Antal Døde"
"total_not_born";"Antal, endnu ufødte"
"remove_custom_tags";"Fjern nonstandard GM tags? (Eks. _GMU,_THUM)"
"remember_me";"Husk mig på denne computer?"
"add_unlinked_person";"Tilføj en ny person (uden tilknytninger)"
"fams_with_surname";"Familie med efternavnet #surname#"
"genealogy_contact";"For slægtforskning, kontakt"
"continue_import";"Fortsæt import af steder"
"importing_places";"Importer stedposter"
"common_upload_errors";"Denne fejl betyder formentligt at den fil du prøver at uploade er større end din internetudbyder har tilladt. Standardgrænsen i PHP er 2 Mb. Du kan prøve at få din udbyder til at forhøje denne eller du kan uploade din fil med FTP. Brug <a href="uploadGedcom.php?action=add_form"><b>Tilføj Gedcom</b></a> for at tilføje en Gedcom-fil som du har uploaded med FTP."
"total_memory_usage";"Systemhukommelsesbrug"
"mothers_family_with";"Mors familie med"
"fathers_family_with";"Fars familie med"
"halfbrother";"Halvbror"
"halfsister";"Halvsøster"
"family_timeline";"Vis familien på en tidslinje"
"children_timeline";"Vis børn på en tidslinje"
"other";"Andet"
"sort_by_marriage";"Sorter efter bryllupsdato"
"reorder_families";"Sorter familier"
"indis_with_surname";"Personer med efternavnet #surname#"
"first_letter_fname";"Vælg et bogstav for at vise personer hvis fornavn begynder med dette."
"import_marr_names";"Importer giftenavne"
"marr_name_import_instr";"Klik <b>kun</b> på knappen forneden, hvis du ønsker at Genmod skal tilføje giftenavne for kvinderne i denne Gedcom-fil. Det vil gøre det muligt at søge på kvinder efter deres mands navn."
"calc_marr_names";"Tilføj giftenavne"
"total_names";"Antal navne"
"top10_pageviews_nohits";"Der er ingen hits at vise"
"top10_pageviews_msg";"Tæller skal være aktiveret i Gedcomindstillinger for at denne blok kan vises."
"review_changes_descr";"<i>Foreliggende ændringer</i> blokken vil give brugere med redigeringsrettigheder mulighed for at se, hvad der er blivet ændret siden sidst.<br /><br />Hvis denne blok er aktiveret vil brugere med godkendelsesrettigheder modtage en email 1 gang om dagen, med besked om at der er nye ændringer til godkendelse."
"review_changes_subject";"Genmod - Seneste ændringer"
"review_changes_body";"Der er sket ændringer i slægtforskningsdatabasen. Disse skal vurderes og godkendes før de kan ses af alle brugere. Brug venligst denne URL for at komme til webstedet, login og godkend ændringer."
"show_spouses";"Vis ægtefæller"
"quick_update_title";"Hurtig opdatering"
"quick_update_instructions";"Denne side tillader dig hurtigt at opdatere informationerne for en person. Du behøver kun at udfylde de informationer der skal tilføjes eller som skal ændres i databsen. Efter at dine ændringer er foretaget, skal de godkendes af en administrator før de ville kunne ses af alle."
"update_name";"Opdater navn"
"update_fact";"Opdater faktum"
"update_fact_restricted";"Opdatering af dette faktum, er forbeholdt:"
"update_photo";"Opdater billede"
"photo_replace";"Ønsker du at erstate et ældre billede med dette?"
"select_fact";"Vælg et faktum"
"update_address";"Opdater Adresse"
"add_new_chil";"Tilføj et nyt barn"
"top10_pageviews_descr";"Denne blok vil vise de 10 personer som er blivet vist mest. Denne blok kræver at tælleren er blivet aktiveret i denne Gedcom konfigurationsindstillinger."
"top10_pageviews_block";"Oftest viste blokke"
"user_default_tab";"Standardfane på personinformationssiden."
"stepfamily";"Stedfamilie"
"stepdad";"Stedfar"
"stepmom";"Stedmor"
"stepsister";"Stedsøster"
"stepbrother";"Stedbror"
"max_upload_size";"Max upload størrelse:"
