"stat_sources";"Kaynaklar, "
"stat_other";"Başka kayıt"
"stat_individuals";"Şahıslar, "
"stat_families";"Aileler, "
"gedcom_block";"GEDCOM - "Hoş geldin" kutusu"
"gedcom_favorites_block";"GEDCOM - "Sık kullanılanlar" kutusu"
"gedcom_favorites";"Bu GEDCOM veritabanının "Sık kullanılanları""
"gedcom_news_block";"GEDCOM - "Haberler" kutusu"
"gedcom_news";"Haberler"
"gedcom_stats";"GEDCOM veritabanı istatistikleri:"
"gedcom_created_using";"Bu GEDCOM veritabanı <b>#SOFTWARE#</b> yazılımının <b>#VERSION#</b> sürümü ile yaratılmıştır. "
"gedcom_created_on2";"Yaratılış tarihi: <b>#DATE#</b>"
"logged_in_users_block";"Bağlı bulunan ziyaretçiler kutusu"
"login_block";""Giriş" kutusu"
"random_media_block";""Rasgele medya" kutusu"
"recent_changes_block";""En son değişiklikler" kutusu"
"theme_select_block";""Tema seçme" kutusu"
"todays_events_block";""Bu günde" kutusu"
"block_top10";"Soy isimleri "Top 10" kutusu"
"upcoming_events_block";"Gelecek olaylar kutusu"
"user_news_block";"Üye - "Günlük" kutusu"
"user_favorites_block";"Üye - "Sık kullanılanlar" kutusu"
"user_messages_block";"Üye mesajları kutusu"
"welcome_block";"Üye - "Hoş geldin" kutusu"
"login";"Giriş"
"welcome_page";"Karşılama sayfası"
"help_not_exist";"<b>Ne yazık ki bu sayfanın ya da bu bölümün yardım mesajı daha işlenmemiştir</b>"
"mygedview";"Şahsi GedView bölümü"
"charts";"Çizgeler"
"pedigree_chart";"Soy ağacı çizgesi"
"descend_chart";"Şahsı izleyen nesiller çizgesi"
"timeline_chart";"Zaman çizgisi çizimi"
"relationship_chart";"Akrabalık çizimi"
"ancestry_chart";"Soy ağacı tablosu"
"fan_chart";"Değirmi çizge"
"hourglass_chart";"Kum saati çizimi"
"lists";"Listeler"
"individual_list";"Şahıs listesi"
"family_list";"Aile listesi"
"patriarch_list";"Ata listesi"
"source_list";"Kaynak listesi"
"repo_list";"Veri havuzu listesi"
"place_list";"Yer listesi"
"alive_in_year";"Yılda yaşayan"
"media_list";"Mültimedya listesi"
"anniversary_calendar";"Yıldönümü takvimi"
"viewday";"Günü göster"
"viewmonth";"Ayı göster"
"viewyear";"Seneyi göster"
"reports";"Raporlar"
"clippings_cart";"Parça toplama mahfazası"
"search";"Arama"
"help_for_this_page";"Bu sayfa üzerine yardım"
"help_contents";"Yardım içeriği"
"support_contact";"Teknik yardım ilişkisi"
"jan";"Ocak"
"feb";"Şubat"
"mar";"Mart"
"apr";"Nisan"
"may";"Mayıs"
"jun";"Haziran"
"jul";"Temmuz"
"aug";"Ağustos"
"sep";"Eylül"
"oct";"Ekim"
"nov";"Kasım"
"dec";"Aralık"
"abt";"civarında"
"aft";"'#EXT# sonra"
"and";"ve"
"bef";"'#EXT# önce"
"bet";"arasında"
"cal";"hesaplandı"
"est";"varsayım"
"from";"'#EXT#"
"int";"herhalde"
"to";"'#EXT# kadar"
"cir";"dolaylarında"
"apx";"takriben"
"NN";"Soy isimsiz"
"PN";"İsimsiz"
"cancel";"Vazgeç"
"importing_dates";"Tarih verileri okunuyor"
"changelog";"v#VERSION# sürümündeki değişiklikler"
"none";"Hiç biri"
"ahnentafel_report";"Soy ağacı tablosu raporu"
"choose_relatives";"Akrabaları seçin"
"relatives_report";"Akrabalık raporu"
"total_living";"Yaşayanların sayısı"
"total_dead";"Ölülerin sayısı"
