"ABBR";"Abkürzung"
"ADDR";"Adresse"
"ADOP";"Adoption"
"ADR1";"Adresse 1"
"ADR2";"Adresse 2"
"AFN";"Vorfahren Nummer (AFN)"
"AGE";"Alter"
"AGNC";"Büro"
"ALIA";"Alias"
"ANCE";"Vorfahren"
"ANCI";"Vorfahren Interesse"
"ANUL";"Annullierung"
"ASSO";"Vereinigung"
"AUTH";"Verfasser"
"BAPL";"HLT Taufe"
"BAPM";"Taufe"
"BARM";"Bar Mitzvah"
"BASM";"Bas Mitzvah"
"BIRT";"Geburt"
"BLES";"Segen"
"BLOB";"Binäres Daten-Objekt"
"BURI";"Beerdigung"
"CALN";"Rufnummer"
"CAST";"Kaste / Soziale Stellung / Status"
"CAUS";"Todesursache"
"CEME";"Friedhof"
"CENS";"Volkszählung"
"CHAN";"Letzte Änderung"
"CHAR";"Zeichensatz"
"CHIL";"Kind"
"CHR";"Kleinkind Taufe"
"CHRA";"Erwachsenen Taufe"
"CITN";"Staatsangehörigkeit"
"CITY";"Stadt"
"COMM";"Kommentar"
"CONF";"Konfirmation"
"CONL";"HLT Konfirmation"
"COPR";"Copyright"
"CORP";"Firma"
"CREM";"Einäscherung"
"CTRY";"Land"
"DATA";"Daten"
"DATE";"Datum"
"DEAT";"Tod"
"DESC";"Nachfahren"
"DESI";"Nachfahren Interesse"
"DEST";"Bestimmung"
"DIV";"Scheidung"
"DIVF";"Scheidungsakte"
"DSCR";"Beschreibung"
"EDUC";"Ausbildung"
"EMAIL";"Email-Addresse"
"EMAL";"Email Adresse"
"EMIG";"Auswanderung"
"ENDL";"HLT Begabung"
"ENGA";"Verlobung"
"EVEN";"Ereignis"
"FACT";"Ereignis"
"FAM";"Familie"
"FAMC";"Familie als Kind"
"FAMF";"Familien-Akte"
"FAMS";"Familie als Ehepartner"
"FAX";"FAX"
"FCOM";"Erstkommunion"
"FILE";"Externe Datei"
"FONE";"Phonetisch"
"FORM";"Format"
"GIVN";"Vornamen"
"GRAD";"Schulabschluß"
"HUSB";"Ehemann"
"IDNO";"Identifikationsnummer"
"IMMI";"Einwanderung"
"LATI";"Breitengrad"
"LEGA";"Erbe"
"LONG";"Längengrad"
"MAP";"Karte"
"MARB";"Eheaufgebot"
"MARC";"Ehevertrag"
"MARL";"Ehegenehmigung"
"MARR";"Heirat"
"MARR_CIVIL";"standesamtliche Hochzeit"
"MARR_PARTNERS";"eingetragene Lebensgemeinschaft"
"MARR_RELIGIOUS";"kirchliche Hochzeit"
"MARR_UNKNOWN";"Art der Hochzeit unbekannt"
"MARS";"Ehevergleich"
"MEDI";"Multimedia Typ"
"NAME";"Name"
"NATI";"Nationalität"
"NATU";"Einbürgerung"
"NCHI";"Anzahl der Kinder"
"NICK";"Spitzname"
"NMR";"Anzahl der Ehen"
"NOTE";"Notiz"
"NPFX";"Titel / Präfix"
"NSFX";"Namenszusatz"
"OBJE";"Multimedia Objekt"
"OCCU";"Beruf"
"ORDI";"Anordnung"
"ORDN";"Ordination"
"PAGE";"Auszeichnungs Details"
"PEDI";"Stammbaum"
"PHON";"Telefon"
"PLAC";"Ort"
"POST";"Postleitzahl"
"PROB";"Testamentsbestätigung"
"PROP";"Besitz"
"PUBL";"Veröffentlichung"
"QUAY";"Qualität der Daten"
"REFN";"Referenz Nummer"
"RELA";"Verwandtschaft "
"RELI";"Religion"
"REPO";"Lagerort"
"RESI";"Wohnort"
"RESN";"Einschränkung"
"RETI";"Ausscheiden"
"RFN";"Datensatznummer"
"RIN";"Daten ID-Nummer"
"ROLE";"Rolle"
"ROMN";"Romanisiert"
"SERV";"Remoteserver"
"SEX";"Geschlecht"
"SLGC";"HLT Kindes-Siegelung"
"SLGS";"HLT Ehepartner-Siegelung"
"SOUR";"Quelle"
"SPFX";"Nachnamenszusatz"
"SSN";"Sozialversicherungs-Nummer"
"STAE";"Staat"
"STAT";"Status"
"SUBM";"Übermittler"
"SUBN";"Übermittlung"
"SURN";"Nachname"
"TEMP";"Tempel"
"TEXT";"Text"
"TIME";"Zeit"
"TITL";"Titel"
"TYPE";"Typ"
"URL";"Internet URL"
"WIFE";"Ehefrau"
"WILL";"Testament"
"WWW";"Internetseite"
"_ADPF";"Vom Vater adoptiert"
"_ADPM";"Von der Mutter adoptiert"
"_AKA";"Auch bekannt als"
"_AKAN";"Auch bekannt als"
"_BIBL";"Quellenverzeichnis"
"_BIRT_CHIL";"Geburt eines Kindes"
"_BIRT_COUS";"Geburt eines Cousins / einer Cousine"
"_BIRT_FSIB";"Geburt eines Geschwisterteils väterlicherseits"
"_BIRT_GCHI";"Geburt eines Enkels"
"_BIRT_HSIB";"Geburt einer Halbschwester / eines Halbbruders"
"_BIRT_MSIB";"Geburt eines Geschwisterteils mütterlicherseits"
"_BIRT_SIBL";"Geburt eines Geschwisterteils"
"_BRTM";"Brit mila"
"_COML";"eheähnliche Lebensgemeinschaft"
"_DEAT_CHIL";"Tod eines Kindes"
"_DEAT_COUS";"Tod eines Cousins  / einer Cousine"
"_DEAT_FATH";"Tod des Vaters"
"_DEAT_FSIB";"Tod eines Geschwisterteils väterlicherseits"
"_DEAT_GCHI";"Tod eines Enkels"
"_DEAT_GPAR";"Tod eines Großelternteils"
"_DEAT_HSIB";"Tod einer Halbschwester / eines Halbbruders"
"_DEAT_MOTH";"Tod der Mutter"
"_DEAT_MSIB";"Tod  eines Geschwisterteils mütterlicherseits"
