"ABBR";"Abbreviation"
"ADDR";"Address"
"ADOP";"Adoption"
"ADR1";"Address 1"
"ADR2";"Address 2"
"AFN";"Ancestral File Number (AFN)"
"AGE";"Age"
"AGNC";"Agency"
"ALIA";"Alias"
"ANCE";"Ancestors"
"ANCI";"Ancestors Interest"
"ANUL";"Annulment"
"ASSO";"Associate"
"AUTH";"Author"
"BAPL";"LDS Baptism"
"BAPM";"Baptism"
"BARM";"Bar Mitzvah"
"BASM";"Bas Mitzvah"
"BIRT";"Birth"
"BLES";"Blessing"
"BLOB";"Binary Data Object"
"BURI";"Burial"
"CALN";"Call Number"
"CAST";"Caste / Social Status"
"CAUS";"Cause"
"CEME";"Cemetery"
"CENS";"Census"
"CHAN";"Last Change"
"CHAR";"Character Set"
"CHIL";"Child"
"CHR";"Christening"
"CHRA";"Adult Christening"
"CITN";"Citizenship"
"CITY";"City"
"COMM";"Comment"
"CONF";"Confirmation"
"CONL";"LDS Confirmation"
"COPR";"Copyright"
"CORP";"Corporation / Company"
"CREM";"Cremation"
"CTRY";"Country"
"DATA";"Data"
"DATE";"Date"
"DEAT";"Death"
"DESC";"Descendants"
"DESI";"Descendants Interest"
"DEST";"Destination"
"DIV";"Divorce"
"DIVF";"Divorce filed"
"DSCR";"Description"
"EDUC";"Education"
"EMAIL";"Email Address"
"EMAL";"Email Address"
"EMIG";"Emigration"
"ENDL";"LDS Endowment"
"ENGA";"Engagement"
"EVEN";"Event"
"FACT";"Fact"
"FAM";"Family"
"FAMC";"Family as a Child"
"FAMF";"Family File"
"FAMS";"Family as a Spouse"
"FAX";"FAX"
"FCOM";"First Communion"
"FILE";"External File"
"FONE";"Phonetic"
"FORM";"Format"
"GIVN";"Given Names"
"GNOTE";"General Note"
"GRAD";"Graduation"
"HUSB";"Husband"
"IDNO";"Identification Number"
"IMMI";"Immigration"
"LATI";"Latitude"
"LEGA";"Legatee"
"LONG";"Longitude"
"MAP";"Map"
"MARB";"Marriage Bann"
"MARC";"Marriage Contract"
"MARL";"Marriage Licence"
"MARR";"Marriage"
"MARR_CIVIL";"Civil Marriage"
"MARR_PARTNERS";"Registered Partnership"
"MARR_RELIGIOUS";"Religious Marriage"
"MARR_UNKNOWN";"Marriage Type unknown"
"MARS";"Marriage Settlement"
"MEDI";"Media Type"
"NAME";"Name"
"NATI";"Nationality"
"NATU";"Naturalization"
"NCHI";"Number of Children"
"NICK";"Nickname"
"NMR";"Number of Marriages"
"NOTE";"Note"
"NPFX";"Prefix"
"NSFX";"Suffix"
"OBJE";"Multimedia Object"
"OCCU";"Occupation"
"ORDI";"Ordinance"
"ORDN";"Ordination"
"PAGE";"Citation Details"
"PEDI";"Pedigree"
"PHON";"Phone"
"PLAC";"Place"
"POST";"Postal Code"
"PROB";"Probate"
"PROP";"Property"
"PUBL";"Publication"
"QUAY";"Quality of Data"
"REFN";"Reference Number"
"RELA";"Relationship"
"RELI";"Religion"
"REPO";"Repository"
"RESI";"Residence"
"RESN";"Restriction"
"RETI";"Retirement"
"RFN";"Record File Number"
"RIN";"Record ID Number"
"ROLE";"Role"
"ROMN";"Romanized"
"SERV";"Remote Server"
"SEX";"Sex"
"SLGC";"LDS Child Sealing"
"SLGS";"LDS Spouse Sealing"
"SOUR";"Source"
"SPFX";"Surname Prefix"
"SSN";"Social Security Number"
"STAE";"State"
"STAT";"Status"
"SUBM";"Submitter"
"SUBN";"Submission"
"SURN";"Surname"
"TEMP";"Temple"
"TEXT";"Text"
"TIME";"Time"
"TITL";"Title"
"TYPE";"Type"
"URL";"Web URL"
"WIFE";"Wife"
"WILL";"Will"
"WWW";"Web Home Page"
"_ADPF";"Adopted by Father"
"_ADPM";"Adopted by Mother"
"_AKA";"Also known as"
"_AKAN";"Also known as"
"_BIBL";"Bibliography"
"_BIRT_CHIL";"Birth of a child"
"_BIRT_COUS";"Birth of a first cousin"
"_BIRT_FSIB";"Birth of a father's sibling"
"_BIRT_GCHI";"Birth of a grandchild"
"_BIRT_HSIB";"Birth of a half-sibling"
"_BIRT_MSIB";"Birth of a mother's sibling"
"_BIRT_SIBL";"Birth of a sibling"
"_BRTM";"Brit Mila"
"_COML";"Common Law Marriage"
"_DEAT_CHIL";"Death of a child"
"_DEAT_COUS";"Death of a first cousin"
"_DEAT_FATH";"Death of father"
"_DEAT_FSIB";"Death of a father's sibling"
"_DEAT_GCHI";"Death of a grandchild"
"_DEAT_GPAR";"Death of a grand-parent"
"_DEAT_HSIB";"Death of a half-sibling"
"_DEAT_MOTH";"Death of mother"
"_DEAT_MSIB";"Death of a mother's sibling"
"_DEAT_SIBL";"Death of a sibling"
"_DEAT_SPOU";"Death of spouse"
"_DEG";"Degree"
"_DETS";"Death of One Spouse"
"_EMAIL";"Email Address"
"_EYEC";"Eye Color"
"_FA1";"Fact 1"
"_FA10";"Fact 10"
"_FA11";"Fact 11"
"_FA12";"Fact 12"
"_FA13";"Fact 13"
"_FA2";"Fact 2"
"_FA3";"Fact 3"
"_FA4";"Fact 4"
"_FA5";"Fact 5"
"_FA6";"Fact 6"
"_FA7";"Fact 7"
"_FA8";"Fact 8"
"_FA9";"Fact 9"
"_FNRL";"Funeral"
