"ABBR";"Lyhenne"
"ADDR";"Osoite"
"ADOP";"Adoptio"
"ADR1";"Osoite 1"
"ADR2";"Osoite 2"
"AFN";"Esipolvitiedoston numero (AFN)"
"AGE";"Ikä"
"AGNC";"Viranomainen"
"ALIA";"Alias"
"ANCE";"Esivanhemmat"
"ANCI";"Esivanhempien harrastus"
"ANUL";"Kumoaminen"
"ASSO";"Kumppanit"
"AUTH";"Tekijä"
"BAPL";"Mormoonikaste"
"BAPM";"Kastettu"
"BARM";"Bar Mitzva"
"BASM";"Bat Mitzva"
"BIRT";"Syntynyt"
"BLES";"Siunaus"
"BLOB";"Binaaridataobjekti"
"BURI";"Haudattu"
"CALN";"Puhelinnumero"
"CAST";"Luokka / Sosiaalinen asema"
"CAUS";"Kuolinsyy"
"CEME";"Hautausmaa"
"CENS";"Väestölaskenta"
"CHAN";"Muutettu viimeksi"
"CHAR";"Merkkivalikoima"
"CHIL";"Lapsi"
"CHR";"Kaste"
"CHRA";"Aikuiskaste"
"CITN";"Kansalaisuus"
"CITY";"Kaupunki"
"COMM";"Huomautus"
"CONF";"Rippi"
"CONL";"Mormooni rippi"
"COPR";"Tekijänoikeus"
"CORP";"Yhtiö"
"CREM";"Polttohautaus"
"CTRY";"Maa"
"DATA";"Data"
"DATE";"Päiväys"
"DEAT";"Kuollut"
"DESC";"Jälkeläiset"
"DESI";"Jälkeläisten harrastus"
"DEST";"Kohde"
"DIV";"Avioero"
"DIVF";"Avioero kirjattu"
"DSCR";"Kuvaus"
"EDUC";"Koulutus"
"EMAIL";"Sähköpostiosoite"
"EMAL";"Sähköpostiosoite"
"EMIG";"Maastamuutto"
"ENDL";"LDS Endowment"
"ENGA";"Kihlaus"
"EVEN";"Tapahtuma"
"FACT";"Tosiasia"
"FAM";"Perhe"
"FAMC";"Perhe lapsena"
"FAMF";"Perhetiedosto"
"FAMS";"Perhe puolisona"
"FAX";"Faksi"
"FCOM";"Ensimmäinen rippi"
"FILE";"Ulkoinen tiedosto"
"FONE";"Foneettinen"
"FORM";"Muoto"
"GIVN";"Etunimet"
"GRAD";"Tutkinto"
"HUSB";"Mies"
"IDNO";"Henkilönumero"
"IMMI";"Maahanmuutto"
"LATI";"Leveysaste"
"LEGA";"Perinnönsaaja"
"LONG";"Pituusaste"
"MAP";"Kartta"
"MARB";"Aviokuulutus"
"MARC";"Avioliittosopimus"
"MARL";"Vihkitodistus"
"MARR";"Vihitty"
"MARR_CIVIL";"Siviiliavioliitto"
"MARR_PARTNERS";"Rekisteröity suhde"
"MARR_RELIGIOUS";"Kirkollinen avioliitto"
"MARR_UNKNOWN";"Avioliiton tyyppi tuntematon"
"MARS";"Avioehto"
"MEDI";"Mediatyyppi"
"NAME";"Nimi"
"NATI";"Kansallisuus"
"NATU";"Kansalaiseksi ottaminen"
"NCHI";"Lasten määrä"
"NICK";"Lempinimi"
"NMR";"Avioliittojen määrä"
"NOTE";"Huomautus"
"NPFX";"Etuliite"
"NSFX";"Pääte"
"OBJE";"Multimediaobjekti"
"OCCU";"Ammatti"
"ORDI";"Ordinance"
"ORDN";"Ordination"
"PAGE";"Lainaus"
"PEDI";"Esipolvitaulu"
"PHON";"Puhelin"
"PLAC";"Paikka"
"POST";"Postinumero"
"PROB";"Testamentin vahvistus"
"PROP";"Omaisuus"
"PUBL";"Julkaisu"
"QUAY";"Tiedon laatu"
"REFN";"Viitenumero"
"RELA";"sukulaisuussuhde"
"RELI";"Uskonto"
"REPO";"Tallennuspaikka"
"RESI";"Asuinpaikka"
"RESN";"Rajoitus"
"RETI";"Eläkkeelle"
