"ABBR";"קיצור"
"ADDR";"כתובת"
"ADR1";"כתובת 1"
"ADR2";"כתובת 2"
"ADOP";"אמוץ"
"AGE";"גיל"
"AFN";"מספר קובץ אב-אבות (AFN)"
"AGNC";"סוכנות"
"ALIA";"שם נרדף"
"ANCE";"אב-אבות"
"ANCI";"עניין אב-אבות"
"ANUL";"ביטול"
"ASSO";"שותפים"
"AUTH";"מחבר"
"BAPL";"טבילת מורמונים"
"BAPM";"טבילה"
"BARM";"בר מצווה"
"BASM";"בת מצווה"
"BIRT";"לידה"
"BLES";"ברכה"
"BLOB";"אובייקט נתונים בינארי"
"BURI";"קבורה"
"CALN";"מספר קריאה"
"CAST";"כת / מעמד חברתי"
"CAUS";"גורם המות"
"CEME";"בית קברות"
"CENS";"מפקד אוכלוסין"
"CHAN";"שנוי אחרון"
"CHAR";"ערכת תווים"
"CHIL";"ילד/ה"
"CHR";"הטבלה"
"CHRA";"הטבלת מבוגרים"
"CITY";"עיר"
"CONF";"ברית"
"CONL";"ברית המורמונים"
"COPR";"זכויות יוצרים"
"CORP";"חברה"
"CREM";"שריפת גופה"
"CTRY";"מדינה"
"DATA";"נתונים"
"DATE";"תאריך"
"DEAT";"פטירה"
"DESC";"צאצאים"
"DESI";"עניין הצאצאים"
"DEST";"יעד"
"DIV";"גירושין"
"DIVF";"הגשת בקשה לגירושים"
"EDUC";"השכלה"
"DSCR";"תיאור"
"EMIG";"הגירה"
"ENDL";"סמיכה של מיקדש המורמונים"
"ENGA";"אירוסין"
"EVEN";"אירוע"
"FAM";"משפחה"
"FAMC";"משפחה כילד"
"FAMF";"קובץ משפחה"
"FAMS";"משפחה כבן/בת זוג"
"FCOM";"הסעודה הראשונה"
"FILE";"קובץ  חיצוני"
"FORM";"תבנית"
"GIVN";"שמות פרטיים"
"GRAD";"סיום לימודים"
"HUSB";"בעל"
"IDNO";"קוד זיהוי"
"IMMI";"עליה"
"LEGA";"יורש"
"MARB";"הודעת נישואין"
"MARC";"כתובה"
"MARL";"רשיון נישואין"
"MEDI";"סוג מדיה"
"NCHI";"מספר ילדים"
"NICK";"כנוי"
"NMR";"מספר נישואין"
"PAGE";"פירטי ציטוט"
"PLAC";"מקום"
"PHON";"טלפון"
"POST";"מיקוד"
"PUBL";"הוצאה לאור"
"QUAY";"איכות נתונים"
"RELI";"דת"
"ROLE";"תפקיד"
"REFN";"מספר התייחסות"
"RELA";"קשר משפחתי"
"RESN";"הגבלה"
"RETI";"פרישה"
"RFN";"מספר קובץ רשום"
"RIN";"קוד זיהוי רשום (ID)"
"RESI";"מגורים"
"REPO";"מאגר"
"SPFX";"קידומת שם משפחה"
"SSN";"מספר מזהה (SSN)"
"STAE";"מדינה"
"STAT";"סטטוס"
"SUBM";"מגיש"
"SUBN";"הגשה"
"PROP";"נכס"
"PROB";"אישור צוואה"
"SLGC";"חותמת מורמונים - ילד"
"SLGS";"חותמת מורמונים - בן זוג"
"SOUR";"מקור"
"SURN";"שם משפחה"
"TEMP";"מקדש"
"TEXT";"טקסט"
"TIME";"זמן"
"TITL";"כותרת"
"TYPE";"סוג"
"WIFE";"אישה"
"WILL";"צוואה"
"_EMAIL";"כתובת דואר אלקטרוני"
"EMAIL";"כתובת דואר אלקטרוני"
"_TODO";"משימות"
"_UID";"מזהה כללי"
"SEX";"מין"
"NAME";"שם"
"MARS";"הסדר נישואין"
"NATI";"לאום"
"NATU";"התאזרחות"
"MARR";"נישואין"
"PAGE";"פרטי ציטוט"
"OCCU";"מקצוע"
"ORDI";"הסמכה"
"ORDN";"הסמכה לכמורה"
"NOTE";"הערה"
"NSFX";"צירוף סופי"
"NPFX";"צירוף ראשי"
"OBJE";"מולטימדיה"
"PEDI";"יחוס"
"_PRIM";"תמונה מודגשת"
"_MDCL";"רפואי"
"_DEG";"דרגה"
"_MILT";"שרות צבא"
"_SEPR";"פרוד"
"_DETS";"מוות של אחד מבני הזוג"
"CITN";"אזרחות"
"_FA1";"עובדה 1"
"_FA2";"עובדה 2"
"_FA3";"עובדה 3"
"_FA4";"עובדה 4"
"_FA5";"עובדה 5"
"_FA6";"עובדה 6"
"_FA7";"עובדה 7"
"_FA8";"עובדה 8"
"_FA9";"עובדה 9"
"_FA10";"עובדה 10"
"_FA11";"עובדה 11"
"_FA12";"עובדה 12"
"_FA13";"עובדה 13"
"_MREL";"קשר אל אמא"
"_FREL";"קשר אל אבא"
"_MSTAT";"מעמד תחילת נישואים"
"_MEND";"מעמד סיום נישואים"
"FAX";"פקס"
"FACT";"עובדה"
"WWW";"דף בית"
"MAP";"מפה"
"LATI";"קו רוחב"
"LONG";"קו אורך"
"FONE";"פונטי"
"ROMN";"לטיני"
"_NAME";"שם למשלוח דואר"
"URL";"URL"
"_HEB";"עברי"
"_SCBK";"אלבום הדבקות"
"_TYPE";"סוג מדיה"
"_SSHOW";"מצגת שקופיות"
"_SUBQ";"גרסה קצרה"
"_BIBL";"ביבליוגרפיה"
"EMAL";"כתובת דואר אלקטרוני"
"_ADPF";"אמוץ ע\"י אבא"
"_ADPM";"אמוץ ע\"י אמא"
"_AKAN";"ידוע בשם"
"_AKA";"ידוע בשם"
"_BRTM";"ברית מילה"
"_COML";"ידוע בציבור"
"_EYEC";"צבע עיניים"
"_FNRL";"הלוויה"
"_HAIR";"צבע שיער"
"_HEIG";"גובה"
"_HOL";"שואה"
"_INTE";"קבור"
"_MARI";"כוונת נישואים"
"_MBON";"קשר נישואים"
"_MEDC";"מצב רפואי"
"_MILI";"צבא"
"_NMR";"לא נשוי"
"_NLIV";"לא בחיים"
"_NMAR";"רווק"
"_PRMN";"מספר קבוע"
"_WEIG";"משקל"
"_YART";"יום השנה"
