"ABBR";"Rövidítés"
"ADDR";"Lakcím"
"ADOP";"Örökbefogadás"
"ADR1";"Lakcím 1"
"ADR2";"Lakcím 2"
"AFN";"Ancestral File Number (AFN)"
"AGE";"Életkor"
"AGNC";"Képviselet"
"ALIA";"Úgyis mint"
"ANCE";"Felmenők"
"ANUL";"Házasság felbontása"
"ASSO";"Kapcsolódó személyek"
"AUTH";"Szerző"
"BAPL";"UNSZ-keresztség"
"BAPM";"Keresztelés"
"BARM";"Bar Mitzvah"
"BASM";"Bat Mitzvah"
"BIRT";"Született"
"BLES";"Megáldás"
"BLOB";"Bináris adatok"
"BURI";"Temetés"
"CALN";"Gyűjtemény azonosító"
"CAST";"Szociális/társadalmi státusz"
"CAUS";"A halál oka"
"CEME";"Temető"
"CENS";"Összeírás"
"CHAN";"Módosítás"
"CHAR";"Kódkészlet"
"CHIL";"Gyermek"
"CHR";"Keresztelés"
"CHRA";"Felnőttkori keresztség"
"CITN";"Állampolgárság"
"CITY";"Település"
"COMM";"Megjegyzés"
"CONF";"Konfirmáció"
"CONL";"UNSZ-konfirmáció"
"COPR";"Copyright"
"CORP";"Vállalat/Intézmény"
"CREM";"Hamvasztás"
"CTRY";"Ország"
"DATA";"Adat"
"DATE";"Dátum"
"DEAT";"Elhunyt"
"DESC";"Leszármazottak"
"DEST";"Cél-program"
"DIV";"Válás"
"DIVF";"Válási akta"
"DSCR";"Külső ismertetőjegyek"
"EDUC";"Végzettség"
"EMAIL";"Email cím"
"EMAL";"Email cím"
"EMIG";"Kivándorlás"
"ENDL";"UNSZ-szertartás (Endowment)"
"ENGA";"Eljegyzés"
"EVEN";"Esemény"
"FACT";"Tény"
"FAM";"Család"
"FAMC";"Családtagok (gyermekként)"
"FAMF";"UNSZ családi akta"
"FAMS";"Családtagok (házastársként)"
"FAX";"Fax"
"FCOM";"Elsőáldozás"
"FILE";"Külső adatállomány"
"FONE";"Fonetikus"
"FORM";"Formátum"
"GIVN";"Keresztnév"
"GRAD";"Felsőfokú végzettség"
"HUSB";"Férj"
"IDNO";"Azonosítószám"
"IMMI";"Bevándorlás"
"LATI";"Szélességi fok"
"LEGA";"Végrendeleti örökös"
"LONG";"Hosszúsági fok"
"MAP";"Térkép"
"MARB";"Eljegyzés kihirdetése"
"MARC";"Házassági szerződés"
"MARL";"Házassági engedély"
"MARR";"Házasság"
"MARR_CIVIL";"Polgári esküvő"
"MARR_PARTNERS";"Élettársi kapcsolat"
"MARR_RELIGIOUS";"Egyházi esküvő"
"MARR_UNKNOWN";"Házassági tipus nem ismert"
"MARS";"Házasság előtti szerzõdés"
"MEDI";"Médiatípus"
"NAME";"Név"
"NATI";"Nemzetiség"
"NATU";"Honosítás"
"NCHI";"Gyermekek száma"
"NICK";"Ragadványnév"
"NMR";"Házasságkötések száma"
"NOTE";"Kiegészítő információk"
"NPFX";"Előtag"
"NSFX";"Utótag"
"OBJE";"Multimédia-elem"
"OCCU";"Foglalkozás"
"ORDI";"UNSZ-szertartás"
"ORDN";"Pappá szentelés"
"PAGE";"Hivatkozás"
"PEDI";"Felmenő rokonság"
"PHON";"Telefon"
"PLAC";"Helyszín"
"POST";"Irányítószám"
"PROB";"Végrendelet hitelesítése"
"PROP";"Tulajdon"
"PUBL";"Publikáció"
"QUAY";"Adat-megbízhatóság"
"REFN";"Hivatkozási szám"
"RELA";"Rokonság"
"RELI";"Vallás"
"REPO";"Fellelhető"
"RESI";"Lakhely"
