"ABBREVIATE_CHART_LABELS_help";"~#gm_lang[ABBREVIATE_CHART_LABELS]#~<br /><br /"
"ALLOW_CHANGE_GEDCOM_help";"~#gm_lang[ALLOW_CHANGE_GEDCOM]#~<br /><br />Ezen változó beállításával engedélyezheti, hogy a látogatók választhassanak  a GEDCOM-állományok között, amennyiben Ön beállította a többszörös GEDCOM-adattáblák környezetét. Ha Ön a <b>Nem</b>-et választja, sem a látogatók sem a bejelentkezett felhasználók nem válthatnak a rendelkezésre álló GEDCOM-állományok között.<br /><br /> Ez a mező beállítja az $ALLOW_CHANGE_GEDCOM változót a <i>config.php</i> állományban.<br/>"
"ALLOW_EDIT_GEDCOM_help";"~#gm_lang[ALLOW_EDIT_GEDCOM]#~<br /><br />Az aktuális GEDCOM-állományban engedélyezi az online szerkesztés lehetőségét, tehát a szerkesztési jogosultságal rendelkező felhasználók módosíthatják a GEDCOM-ot.<br/>"
"ALLOW_THEME_DROPDOWN_help";"~#gm_lang[ALLOW_THEME_DROPDOWN]#~<br /><br />Biztosítja a felhasználóknak azt a lehetőséget, hogy kiválasszák saját asztaltémájukat egy legördülő menüből (ha ez a lehetőség létezik az adott asztaltémában).<br />Ehhez a lehetőséghez az <b>#gm_lang[ALLOW_USER_THEMES]#</b> mezőt szintén jóvá kell hagyni.<br /><br/>Ez a mező beállítja az  $ALLOW_THEME_DROPDOWN változót a(z) <i><u>xxx</u>.GED_conf.php</i> állományban.<br/>"
"ALLOW_USER_THEMES_help";"~#gm_lang[ALLOW_USER_THEMES]#~<br /><br />A felhasználók kiválaszthatják a nekik tetsző, egyedi asztal-témát.<br/><br/>Ez a mező beállítja a $ALLOW_USER_THEMES változót a <i>config.php</i> állományban.<br/>"
"ALPHA_INDEX_LISTS_help";"~#gm_lang[ALPHA_INDEX_LISTS]#~<br /><br />Nagyon hosszú személy és családi listáknál, állítsa ezt <b>Igen</b>-re, hogy a listát oldalakra törjük az utónév első betűje alapján.<br/>"
"CALENDAR_FORMAT_help";"~#gm_lang[CALENDAR_FORMAT]#~<br /><br />Lehetővé teszi, hogy Ön beállítsa azt a naptárformátumot, melyet ehhez a GEDCOM-állományhoz szeretne használni.<br /><br />A héber naptár megegyezik a zsidó naptárral, csak héber karaktereket használ.<br/><br/>Megjegyzés: A zsidó/héber naptárban használt értékek a gregorián/juliánusz dátumokból számítjuk. Mivel a zsidó naptári nap alkonyatkor kezdődik, ezért minden olyan esemény, mely alkonyattól éjfélig zajlik, egy nappal korábban kerül feltüntetésre. A héber karakterek megjelenítése egyes régebbi böngészőkön problémás lehet, melyek fordítva vagy sehogy sem jelenítik meg azokat.<br/>"
"CHARACTER_SET_help";"~#gm_lang[CHARACTER_SET]#~<br /><br />Az Ön GEDCOM-állományának karakterkészlete. Az alapértelmezett kódolás az UTF-8, mely az oldalak döntő többsége képes kezelni. Amennyiben Ön ibm windows kódolással exportálta GEDCOM-állományát, írjon ide WINDOWS-t.<br /><br />FONTOS: A PHP nem támogatja az UNICODE (UTF-16) kódolást, tehát kérjük, ne állítsa azt be.<br/>"
"CHECK_CHILD_DATES_help";"~#gm_lang[CHECK_CHILD_DATES]#~<br /><br />Leellenőrzi egy gyermek dátumait, amikor meghatározzuk hogy egy személy elhunyt-e. Régebbi rendszereken és nagyobb GEDCOMoknál ez lelassíthatja az oldal működését.<br/>"
"CHECK_MARRIAGE_RELATIONS_help";"~#gm_lang[CHECK_MARRIAGE_RELATIONS]#~<br /><br />A rokonság ellenőrzése a házastársi kapcsolatok alapján.<br /><br />Ez a mező beállítja a $CHECK_MARRIAGE_RELATIONS változót a(z) <i><u>xxx</u>.GED_priv.php</i> állományában.<br/>"
"COMMON_NAMES_ADD_help";"~#gm_lang[COMMON_NAMES_ADD]#~<br /><br />Ha egy vezetéknév előfordulása nem éri el a küszöbértéket, nem fog megjelenni a listában. Ugyanakkor hozzáadhatja őket manuálisan. Ha több nevet kíván felvenni a listára, vesszővel válassza el őket egymástól. A vezetéknevek érzékenyek a kis- és nagybetűk közötti különbségre.<br/><br/>"
"COMMON_NAMES_REMOVE_help";"~#gm_lang[COMMON_NAMES_REMOVE]#~<br /><br />Ha Ön bizonyos vezetékneveket el kíván távolítani a listáról anélkül, hogy csökkentenie kelljen a küszöbértéket, akkor itt kell azokat megadnia. Ha több nevet kíván felvenni a listára, vesszővel válassza el őket egymástól. A vezetéknevek érzékenyek a kis- és nagybetűk közötti különbségre.<br/>"
"COMMON_NAMES_THRESHOLD_help";"~#gm_lang[COMMON_NAMES_THRESHOLD]#~<br /><br />A vezetéknév előfordulásainak száma ahhoz, hogy Gyakori vezetéknevek között jelenjen meg a Nyitóoldalon.<br/>"
"CONTACT_EMAIL_help";"~#gm_lang[CONTACT_EMAIL]#~<br /><br />Az az email cím, amire a látogatók írhatnak az oldalon levő családfa adatokkal kapcsolatban.<br/>"
"CONTACT_METHOD_help";"~#gm_lang[CONTACT_METHOD]#~<br /><br />Az a kapcsolattartási forma, amit a látogatók használhatnak a 'kapcsolattartó személlyel' való kommunikációhoz, családfa adatokkal kapcsolatban. Erre a címre kattintva megnyílik a felhasználó e-mail kliense, és rögtön írhat levelet. Az 'üzenés' opcióval a Genmod beépített üzenetküldését használhatjuk, e-mail küldése nélkül. Az 'üzenet e-maillel' opció az alapértelmezett, és itt az üzenet másolatát e-miailban is elküldjük. Az 'e-mailek tárolás nélkül' opciónál a Genmod kezeli az üzenetküldést, és e-mailként küldi az üzeneteket, de nem tárolja el azokat. Ha nem jelöljük be az üzenetek küldésének lehetőségét, akkor a látogatók nem tudnak üzenni nekünk."
"DBHOST_help";"~#gm_lang[DBHOST]#~<br /><br />Az Ön adatbázisát működtető számítógép DNS-e vagy IP-címe.<br/><br/>Ez a mező beállítja a $DBHOST változót a <i>config.php</i> állományban.<br/>"
"DBNAME_help";"~#gm_lang[DBNAME]#~<br /><br />Az Ön által a Genmod-hoz használni kívánt adatbázis a szerveren. A #gm_lang[DBUSER]# mezőben megadott felhasználónak a következő jogosultságokkal kell rendelkeznie: létrehoz, beszúr, frissít, töröl és kijelöl.<br/><br/>Ez a mező beállítja a $DBNAME változót a <i>config.php</i> állományban.<br/>"
"DBPASS_help";"~#gm_lang[DBPASS]#~<br /><br />Az adatbázis jelszava, mely #gm_lang[DBUSER]# mezőben megadott felhasználóhoz tartozik.<br/><br/>Ez a mező beállítja a $DBPASS változót a <i>config.php</i> állományban.<br/>"
"DBUSER_help";"~#gm_lang[DBUSER]#~<br /><br />Az adatbázis felhasználóneve, mely az adatbázisba való bejelentkezéshez szükséges.<br/><br/>Ez a mező beállítja a $DBUSER változót a <i>config.php</i> állományban.<br/>"
"DEFAULT_PEDIGREE_GENERATIONS_help";"~#gm_lang[DEFAULT_PEDIGREE_GENERATIONS]#~<br /><br />Megadja a generációk alapértelmezett számát, melyek az ősfán megjelenítésre kerülnek.<br/>"
