"ABBREVIATE_CHART_LABELS";"Bezeichnungen in Diagrammen abkürzen"
"ALLOW_CHANGE_GEDCOM";"Wechsel der GEDCOM-Datei erlauben"
"ALLOW_EDIT_GEDCOM";"Online Editieren erlauben"
"ALLOW_THEME_DROPDOWN";"Theme-Dropdown-Auswahl zum Wechseln von Themes anzeigen"
"ALLOW_USER_THEMES";"Besuchern die Auswahl eines Themes erlauben"
"ALPHA_INDEX_LISTS";"Lange Namens-Listen in Anfangsbuchstaben-Listen aufteilen"
"CALENDAR_FORMAT";"Kalender Format"
"CHARACTER_SET";"Kodierung der Schriftzeichen"
"CHECK_CHILD_DATES";"Daten der Kinder überprüfen"
"CHECK_MARRIAGE_RELATIONS";"Verwandtschaft anhand von Eheschließungen überprüfen"
"COMMON_NAMES_ADD";"Namen, die zu der Liste der häufigsten Nachnamen hinzugefügt werden sollen (durch Komma getrennt)"
"COMMON_NAMES_REMOVE";"Namen, die aus der Liste der häufigsten Nachnamen entfernt werden sollen (durch Komma getrennt)"
"COMMON_NAMES_THRESHOLD";"Mindestanzahl eines Nachnamens, der in der Liste der häufigsten Nachnamen erscheinen soll"
"CONTACT_EMAIL";"Ihre Kontakt-Emailadresse für genealogische Fragen"
"CONTACT_METHOD";"Kontakt Methode (genealogische Fragen)"
"DBHOST";"Host für die Datenbank"
"DBNAME";"Name der Datenbank"
"DBPASS";"Passwort für die Datenbank"
"DBUSER";"Benutzername für die Datenbank"
"DEFAULT_GEDCOM";"Standard GEDCOM"
"DEFAULT_PEDIGREE_GENERATIONS";"Anzahl standardmäßig dargestellter Generationen in der Stammbaum-Darstellung"
"DISPLAY_JEWISH_GERESHAYIM";"Hebräische Gershayim anzeigen"
"DISPLAY_JEWISH_THOUSANDS";"Hebräische Tausender anzeigen"
"ENABLE_CLIPPINGS_CART";"Ausschnittssammelbehäter aktivieren"
"ENABLE_MULTI_LANGUAGE";"Besuchern den Wechsel der Anzeige-Sprache erlauben"
"FAVICON";"Pfad und Dateiname der FavIcon-Grafik"
"GEDCOM_ID_PREFIX";"GEDCOM ID Prefix"
