"select_an_option";"Select an option below:"
"stat_sources";"Sources"
"stat_media";"Multimedia Objects"
"stat_other";"Other Records"
"stat_events";"Total events"
"stat_users";"Total users"
"stat_surnames";"Total surnames"
"stat_individuals";"Individuals"
"stat_families";"Families"
"gedcom_block";"GEDCOM Welcome"
"gedcom_favorites_block";"GEDCOM Favorites"
"gedcom_favorites";"This GEDCOM's Favorites"
"gedcom_news_block";"GEDCOM News"
"gedcom_news";"News"
"gedcom_stats";"GEDCOM Statistics"
"gedcom_created_using";"This GEDCOM was created using <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"on <b>#DATE# #TIME#</b>"
"stat_earliest_birth";"Earliest Birth Year"
"stat_latest_birth";"Latest Birth Year"
"stat_longest_life";"Person who lived the longest"
"stat_avg_age_at_death";"Average age at death"
"stat_most_children";"Family with the most children"
"stat_average_children";"Average number of children per family"
"html_block_name";"HTML"
"html_block_sample_part1";"<p class="blockhc"><b>Put your title here</b></p><br /><p>Click the configure button"
"html_block_sample_part2";"to change what is printed here.</p>"
"config_block";"Configure"
"logged_in_users_block";"Logged In Users"
"login_block";"Login"
"quickstart_block";"Quick Start"
"quickstart";"Quick Start"
"random_media_block";"Random Media"
"recent_changes_block";"Recent Changes"
"review_changes_block";"Pending Changes"
"rss_feeds";"RSS Feeds"
"theme_select_block";"Theme Select"
"todays_events_block";"On This Day"
"top10_pageviews";"Most Viewed Items"
"top10_botviews";"Most Viewed Items by robots"
"block_top10";"Top 10 Surnames"
"upcoming_events_block";"Upcoming Events"
"user_news_block";"User Journal"
"user_favorites_block";"User Favorites"
"user_messages_block";"User Messages"
"welcome_block";"User Welcome"
"login";"Login"
"welcome_page";"Welcome Page"
"accesskey_home_page";"1"
"accesskey_help_content";"2"
"accesskey_help_current_page";"3"
"help_not_exist";"<b>Help text for this page or item is not yet available.</b>"
"mygedview";"MyGenmod"
"charts";"Charts"
"pedigree_chart";"Pedigree Chart"
"descend_chart";"Descendancy Chart"
"timeline_chart";"Timeline Chart"
"relationship_chart";"Relationship Chart"
"ancestry_chart";"Ancestry Chart"
"fan_chart";"Fan Chart"
"hourglass_chart";"Hourglass Chart"
"familybook_chart";"Family Book Chart"
"lists";"Lists"
"individual_list";"Individual List"
"family_list";"Family List"
"patriarch_list";"Patriarch list"
"source_list";"Source List"
"repo_list";"Repository List"
"note_list";"General Note List"
"place_list";"Place Hierarchy"
"alive_in_year";"Alive in Year"
"media_list";"MultiMedia List"
"anniversary_calendar";"Calendar"
"viewday";"View Day"
"viewmonth";"View Month"
"viewyear";"View Year"
"reports";"Reports"
"clippings_cart";"Clippings Cart"
"search";"Search"
"search_general";"General search"
"search_soundex";"Soundex search"
"help_for_this_page";"Help with this page"
"help_contents";"Help Contents"
"faq_list";"FAQ List"
"hs_title";"Search Help Text"
"support_contact";"Technical help contact"
"jan";"January"
"feb";"February"
"mar";"March"
"apr";"April"
"may";"May"
"jun";"June"
"jul";"July"
"aug";"August"
"sep";"September"
"oct";"October"
"nov";"November"
"dec";"December"
"abt";"about"
"aft";"after"
"and";"and"
"bef";"before"
"bet";"between"
"cal";"calculated"
"est";"estimated"
"from";"from"
"or";"or"
"int";"interpreted"
"to";"to"
"cir";"circa"
"apx";"approx."
"NN";"(unknown)"
"PN";"(unknown)"
"maxviews_exceeded";"Page view rate exceeded, try again later."
"broadcast_not_logged_6mo";"Send message to users who have not logged in for 6 months"
"broadcast_never_logged_in";"Send message to users who have never logged in"
"stats_to_show";"Select the stats to show in this block"
"no_family_facts";"No facts for this family."
"sunday_1st";"Su"
"monday_1st";"M"
"tuesday_1st";"Tu"
"wednesday_1st";"W"
"thursday_1st";"Th"
"friday_1st";"F"
"saturday_1st";"Sa"
"edit_source";"Edit Source"
