"ABBR";"Abréviation"
"ADDR";"Adresse"
"ADOP";"Adoption"
"ADR1";"Adresse 1"
"ADR2";"Adresse 2"
"AFN";"N° AFN"
"AGE";"Age"
"AGNC";"Institution"
"ALIA";"Alias"
"ANCE";"Ancêtres"
"ANCI";"Interêt des ancêtres"
"ANUL";"Déclaration de nullité du mariage"
"ASSO";"Personne associée"
"AUTH";"Auteur"
"BAPL";"Baptême (LDS)"
"BAPM";"Baptême"
"BARM";"Bar_mitzvah"
"BASM";"Bas_mitzvah"
"BIRT";"Naissance"
"BLES";"Bénédiction religieuse"
"BLOB";"Objet binaire"
"BURI";"Sépulture"
"CALN";"N° d'appel"
"CAST";"Caste"
"CAUS";"Cause de la mort"
"CEME";"Cimetière"
"CENS";"Recensement"
"CHAN";"Modification"
"CHAR";"Jeu de caractères"
"CHIL";"Enfant"
"CHR";"Baptême religieux enfant"
"CHRA";"Baptême religieux adulte"
"CITN";"Citoyenneté"
"CITY";"Localité"
"COMM";"Commentaire"
"CONF";"Confirmation"
"CONL";"Confirmation (LDS)"
"COPR";"Copyright"
"CORP";"Institution"
"CREM";"Incinération"
"CTRY";"Pays"
"DATA";"Données"
"DATE";"Date"
"DEAT";"Décès"
"DESC";"Descendants"
"DESI";"Intérêt des descendants"
"DEST";"Destination"
"DIV";"Divorce"
"DIVF";"Divorce prononcé"
"DSCR";"Description"
"EDUC";"Etudes"
"EMAIL";"Adresse courriel"
"EMAL";"Adresse courriel"
"EMIG";"Emigration"
"ENDL";"Dotation (LDS)"
"ENGA";"Fiançailles"
"EVEN";"Evénement"
"FACT";"Evènement"
"FAM";"Famille"
"FAMC";"Famille de l'enfant"
"FAMF";"Fichier de la famille"
"FAMS";"Famille des conjoints"
"FAX";"Fax"
"FCOM";"Première communion"
"FILE";"Fichier externe"
"FONE";"Phonétique"
"FORM";"Format"
"GIVN";"Prénom(s)"
"GRAD";"Diplôme"
"HUSB";"Mari"
"IDNO";"N° identification"
"IMMI";"Immigration"
"LATI";"Latitude"
"LEGA";"Légataire"
"LONG";"Longitude"
"MAP";"Carte"
"MARB";"Bans de mariage"
"MARC";"Contrat de mariage"
"MARL";"Autorisation légale de mariage"
"MARR";"Mariage"
"MARR_CIVIL";"Mariage civil"
"MARR_PARTNERS";"Partenaires"
"MARR_RELIGIOUS";"Mariage religieux"
"MARS";"Régime matrimonial"
"MEDI";"Type de Media"
"NAME";"Nom"
"NATI";"Nationalité"
"NATU";"Naturalisation"
"NCHI";"Nombre d'enfants"
"NICK";"Surnom"
"NMR";"Nombre de mariages"
"NOTE";"Note"
"NPFX";"Préfixe du nom"
"NSFX";"Suffixe du nom"
"OBJE";"Objet MultiMedia"
"OCCU";"Profession"
"ORDI";"Cérémonie (LDS)"
"ORDN";"Ordination"
"PAGE";"Page"
"PEDI";"Ascendance"
"PHON";"Téléphone"
"PLAC";"Lieu"
"POST";"Code Postal"
"PROB";"Testament validé"
"PROP";"Biens et possessions"
"PUBL";"Publication"
"QUAY";"Fiabilité des données"
"REFN";"Référence"
"RELA";"Relation"
"RELI";"Religion"
"REPO";"Dépositaire"
"RESI";"Domicile"
"RESN";"Restriction d'accès"
"RETI";"Retraite"
"RFN";"N° enregistrement fichier"
"RIN";"N° enregistrement ID"
"ROLE";"Rôle"
"ROMN";"Alphabet Romain"
"SERV";"Serveur distant"
"SEX";"Sexe"
"SLGC";"Scellement enfant (LDS)"
"SLGS";"Scellement conjoint (LDS)"
"SOUR";"Source"
"SPFX";"Préfixe du nom de famille"
"SSN";"Numéro de sécurité sociale"
"STAE";"Etat ou région ou département"
"STAT";"Statut"
"SUBM";"Fournisseur"
"SUBN";"Données fournies"
"SURN";"Nom de famille"
"TEMP";"Temple (LDS)"
"TEXT";"Texte"
"TIME";"Heure"
"TITL";"Titre"
"TYPE";"Type"
"URL";"URL"
"WIFE";"Femme"
"WILL";"Testament"
"WWW";"Page Web"
"_ADPF";"Adoption par le père"
"_ADPM";"Adoption par la mère"
"_AKA";"Nom d'usage"
"_AKAN";"Nom d'usage"
"_BIBL";"Bibliographie"
"_BIRT_CHIL";"Naissance d'un enfant"
"_BIRT_COUS";"Naissance cousin(e) germain(e)"
"_BIRT_FSIB";"Naissance frère/sœur du père"
"_BIRT_GCHI";"Naissance d'un petit-enfant"
"_BIRT_HSIB";"Naissance demi-frère/sœur"
"_BIRT_MSIB";"Naissance frère/sœur de la mère"
"_BIRT_SIBL";"Naissance frère/sœur"
"_BRTM";"Brit mila"
"_COML";"Mariage légal"
"_DEAT_CHIL";"Décès d'un enfant"
"_DEAT_COUS";"Décès cousin(e) germain(e)"
"_DEAT_FATH";"Décès du père"
"_DEAT_FSIB";"Décès frère/sœur du père"
"_DEAT_GCHI";"Décès d'un petit-enfant"
"_DEAT_GPAR";"Décès d'un grand-parent"
"_DEAT_HSIB";"Décès demi-frère/sœur"
"_DEAT_MOTH";"Décès de la mère"
"_DEAT_MSIB";"Décès frère/sœur de la mère"
"_DEAT_SIBL";"Décès frère/sœur"
"_DEAT_SPOU";"Décès du conjoint"
"_DEG";"Diplôme"
"_DETS";"Décès du conjoint"
"_EMAIL";"Adresse courriel"
"_EYEC";"Couleur des yeux"
"_FA1";"Evènement 1"
"_FA10";"Evènement 10"
"_FA11";"Evènement 11"
"_FA12";"Evènement 12"
"_FA13";"Evènement 13"
"_FA2";"Evènement 2"
"_FA3";"Evènement 3"
"_FA4";"Evènement 4"
