"ABBREVIATE_CHART_LABELS";"Forkort diagrampunkter"
"ALLOW_CHANGE_GEDCOM";"Tillad skift afGedcom"
"0";"0"
"ALLOW_EDIT_GEDCOM";"Tillad online redigering"
"ALLOW_REMEMBER_ME";"Vis <b>Remember Me</b> valgmulighed på Login-siden"
"ALLOW_THEME_DROPDOWN";"Vis temavalgmenu"
"ALLOW_USER_THEMES";"Tillad brugere at vælge eget tema"
"ALPHA_INDEX_LISTS";"Opdel lange navnelister efter begyndelsesbogstav"
"CALENDAR_FORMAT";"Kalenderindstilling"
"CHARACTER_SET";"Tegnsæt"
"CHART_BOX_TAGS";"Andet som vises i diagrammer"
"CHECK_CHILD_DATES";"Kontroller børns data"
"CHECK_MARRIAGE_RELATIONS";"Check slægskab gennem ægteskab"
"COMMON_NAMES_ADD";"Navne som skal tilføjes til Hyppige Efternavne (kommasepareret)"
"COMMON_NAMES_REMOVE";"Navne som skal fjernes fra Hyppige Efternavne (kommasepareret)"
"COMMON_NAMES_THRESHOLD";"Mindste antal forekomster af et "Hyppigt Efternavn""
"CONTACT_EMAIL";"Kontaktperson"
"CONTACT_METHOD";"Kontaktform"
"DBHOST";"Databasevært"
"DBNAME";"Databasenavn"
"DBPASS";"Database adgangskode"
"DBUSER";"Databasebrugernavn"
"DEFAULT_GEDCOM";"Standard Gedcom"
"DEFAULT_PEDIGREE_GENERATIONS";"Antal generationer i anetræ"
"DISPLAY_JEWISH_GERESHAYIM";"Vis Hebraisk Gershayim"
"DISPLAY_JEWISH_THOUSANDS";"Vis Hebraiske tusinder"
"ENABLE_CLIPPINGS_CART";"Slå udklipskurv til"
"ENABLE_MULTI_LANGUAGE";"Tillad brugere at skifte sprog"
"FAVICON";"Favoritikon"
"GEDCOM_DEFAULT_TAB";"Standardfaneblad på personside"
"GEDCOM_ID_PREFIX";"Gedcom-ID præfiks"
"GM_MEMORY_LIMIT";"Hukommelsesgrænse"
"GM_SESSION_SAVE_PATH";"Session filsti"
"GM_SIMPLE_MAIL";"Brug enkle mailheaders i email"
"GM_STORE_MESSAGES";"Tillad beskeder at være gemt online"
"Genmod_message";"Genmod besked"
"HIDE_GEDCOM_ERRORS";"Skjul Gedcom-fejl"
"HIDE_LIVE_PEOPLE";"Slå fortrolighed til"
"HOME_SITE_TEXT";"Hovedside tekst"
"HOME_SITE_URL";"Websted-URL"
"INDEX_DIRECTORY";"Indexfilmappe"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jødisk Ashkenazi lydform"
"LANGUAGE";"Standardsprog"
"LINK_ICONS";"PopUp-links i diagrammer"
"LOGFILE_CREATE";"Gem logfiler"
"LOGIN_URL";"Login URL"
"MAX_ALIVE_AGE";"Formodes død ved alder"
"MAX_DESCENDANCY_GENERATIONS";"Maksimale antal generationer i Efterkommertræ"
"MAX_PEDIGREE_GENERATIONS";"Maksimale antal generationer i Anetræ"
"MAX_RELATION_PATH_LENGTH";"Maksimale slægtskabsniveau"
"MEDIA_DIRECTORY";"Multimediemappe"
"MEDIA_DIRECTORY_LEVELS";"Mulktimediemappeniveuer at beholde"
"MEDIA_EXTERNAL";"Bevar links"
"META_AUDIENCE";"Publikum META tag"
"META_AUTHOR";"Forfatter META tag"
"META_AUTHOR_descr";"Hvis dette felt lades tomt bruges det fulde navn i  #gm_lang[CONTACT_EMAIL]#."
"META_COPYRIGHT";"Copyright META tag"
"META_COPYRIGHT_descr";"Hvis dette felt lades tomt bruges det fulde navn i  #gm_lang[CONTACT_EMAIL]#."
"META_DESCRIPTION";"Beskrivelse META tag"
"META_DESCRIPTION_descr";"Lad dette felt stå tomt for at bruge navnet på den aktive database"
"META_KEYWORDS";"Nøgleords META tag"
"META_PAGE_TOPIC";"Sideemne META tag"
"META_PAGE_TOPIC_descr";"Lad dette felt stå tomt for at bruge navnet på den aktive database"
"META_PAGE_TYPE";"Sidetype META tag"
"META_PUBLISHER";"Udgiver META tag"
"META_PUBLISHER_descr";"Hvis dette felt lades tomt bruges det fulde navn i  #gm_lang[CONTACT_EMAIL]#."
"META_REVISIT";"Genvisit META tag"
"META_ROBOTS";"Robot META tag"
"META_SURNAME_KEYWORDS";"Tilføj hyppigste efternavne til nøgleords META field"
"META_TITLE";"Tilføj i TITLE header tag"
"NN";"(ukendt)"
"PEDIGREE_FULL_DETAILS";"Vis fødsels- og dødsoplysninger i Anetræ og Efterkommertræ"
"PEDIGREE_LAYOUT";"Standardlayout Anetræ"
"PEDIGREE_ROOT_ID";"Standardperson for Anetræ og Efterkommertræ"
"PN";"(ukendt)"
"PRIVACY_BY_RESN";"Brug Gedcom (RESN) Fortrolighedsindstilling"
"PRIVACY_BY_YEAR";"Begræns fortrolighed afhængig af begivenhedens alder"
"PRIV_HIDE";"Skjul, selv for administratorer"
"PRIV_NONE";"Vis kun til administratorer"
"PRIV_PUBLIC";"Vis til alle"
"PRIV_USER";"Vis kun til godkendte brugere"
"REPO_ID_PREFIX";"Arkiv-ID præfiks"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"En administrator skal godkende nye brugere"
"REQUIRE_AUTHENTICATION";"Forlang logon"
"SEARCHLOG_CREATE";"Gem SearchLog-filer"
"SERVER_URL";"Genmod URL"
"SHOW_COUNTER";"Vis tæller"
"SHOW_DEAD_PEOPLE";"Vis afdøde personer"
"SHOW_EMPTY_BOXES";"Vis tomme bokse i Anetræ"
"SHOW_FAM_ID_NUMBERS";"Vis ID-numre ved siden af familier"
"SHOW_GEDCOM_RECORD";"Tillad brugere at se rå Gedcom-poster"
"SHOW_HIGHLIGHT_IMAGES";"Vis fremhævede billeder i personbokse"
"SHOW_ID_NUMBERS";"Vis ID-numre ved siden af navne"
"SHOW_LDS_AT_GLANCE";"Vis SDH-ritualkoder i diagrambokse"
"SHOW_LIVING_NAMES";"Vis nulevendes navne"
"SHOW_MARRIED_NAMES";"Vis giftenavn i personlisten"
"SHOW_PARENTS_AGE";"Vis forældres alder ved barns fødsel"
"SHOW_PEDIGREE_PLACES";"Stedniveauer at vise i personbokse"
"SHOW_QUICK_RESN";"Vis fortrolige feltoplysninger på #gm_lang[quick_update_title]# formularen"
"SHOW_RESEARCH_LOG";"Vis forskningslog"
"SHOW_SOURCES";"Vis kilder"
