"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"ALLOW_CHANGE_GEDCOM";"Allow GEDCOM switching"
"ALLOW_EDIT_GEDCOM";"Enable online editing"
"ALLOW_REMEMBER_ME";"Show <b>Remember Me</b> option on Login page"
"ALLOW_THEME_DROPDOWN";"Display theme dropdown selector for theme changes"
"ALLOW_USER_THEMES";"Allow users to select their own theme"
"ALPHA_INDEX_LISTS";"Break up lists by the first letter, if longer than"
"AUTO_GENERATE_THUMBS";"Automatically generated thumbnails"
"BCC_WEBMASTER";"Bcc system emails to the webmaster"
"CALENDAR_FORMAT";"Calendar format"
"CHANGELOG_CREATE";"Archive ChangeLog files"
"CHARACTER_SET";"Character Set encoding"
"CHART_BOX_TAGS";"Other facts to show in charts"
"CHECK_CHILD_DATES";"Check child dates"
"CHECK_MARRIAGE_RELATIONS";"Check marriage relations"
"COMMON_NAMES_ADD";"Names to add to Common Surnames (comma separated)"
"COMMON_NAMES_REMOVE";"Names to remove from Common Surnames (comma separated)"
"COMMON_NAMES_THRESHOLD";"Min. no. of occurrences to be a 'Common Surname'"
"CONTACT_EMAIL";"Genealogy contact"
"CONTACT_METHOD";"Contact method"
"DAYS_TO_SHOW_LIMIT";"Upcoming Events block day limit"
"DBHOST";"Database Host"
"DBNAME";"Database Name"
"DBPASS";"Database Password"
"DBPERSIST";"Use persistent database connections"
"DBUSER";"Database Username"
"DEFAULT_GEDCOM";"Default file"
"DEFAULT_PAGE_SIZE";"Default page size for reports"
"DEFAULT_PEDIGREE_GENERATIONS";"Pedigree generations"
"DISPLAY_JEWISH_GERESHAYIM";"Display Hebrew Gershayim"
"DISPLAY_JEWISH_THOUSANDS";"Display Hebrew Thousands"
"DISPLAY_PINYIN";"Add PinYin translation to chinese names/places"
"DISPLAY_TRANSLITERATE";"Transliterate Cyrillic names/places to Roman characters"
"EDIT_AUTOCLOSE";"Autoclose edit window"
"EDIT_GEDCOM_RECORD";"Allow users to edit raw GEDCOM records"
"ENABLE_CLIPPINGS_CART";"Enable Clippings Cart"
"ENABLE_MULTI_LANGUAGE";"Allow user to change language"
"EXCLUDE_HOSTS";"Hostnames and IP (ranges) to exclude from session-IP check"
"EXCLUDE_REQUIRE_AUTHENTICATION";"Exceptions to require visitor authentication"
"EXPAND_RELATIVES_EVENTS";"Automatically expand list of events"
"FAM_FACTS_ADD";"Family Add Facts"
"FAM_FACTS_UNIQUE";"Unique Family Facts"
"FAM_ID_PREFIX";"Family ID prefix"
"FAM_QUICK_ADDFACTS";"Quick Links for Family Facts"
"FAVICON";"Favorites icon"
"GEDCOM_DEFAULT_TAB";"Default tab to show on Individual page"
"GEDCOM_ID_PREFIX";"Individual ID prefix"
"GM_MEMORY_LIMIT";"Memory limit"
"GM_SESSION_SAVE_PATH";"Session save path"
"GM_SESSION_TIME";"Session timeout"
"GM_SIMPLE_MAIL";"Use simple mail headers in external mails"
"GM_STORE_MESSAGES";"Allow messages to be stored online"
"Genmod_message";"Genmod Message"
"HIDE_GEDCOM_ERRORS";"Hide GEDCOM errors"
"HIDE_LIVE_PEOPLE";"Show people who are alive"
"HOME_SITE_TEXT";"Main WebSite text"
"HOME_SITE_URL";"Main WebSite URL"
"INCLUDE_IN_SITEMAP";"Include in sitemap"
"INDEX_DIRECTORY";"Index file directory"
"INDI_EXT_FAM_FACTS";"Show extended family facts in individual fact list"
"INDI_FACTS_ADD";"Individual Add Facts"
"INDI_FACTS_UNIQUE";"Unique Individual Facts"
"INDI_QUICK_ADDFACTS";"Quick Links for Individual Facts"
