"ABBR";"Forkortelse"
"ADDR";"Addresse"
"ADR1";"Addresse 1"
"ADR2";"Addresse 2"
"ADOP";"Adoption"
"AFN";"Ancestral File nummer (AFN)"
"AGE";"Alder"
"AGNC";"Firma"
"ALIA";"Alias"
"ANCE";"Aner"
"ANCI";"Mangler aner"
"ANUL";"Ægteskabsannullering"
"ASSO";"Bekendt"
"AUTH";"Forfatter"
"BAPL";"SDH-dåb"
"BAPM";"Dåb"
"BARM";"Bar Mitzvah"
"BASM";"Bas Mitzvah"
"BIRT";"Fødsel"
"BLES";"Velsignelse"
"BLOB";"Binært dataobjekt"
"BURI";"Begravelse"
"CALN";"Registernummer"
"CAST";"Kaste / Socialklasse"
"CAUS";"Dødsårsag"
"CEME";"Kirkegård"
"CENS";"Folketælling"
"CHAN";"Senest ændret"
"CHAR";"Tegnsæt"
"CHIL";"Barn"
"CHR";"Dåb"
"CHRA";"Voksendåb"
"CITY";"By"
"CONF";"Konfirmation"
"CONL";"SDH-konfirmation"
"COPR";"Ophavsret"
"CORP";"Firma"
"CREM";"Ligbrænding"
"CTRY";"Land"
"DATA";"Data"
"DATE";"Dato"
"DEAT";"Død"
"DESC";"Efterkommere"
"DESI";"Mangler efterkommere"
"DEST";"Rejsemål"
"DIV";"Skilsmisse"
"DIVF";"Skilsmissebegæring"
"DSCR";"Beskrivelse"
"EDUC";"Uddannelse"
"EMIG";"Udvandring"
"ENDL";"SDH-endowment"
"ENGA";"Forlovelse"
"EVEN";"Begivenhed"
"FAM";"Familie"
"FAMC";"Familie som barn"
"FAMF";"Familiefil"
"FAMS";"Familie som ægtefælle"
"FCOM";"Første altergang"
"FILE";"Ekstern fil"
"FORM";"Format"
"GIVN";"Fornavne"
"GRAD";"Afgangseksamen"
"IDNO";"ID-nummer"
"IMMI";"Indvandring"
"LEGA";"Legatmodtager"
"MARB";"Ægteskabslysning"
"MARC";"Ægteskabskontrakt"
"MARL";"Ægteskabsattest"
"MARR";"Ægteskab"
"MARS";"Ægtepagt"
"MEDI";"Medietype"
"NAME";"Navn"
"NATI";"Nationalitet"
"NATU";"Statsborgerskab"
"NCHI";"Antal børn"
"NICK";"Kaldenavn"
"NMR";"Antal ægteskaber"
"NOTE";"Note"
"NPFX";"Præfiks"
"NSFX";"Suffiks"
"OBJE";"Multimedieobjekt"
"OCCU";"Beskæftigelse"
"ORDI";"SDH-ordinance"
"ORDN";"Ordination"
"PAGE";"Citatdetaljer"
"PEDI";"Anetræ"
"PLAC";"Sted"
"PHON";"Telefon"
"POST";"Postnummer"
"PROB";"Skifte"
"PROP";"Ejendom"
"PUBL";"Publikation"
"QUAY";"Datakvalitet"
"REPO";"Arkiv (kildested)"
"REFN";"Referencenummer"
"RELA";"Slægtskab"
"RELI";"Religion"
"RESI";"Opholdssted"
"RESN";"Begrænsning"
"RETI";"Pensionering"
"RFN";"Journalnummer"
"RIN";"Journal-ID"
"ROLE";"Rolle"
"SEX";"Køn"
"SLGC";"SDH-besegling af barn"
"SLGS";"SDH-besegling af ægtefælle"
"SOUR";"Kilde"
"SPFX";"Fornavnspræfiks"
"SSN";"CPR-nummer"
"STAE";"Delstat"
"STAT";"Status"
"SUBM";"Indsender"
"SUBN";"Indsendelse"
"SURN";"Efternavn"
"TEMP";"Tempel"
"TEXT";"Tekst"
"TIME";"Tidspunkt"
"TITL";"Titel"
"TYPE";"Type"
"WILL";"Testamente"
"_EMAIL";"Email"
"EMAIL";"Email"
"_TODO";"Opgave"
"_UID";"Universelt ID"
"_GMU";"Senest ændret af"
"_PRIM";"Fremhævet billede"
"_THUM";"Skal dette billede være billedikon?"
"_MDCL";"Medicinsk"
"_DEG";"Uddannelsesgrad"
"_MILT";"Militærtjeneste"
"_SEPR";"Separeret"
"_DETS";"En ægtefælles død"
"CITN";"Statsborgerskab"
"_FA1";"Faktum 1"
"_FA2";"Faktum 2"
"_FA3";"Faktum 3"
"_FA4";"Faktum 4"
"_FA5";"Faktum 5"
"_FA6";"Faktum 6"
"_FA7";"Faktum 7"
"_FA8";"Faktum 8"
"_FA9";"Faktum 9"
"_FA10";"Faktum 10"
"_FA11";"Faktum 11"
"_FA12";"Faktum 12"
"_FA13";"Faktum 13"
"_MREL";"Slægtskab til mor"
"_FREL";"Slægtskab til far"
"_MSTAT";"Ægteskabsstatus begyndelse"
"_MEND";"Ægteskabsstatus afslutning"
"FAX";"Fax"
"FACT";"Faktum"
"WWW";"Websted"
"MAP";"Kort"
"LATI";"Breddegrad"
"LONG";"Lændegrad"
"FONE";"Fonetisk"
"ROMN";"Latiniseret"
"_NAME";"Adressenavn"
"URL";"Web URL"
"_HEB";"Hebraisk"
"_SCBK";"Scrapbog"
"_TYPE";"Medietype"
"_SSHOW";"Billedshow"
"_SUBQ";"Short Version"
"_BIBL";"Bibliografi"
"_ADPF";"Adopteret af far"
"_ADPM";"Adopteret af mor"
"_AKAN";"Også kaldet"
"_AKA";"Også kendt som"
"_BRTM";"Brit Mila"
"_COML";"Borgerlig vielse"
"_EYEC";"Øjenfarve"
"_FNRL";"Begravelse"
"_HAIR";"Hårfarve"
"_HEIG";"Højde"
"_HOL";"Holocaust"
"_INTE";"Bisat"
"_MARI";"Ægteskabshensigt"
"_MBON";"Ægteskabsattest"
"_MEDC";"Helbred"
"_MILI";"Militær"
"_NMR";"Ugift"
"_NLIV";"Afdød"
"_NMAR";"Aldrig gift"
"_PRMN";"Permanent nummer"
"_WEIG";"Vægt"
"_YART";"Jødisk dødsmesse (Yartzeit)"
"_MARNM";"Giftenavn"
"_STAT";"Ægteskabsstatus"
"COMM";"Kommentar"
"MARR_CIVIL";"Borgerligt ægteskab"
"MARR_RELIGIOUS";"Kirkeligt ægteskab"
"MARR_PARTNERS";"Registreret partnerskab"
"MARR_UNKNOWN";"Ukendt ægteskabsform"
"_HNM";"Hebraisk navn"
