"ABBR";"Abkürzung"
"ADDR";"Adresse"
"ADR1";"Adresse 1"
"ADR2";"Adresse 2"
"ADOP";"Adoption"
"AFN";"Vorfahren Nummer (AFN)"
"AGE";"Alter"
"AGNC";"Büro"
"ALIA";"Alias"
"ANCE";"Vorfahren"
"ANCI";"Vorfahren Interesse"
"ANUL";"Annullierung"
"ASSO";"Vereinigung"
"AUTH";"Verfasser"
"BAPL";"HLT Taufe"
"BAPM";"Taufe"
"BARM";"Bar Mitzvah"
"BASM";"Bas Mitzvah"
"BIRT";"Geburt"
"BLES";"Segen"
"BLOB";"Binäres Daten-Objekt"
"BURI";"Beerdigung"
"CALN";"Rufnummer"
"CAST";"Kaste / Soziale Stellung / Status"
"CAUS";"Todesursache"
"CEME";"Friedhof"
"CENS";"Volkszählung"
"CHAN";"Letzte Änderung"
"CHAR";"Zeichensatz"
"CHIL";"Kind"
"CHR";"Kleinkind Taufe"
"CHRA";"Erwachsenen Taufe"
"CITY";"Stadt"
"CONF";"Konfirmation"
"CONL";"HLT Konfirmation"
"COPR";"Copyright"
"CORP";"Firma"
"CREM";"Einäscherung"
"CTRY";"Land"
"DATA";"Daten"
"DATE";"Datum"
"DEAT";"Tod"
"DESC";"Nachfahren"
"DESI";"Nachfahren Interesse"
"DEST";"Bestimmung"
"DIV";"Scheidung"
"DIVF";"Scheidungsakte"
"DSCR";"Beschreibung"
"EDUC";"Ausbildung"
"EMIG";"Auswanderung"
"ENDL";"HLT Begabung"
"ENGA";"Verlobung"
"EVEN";"Ereignis"
"FAM";"Familie"
"FAMC";"Familie als Kind"
"FAMF";"Familien-Akte"
"FAMS";"Familie als Ehepartner"
"FCOM";"Erstkommunion"
"FILE";"Externe Datei"
"FORM";"Format"
"GIVN";"Vornamen"
"GRAD";"Schulabschluß"
"HUSB";"Ehemann"
"IDNO";"Identifikationsnummer"
"IMMI";"Einwanderung"
"LEGA";"Erbe"
"MARB";"Eheaufgebot"
"MARC";"Ehevertrag"
"MARL";"Ehegenehmigung"
"MARR";"Heirat"
"MARS";"Ehevergleich"
"MEDI";"Multimedia Typ"
"NAME";"Name"
"NATI";"Nationalität"
"NATU";"Einbürgerung"
"NCHI";"Anzahl der Kinder"
"NICK";"Spitzname"
"NMR";"Anzahl der Ehen"
"NOTE";"Notiz"
"NPFX";"Titel / Präfix"
"NSFX";"Namenszusatz"
"OBJE";"Multimedia Objekt"
"OCCU";"Beruf"
"ORDI";"Anordnung"
"ORDN";"Ordination"
"PAGE";"Auszeichnungs Details"
"PEDI";"Stammbaum"
"PLAC";"Ort"
"PHON";"Telefon"
"POST";"Postleitzahl"
"PROB";"Testamentsbestätigung"
"PROP";"Besitz"
"PUBL";"Veröffentlichung"
"QUAY";"Qualität der Daten"
"REPO";"Lagerort"
"REFN";"Referenz Nummer"
"RELA";"Verwandtschaft "
"RELI";"Religion"
"RESI";"Wohnort"
"RESN";"Einschränkung"
"RETI";"Ausscheiden"
"RFN";"Datensatznummer"
"RIN";"Daten ID-Nummer"
"ROLE";"Rolle"
"SEX";"Geschlecht"
"SLGC";"HLT Kindes-Siegelung"
"SLGS";"HLT Ehepartner-Siegelung"
"SOUR";"Quelle"
"SPFX";"Nachnamenszusatz"
"SSN";"Sozialversicherungs-Nummer"
"STAE";"Staat"
"STAT";"Status"
"SUBM";"Übermittler"
"SUBN";"Übermittlung"
"SURN";"Nachname"
"TEMP";"Tempel"
"TEXT";"Text"
"TIME";"Zeit"
"TITL";"Titel"
"TYPE";"Typ"
"WIFE";"Ehefrau"
"WILL";"Testament"
"_EMAIL";"Email-Adresse"
"EMAIL";"Email-Addresse"
"_TODO";"ToDo"
"_UID";"Universelle<br />Identifikationsnummer<br />(UID)"
"_PRIM";"Bevorzugtes Bild"
"_MDCL";"Medizinische Information"
"_DEG";"Akademischer Grad"
"_MILT";"Militärdienst"
"_SEPR";"Getrennt"
"_DETS";"Tot eines Ehepartners"
"CITN";"Staatsangehörigkeit"
"_FA1";"Ereignis 1"
"_FA2";"Ereignis 2"
"_FA3";"Ereignis 3"
"_FA4";"Ereignis 4"
"_FA5";"Ereignis 5"
"_FA6";"Ereignis 6"
"_FA7";"Ereignis 7"
"_FA8";"Ereignis 8"
"_FA9";"Ereignis 9"
"_FA10";"Ereignis 10"
"_FA11";"Ereignis 11"
"_FA12";"Ereignis 12"
"_FA13";"Ereignis 13"
"_MREL";"Verwandtschaft zur Mutter"
"_FREL";"Verwandtschaft zum Vater"
"_MSTAT";"Beginn des Ehe-Status"
"_MEND";"Ende des Ehe-Status"
"FAX";"FAX"
"FACT";"Ereignis"
"WWW";"Internetseite"
"MAP";"Karte"
"LATI";"Breitengrad"
"LONG";"Längengrad"
"FONE";"Phonetisch"
"ROMN";"Romanisiert"
"_NAME";"Name"
"URL";"Internet URL"
"_HEB";"Hebräisch"
"_SCBK";"Sammelalbum"
"_TYPE";"Multimedia-Typ"
"_SSHOW";"Diashow"
"_SUBQ";"Kurzfassung"
"_BIBL";"Quellenverzeichnis"
"EMAL";"Email Adresse"
"_ADPF";"Vom Vater adoptiert"
"_ADPM";"Von der Mutter adoptiert"
"_AKAN";"Auch bekannt als"
"_AKA";"Auch bekannt als"
"_BRTM";"Brit mila"
"_COML";"eheähnliche Lebensgemeinschaft"
"_EYEC";"Augenfarbe"
"_FNRL";"Bestattung"
"_HAIR";"Haarfarbe"
"_HEIG";"Größe"
"_HOL";"Holocaust"
"_INTE";"Begraben"
"_MARI";"Heiratsabsicht"
"_MBON";"Verlobung"
"_MEDC";"Gesundheitszustand"
"_MILI";"Militär"
"_NMR";"unverheiratet"
"_NLIV";"nicht lebend"
"_NMAR";"nie verheiratet"
"_PRMN";"permanente Nummer"
"_WEIG";"Gewicht"
"_YART";"Yartzeit"
"_MARNM";"Nachname in Ehe"
"_STAT";"Ehestatus"
"COMM";"Kommentar"
"MARR_CIVIL";"standesamtliche Hochzeit"
"MARR_RELIGIOUS";"kirchliche Hochzeit"
"MARR_PARTNERS";"eingetragene Lebensgemeinschaft"
"MARR_UNKNOWN";"Art der Hochzeit unbekannt"
"_HNM";"Hebräischer Name"
"_DEAT_SPOU";"Tod des Ehepartners"
