"ABBR";"Συντομογραφία"
"ADDR";"Διεύθυνση"
"ADOP";"Υιοθεσία"
"ADR1";"Διεύθυνση 1"
"ADR2";"Διεύθυνση 2"
"AFN";"Ancestral File Number (AFN)"
"AGE";"Ηλικία"
"AGNC";"Agency"
"ALIA";"Ψευδόνυμο"
"ANCE";"Πρόγονοι"
"ANCI";"Ενδιαφέροντα Προγόνων"
"ANUL";"Ακύρωση"
"ASSO";"Συνέταιροι"
"AUTH";"Συγγραφέας"
"BAPL";"LDS Βάπτιση"
"BAPM";"Βάπτιση"
"BARM";"Bar Mitzvah"
"BASM";"Bas Mitzvah"
"BIRT";"Γέννηση"
"BLES";"Ευλογία"
"BLOB";"Binary Data Object"
"BURI";"Ταφή"
"CALN";"Call Number"
"CAST";"Κοινωνική τάξη"
"CAUS";"Αίτια θανάτου"
"CENS";"Απογραφή"
"CHAN";"Τελευταία Αλλαγή"
"CHAR";"Character Set"
"CHIL";"Παιδί"
"CHR";"Βάπτιση"
"CHRA";"Βάπτιση Ενήλικα"
"CITN";"Υπηκοότητα"
"CITY";"Πόλη"
"COMM";"Σχόλιο"
"CONF";"Χρίσμα"
"CONL";"LDS Χρίσμα"
"COPR";"Πνευματική Ιδιοκτησία"
"CORP";"Εταιρία"
"CREM";"Αποτέφρωση"
"CTRY";"Χώρα"
"DATA";"Δεδομένα"
"DATE";"Ημερομηνία"
"DEAT";"Θάνατος"
"DESC";"Απόγονοι"
"DESI";"Ενδιαφέροντα Απογόνων"
"DEST";"Προορισμός"
"DIV";"Διαζύγιο"
"DIVF";"Αίτηση Διαζυγίου"
"DSCR";"Περιγραφή"
"EDUC";"Εκπαίδευση"
"EMAIL";"Ηλεκτρονικό Ταχυδρομείο"
"EMIG";"Μετανάστευση"
"ENDL";"LDS Προίκα"
"ENGA";"Αρραβώνας"
"EVEN";"Γεγονός"
"FACT";"Περιστατικό"
"FAM";"Οικογένεια"
"FAMC";"Οικογένεια σαν παιδί"
"FAMF";"Οικογενειακό Αρχείο"
"FAMS";"Οικογένεια σαν σύζυγος"
"FAX";"FAX"
"FCOM";"Πρώτη Κοινωνία"
"FILE";"Εξωτερικό Αρχείο"
"FONE";"Φωνητικά"
"FORM";"Μορφή"
