"ABBR";"Lyhenne"
"ADDR";"Osoite"
"ADR1";"Osoite 1"
"ADR2";"Osoite 2"
"ADOP";"Adoptio"
"AFN";"Esipolvitiedoston numero (AFN)"
"AGE";"Ikä"
"AGNC";"Viranomainen"
"ALIA";"Alias"
"ANCE";"Esivanhemmat"
"ANCI";"Esivanhempien harrastus"
"ANUL";"Kumoaminen"
"ASSO";"Kumppanit"
"AUTH";"Tekijä"
"BAPL";"Mormoonikaste"
"BAPM";"Kastettu"
"BARM";"Bar Mitzva"
"BASM";"Bat Mitzva"
"BIRT";"Syntynyt"
"BLES";"Siunaus"
"BLOB";"Binaaridataobjekti"
"BURI";"Haudattu"
"CALN";"Puhelinnumero"
"CAST";"Luokka / Sosiaalinen asema"
"CAUS";"Kuolinsyy"
"CEME";"Hautausmaa"
"CENS";"Väestölaskenta"
"CHAN";"Muutettu viimeksi"
"CHAR";"Merkkivalikoima"
"CHIL";"Lapsi"
"CHR";"Kaste"
"CHRA";"Aikuiskaste"
"CITY";"Kaupunki"
"CONF";"Rippi"
"CONL";"Mormooni rippi"
"COPR";"Tekijänoikeus"
"CORP";"Yhtiö"
"CREM";"Polttohautaus"
"CTRY";"Maa"
"DATA";"Data"
"DATE";"Päiväys"
"DEAT";"Kuollut"
"DESC";"Jälkeläiset"
"DESI";"Jälkeläisten harrastus"
"DEST";"Kohde"
"DIV";"Avioero"
"DIVF";"Avioero kirjattu"
"DSCR";"Kuvaus"
"EDUC";"Koulutus"
"EMIG";"Maastamuutto"
"ENDL";"LDS Endowment"
"ENGA";"Kihlaus"
"EVEN";"Tapahtuma"
"FAM";"Perhe"
"FAMC";"Perhe lapsena"
"FAMF";"Perhetiedosto"
"FAMS";"Perhe puolisona"
"FCOM";"Ensimmäinen rippi"
"FILE";"Ulkoinen tiedosto"
"FORM";"Muoto"
"GIVN";"Etunimet"
"GRAD";"Tutkinto"
"HUSB";"Mies"
"IDNO";"Henkilönumero"
"IMMI";"Maahanmuutto"
"LEGA";"Perinnönsaaja"
"MARB";"Aviokuulutus"
"MARC";"Avioliittosopimus"
"MARL";"Vihkitodistus"
"MARR";"Vihitty"
"MARS";"Avioehto"
"MEDI";"Mediatyyppi"
"NAME";"Nimi"
"NATI";"Kansallisuus"
"NATU";"Kansalaiseksi ottaminen"
"NCHI";"Lasten määrä"
"NICK";"Lempinimi"
"NMR";"Avioliittojen määrä"
"NOTE";"Huomautus"
"NPFX";"Etuliite"
"NSFX";"Pääte"
"OBJE";"Multimediaobjekti"
"OCCU";"Ammatti"
"ORDI";"Ordinance"
"ORDN";"Ordination"
"PAGE";"Lainaus"
"PEDI";"Esipolvitaulu"
"PLAC";"Paikka"
"PHON";"Puhelin"
"POST";"Postinumero"
"PROB";"Testamentin vahvistus"
"PROP";"Omaisuus"
"PUBL";"Julkaisu"
"QUAY";"Tiedon laatu"
"REPO";"Tallennuspaikka"
"REFN";"Viitenumero"
"RELA";"sukulaisuussuhde"
"RELI";"Uskonto"
"RESI";"Asuinpaikka"
"RESN";"Rajoitus"
"RETI";"Eläkkeelle"
"RFN";"Tietueen tiedostonumero"
"RIN";"Tietueen ID numero"
"ROLE";"Rooli"
"SEX";"Sukupuoli"
"SLGC";"LDS Child Sealing"
"SLGS";"LDS Spouse Sealing"
"SOUR";"Lähde"
"SPFX";"Sukunimen etuliite"
"SSN";"Henkilötunnus"
"STAE";"Osavaltio"
"STAT";"Tila"
"SUBM";"Lähettäjä/toimittaja"
"SUBN";"Lähetys/toimitus"
"SURN";"Sukunimi"
"TEMP";"Temppeli"
"TEXT";"Teksti"
"TIME";"Aika"
"TITL";"Aihe"
"TYPE";"Tyyppi"
"WIFE";"Vaimo"
"WILL";"Testamentti"
"_EMAIL";"Sähköpostiosoite"
"EMAIL";"Sähköpostiosoite"
"_TODO";"Työlistalla"
"_UID";"Yleistunniste"
"_GMU";"Viimeiseksi muuttanut"
"SERV";"Etäpalvelin"
"_GEDF";"GEDCOM-tiedosto"
"_PRIM";"Korostettu kuva"
"_THUM";"Käytä tätä kuvaa pienoiskuvana?"
"_MDCL";"Lääketieteellinen"
"_DEG";"Tutkinto"
"_MILT";"Sotapalvelus"
"_SEPR";"Asumusero"
"_DETS";"Puolison kuolema"
"CITN";"Kansalaisuus"
"_FA1";"Fakta 1"
