"ABBR";"Förkortning"
"ADDR";"Adress"
"ADR1";"Adress 1"
"ADR2";"Adress 2"
"ADOP";"Adoption"
"AFN";"Ancestral File Number (AFN)"
"AGE";"Ålder"
"AGNC";"Myndighet"
"ALIA";"Alias"
"ANCE";"Anor"
"ANCI";"Intressant anfader"
"ANUL";"Ogiltigförklaring"
"ASSO";"Kompanjoner"
"AUTH";"Författare"
"BAPL";"LDS dop"
"BAPM";"Döpt"
"BARM";"Bar Mitzvah"
"BASM";"Bas Mitzvah"
"BIRT";"Född"
"BLES";"Välsignelse"
"BLOB";"Binärt data objekt"
"BURI";"Begravd"
"CALN";"Arkivnummer"
"CAST";"Samhällsklass / Social status"
"CAUS";"Dödsorsak"
"CEME";"Kyrkogård"
"CENS";"Folkräkning"
"CHAN";"Senast ändrad"
"CHAR";"Teckentabell"
"CHIL";"Barn"
"CHR";"Döpt"
"CHRA";"Vuxendop"
"CITY";"Stad"
"CONF";"Konfirmation"
"CONL";"LDS konfirmation"
"COPR";"Upphovsrätt"
"CORP";"Företag"
"CREM";"Kremering"
"CTRY";"Land"
"DATA";"Data"
"DATE";"Datum"
"DEAT";"Död"
"DESC";"Ättlingar"
"DESI";"Intressant ättling"
"DEST";"Destination"
"DIV";"Skild"
"DIVF";"Ansökt om skilsmässa"
"DSCR";"Fysisk beskrivning"
"EDUC";"Utbildning"
"EMIG";"Utvandring"
"ENDL";"LDS Gåva"
"ENGA";"Förlovning"
"EVEN";"Händelse"
"FAM";"Familj"
"FAMC";"Familj som barn"
"FAMF";"Familjefil"
"FAMS";"Familj som make/a"
"FCOM";"Första nattvarden"
"FILE";"Extern fil"
"FORM";"Format"
"GIVN";"Förnamn"
"GRAD";"Examen"
"HUSB";"Make"
"IDNO";"Personnummer"
"IMMI";"Invandring"
"LEGA";"Förmånstagare"
"MARB";"Lysning"
"MARC";"Äktenskapsförord"
"MARL";"Äktenskapsbevis"
"MARR";"Vigd"
"MARS";"Äktenskapsförord"
"MEDI";"Mediatyp"
"NAME";"Namn"
"NATI";"Nationalitet"
"NATU";"Medborgarskap"
"NCHI";"Antal barn"
"NICK";"Smeknamn"
"NMR";"Antal äktenskap"
