"messaging2_help";"Appena invii questo messaggio riceverai una copia via email all'indirizzo che hai fornito."
"default_gedcom_help";"The MySQL version of Genmod allows you to work with multiple GEDCOM datasets in the same instance of Genmod.  Use this variable to set a default GEDCOM dataset for all users when they first come to your site.  A blank value will select the first GEDCOM that was imported.  If you allow the user to change the GEDCOM, there will be a link on every page that allows them to switch the GEDCOM dataset they are using.  This sets the $DEFAULT_GEDCOM variable in the config.php file."
"DBHOST_help";"The DNS or IP address of the computer hosting your MySQL database server.  This sets the $DBHOST variable in the config.php file."
"DBUSER_help";"The MySQL database username required to login to your database.  This sets the $DBUSER variable in the config.php file."
"DBPASS_help";"The MySQL database password for the user you entered in the Username field.  This sets the $DBPASS variable in the config.php file."
"DBNAME_help";"The Database in the MySQL server you want Genmod to use.  The Username you enter in the user field must have create, insert, update, delete, and select privileges on this database.  This sets the $DBNAME variable in the config.php file."
"TBLPREFIX_help";"A prefix to append to the MySQL tables created by Genmod.  By changing this value you can setup multiple Genmod sites to use the same database but different tables.  This sets the $TBLPREFIX variable in the config.php file."
"ALLOW_CHANGE_GEDCOM_help";"Setting this value to yes allows visitors to your site to have the option of changing GEDCOMs if you have a multiple GEDCOM environment setup.  This sets the $ALLOW_CHANGE_GEDCOM variable in the config.php file."
"gedcom_path_help";"First upload your GEDCOM file to a location accessible by php on your server.  Then enter the path to that file here.  This sets the $GEDCOM variable in the config.php file.<br /><br />See the <a href="readme.txt">Readme.txt</a> file for more help."
"CHARACTER_SET_help";"This is the character set of your GEDCOM file.  UTF-8 is the default and should work for almost all sites.  If you export your GEDCOM using ibm windows encoding, then you should put WINDOWS here.<br /><br />This sets the $CHARACTER_SET variable in the config.php file.<br /><br />NOTE: PHP does NOT support UNICODE (UTF-16) so don't try it and complain to the PHP folks :-)"
"LANGUAGE_help";"Assign the default language for the site.  Users have the ability to override this setting using their browser preferences or the form at the bottom of the page if ENABLE_MULTI_LANGUAGE = true.<br /><br />This sets the $LANGUAGE variable in the config.php file."
"ENABLE_MULTI_LANGUAGE_help";"Set to 'yes' to give users the option of selecting a different language from a dropdown list in the footer and default to the language they have set in their browser settings.<br /><br />This sets the $ENABLE_MULTI_LANGUAGE variable in the config.php file."
