"messaging2_help";"Если Ваше сообщение послано, то Вы получите копию на эл.адрес, который Вы указали. "
"gd_helplink";"http://www.php.net/gd"
"show_full_help";"~ПОКАЗАТЬ ПОДРОБНОСТИ ИЛИ СКРЫТЬ ПОДРОБНОСТИ~<br /><br />В этой опции Вы можете указать в названиях разделах  хотите Вы показать или скрыть подробности. Если все подробности скрыты, то на экране можно показать большее название разделов."
"talloffset_help";"~ОРИЕНТАЦИЯ ЭКРАНА~<br /><br />В этой опции можно определить ориентацию экрана: вертикальная или горизонтальная. Эти изменения полезно устанавливать при некоторых типах мониторов или в некоторых случаях можно это изменить если это улучшает изображение."
"rootid_help";"~СТАРТОВАЯ ПЕРСОНА ВОСХОДЯЩЕГО ДЕРЕВА~<br /><br /Если Вы хотите стартовой персоной восходящего дерева сделать другое лицо, то введите его ID номер.<br /> Если Вы не знаете ID номер этого лица, то использйте опцию "Искать ID". Для поиска и выбора, введя вручную имя (или часть имени) интересующей персоны."
"PEDIGREE_GENERATIONS_help";"~ЧИСЛО ПОКОЛЕНИЙ НА ЭКРАНЕ~<br /><br />Здесь Вы можете задать сколько поколений будет показано на экране.<br />Это зависит от размера Вашего экрана и от того, хотите ли Вы видеть также подробности названий разделов."
"login_page_help";"~ВХОД В ПРОГРАММУ~<br /><br />На этой странице Вы можете войти в программу Genmod, запросить новый пароль, объявить себя как новый пользователь.<br /><br />Кликнув по "?" слева за полем, можно получить больше информации."
"username_help";"~ИМЯ ПОЛЬЗОВАТЕЛЯ~<br /><br />В это поле вводится имя пользователя. Система различает заглавные и строчные буквы.<br /><br />Если Вы еще не имеете имя пользователя, то можете его запросить кликнув по нижестоящему линку "Еще не являетесь пользователем? Запрос имя пользователя здесь.""
"password_help";"~ПАРОЛЬ~<br /><br />В это поле вводится пароль.<br />Система различает в пароле заглавные и строчные буквы.<br /><br />Если Вы забыли пароль, то можете кликнуть по линку "Забыли пароль? Запрос нового пароля здесь"."
"login_buttons_help";"~КНОПКИ ДОСТУПА~<br /><br />Вы видете здесь три кнопки доступа к системе.<br />В зависимости от Вашего выбора, вы идете на:<br /><br />* кнопка<b> #gm_lang[login]# </b> <br />Если Вы по ней кликните, то Вы возвратитесь на первоначальную страницу, откуда пришли<br /Таким образом, если Вы кликните по "#gm_lang[login]#" начиная со страницы восходящего дерева, то вы возвратитесь туда назад.<br /><br />* <b>Кнопка#gm_lang[mygedview]#</b> <br />Если Вы кликните здесь, то Вы войдете в программу сразу на личный портал. Здесь Вы можете сделать Ваши личные установки и применить фавориты, послать и получить эл.письма (e-mail) и т.д.<br /><br />* <b>#gm_lang[admin]#</b> кнопка<br />Если Вы имеете право на администрирование, то Вы можете использовать эту кнопку для прямого входа на страничку администрирования."
"login_buttons_aut_help";"~КНОПКИ ДОСТУПА~<br /><br />Вы видете здесь три кнопки доступа к системе. до того как Вы ввели имя пользователя и пароль.<br />В зависимости от Вашего выбора, вы идете на:<br /><br />* <b> #gm_lang[login_aut]# </b> кнопка<br />Если Вы по ней кликните, то Вы получите возможность изменить данные пользователя. Это может быть Ваш пароль, Ваша стандартная стартовая персона в восходящем дереве, язык Genmod и Ваша отделка сайта.<br /><br />* <b>#gm_lang[mygedview]#</b> кнопка <br />Если Вы кликните здесь, то Вы войдете в программу сразу на личный портал. Здесь Вы можете сделать Ваши личные установки и применить фавориты, послать и получить эл.письма (e-mail) и т.д.<br /><br />* <b>#gm_lang[admin]#</b> кнопка<br />Если Вы имеете право на администрирование, то Вы можете использовать эту кнопку для прямого входа на страничку администрирования.|"
"new_password_help";"~ЗАПРОС ПАРОЛЯ ~<br /><br />Если Вы забыли пароль, то Вы можете сделать запрос нового пароля, кликнув здесь.<br />Внимание: это действительно только для пользователей, которые распологают уже именем пользователя на нашем сайте."
"new_user_help";"~ЗАПРОС НОВОГО ИМЕНИ ПОЛЬЗОВАТЕЛЯ~<br /><br />Щелкните здесь если Вы хотите запросить имя пользователя на нашем сайте.<br />Внимание: это действительно для пользователей, кто еще никогда не имел имя пользования на нашем сайте или не подтвердил свое имя пользователя в течение 7 дней после запроса."
"desc_rootid_help";"СТАРТОВАЯ ПЕРСОНА ПОТОМКОВ~<br /><br />Если просмотр потомков Вы хотите начать с другой персоны чем стартовая, введите в поле его ID номер.<br />Если Вы не знаете его/ее ID номер, Вы можете воспользоваться поиском, используя линк "Искать ID". Для поиска введите имя (или часть имени) интересующей персоны."
