"stat_sources";"pramenů,"
"stat_other";"ostatních záznamů"
"stat_individuals";"osob,"
"stat_families";"rodin,"
"gedcom_block";"Uvítací blok GEDCOM"
"gedcom_favorites_block";"Blok Oblíbených GEDCOMu"
"gedcom_favorites";"Oblíbené u tohoto GEDCOMu"
"gedcom_news_block";"Blok novinek GEDCOMu"
"gedcom_news";"Novinky"
"gedcom_stats";"Statistika GEDCOMu"
"gedcom_created_using";"Tento GEDCOM byl vytvořen v programu <b>#SOFTWARE# #VERSION#</b>."
"gedcom_created_on2";"<b>#DATE#</b>"
"logged_in_users_block";"Přihlášeni uživatelé"
"login_block";"Přihlašovací blok"
"random_media_block";"Blok náhodného média"
"recent_changes_block";"Blok posledních změn"
"theme_select_block";"Blok pro výběr motivu"
"todays_events_block";"Blok pro dnešní den"
"block_top10";"Blok příjmení Top-10"
"upcoming_events_block";"Blok nadcházejících událostí"
"user_news_block";"Uživatelský deník"
"user_favorites_block";"Blok uživatelských Oblíbených"
"user_messages_block";"Blok zpráv"
"welcome_block";"Uvítací blok uživatele"
"login";"Přihlásit se"
"welcome_page";"Úvodní stránka"
"help_not_exist";"<b>Nápověda k této stránce či položce zatím není k dispozici</b>"
"mygedview";"Vstupní brána MyGedView"
"charts";"Schémata"
"pedigree_chart";"Vývod"
"descend_chart";"Rozrod"
"timeline_chart";"Časová osa"
"relationship_chart";"Schéma vztahů"
"ancestry_chart";"Přehled předků"
"fan_chart";"Vějířové schéma"
"hourglass_chart";"Schéma přesýpacích hodin"
"lists";"Seznamy"
"individual_list";"Seznam osob"
"family_list";"Seznam rodin"
"patriarch_list";"Seznam praotců"
"source_list";"Seznam pramenů"
"place_list";"Hierarchie míst"
"media_list";"Seznam multimédií"
"anniversary_calendar";"Kalendář výročí"
"viewday";"Zobrazit den"
"viewmonth";"Zobrazit měsíc"
"viewyear";"Zobrazit rok"
"reports";"Zprávy"
"clippings_cart";"Schránka výstřižků"
"search";"Hledat"
"help_for_this_page";"Nápověda k této stránce"
"help_contents";"Obsah nápovědy"
"jan";"leden"
"feb";"únor"
"mar";"březen"
"apr";"duben"
"may";"květen"
"jun";"červen"
"jul";"červenec"
"aug";"srpen"
"sep";"září"
"oct";"říjen"
"nov";"listopad"
"dec";"prosinec"
"abt";"kolem"
"aft";"po"
"and";"a"
"bef";"před"
"bet";"mezi"
"cal";"odhadnuto"
"est";"přibližně"
"from";"od"
"int";"interpretováno"
"to";"do"
"cir";"asi"
"apx";"přibl."
"NN";"(neznámé)"
"PN";"(neznámé)"
"cancel";"Zrušit"
"none";"Žádná"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"Blok statistiky GEDCOMu"
"sorry";"<b>Nápověda k této stránce či položce ještě bohužel nebyla dokončena</b>"
"resolution";"Rozlišení obrazovky"
"menu";"Menu"
"header";"Záhlaví"
"imageview";"Prohlížeč obrázků"
"login_head";"Přihlášení uživatele Genmod"
"error_title";"CHYBA: Není možné otevřít soubor GEDCOM"
"error_header";"Soubor GEDCOM, [#GEDCOM#], není na zadaném místě."
"error_header_write";"Do souboru GEDCOM [#GEDCOM#] nelze zapisovat. Zkontrolujte vlastnosti a přístupová práva souboru."
"for_support";"Pro technickou podporu a další informace kontaktujte"
"for_contact";"S dotazy k rodokmenu se obracejte na"
"for_all_contact";"Pro technickou podporu nebo s dotazy k rodokmenu prosím kontaktujte"
"build_title";"Vytvoření Index souborů"
"build_error";"Soubor GEDCOM byl aktualizován."
"please_wait";"Chvilku strpení. Probíhá přepisování rejstříkových souborů."
"choose_gedcom";"Vybrat GEDCOM databázi"
"username";"Uživatelské jméno"
"invalid_username";"Uživatelské jméno obsahuje neplatné znaky"
"password";"Heslo"
"confirm";"Potvrzení hesla"
"user_contact_method";"Upřednostňovaný způsob kontaktu"
"login_aut";"Upravit uživatele"
"logout";"Odhlásit se"
"admin";"Admin"
"logged_in_as";"Přihlášen jako "
"my_pedigree";"Můj vývod"
"my_indi";"Můj osobní záznam"
"yes";"Ano"
"no";"Ne"
"add_gedcom";"Přidat další GEDCOM"
"change_theme";"Změna motivu"
"gedcom_downloadable";"Tento GEDCOM může být stažen po internetu!<br />Prosím přečtěte si odstavec o BEZPEČNOSTI v souboru <a href="readme.txt">readme.txt</a> a zjednejte nápravu"
"index_header";"Vývod"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# - generační schéma"
"generations";"Počet generací"
"view";"Zobrazit"
"fam_spouse";"Rodina s partnerem"
"root_person";"ID střena"
"hide_details";"Skrýt podrobnosti"
"show_details";"Ukázat podrobnosti"
"person_links";"Odkazy na schémata, rodiny a blízké příbuzné této osoby. Klikněte na tuto ikonu pro zvolené zobrazení rodokmenu s touto osobou jako střenem."
"zoom_box";"Zvětšení/zmenšení tohoto rámečku."
"portrait";"Na výšku"
"landscape";"Na šířku"
"start_at_parents";"Začít u rodičů"
"max_generation";"Maximální počet generací  je #PEDIGREE_GENERATIONS#."
"min_generation";"Minimální počet generací je 3."
"box_width";"Šířka rámečku"
"unable_to_find_family";"Není možné nalézt rodinu s id"
"unable_to_find_indi";"Není možné nalézt osobu s id"
"unable_to_find_record";"Není možné nalézt záznam s id"
"unable_to_find_source";"Není možné nalézt zdroj s id"
"unable_to_find_repo";"Není možné nalézt pramen s id"
"repo_name";"Název pramene:"
"address";"Adresa:"
"phone";"Telefon:"
"source_name";"Název zdroje:"
"title";"Nadpis"
"author";"Autor:"
"publication";"Publikace:"
"call_number";"Telefonní číslo:"
"living";"Žijící osoba"
"private";"Soukromé"
"birth";"Narození:"
"death";"Úmrtí:"
"place_list_aft";"Hierarchie míst podle"
"not_an_array";"Toto není pole"
"print_preview";"Tiskový režim"
"cancel_preview";"Zpět do normálního zobrazení"
"change_lang";"Změnit jazyk"
"print";"Vytisknout"
"total_queries";"Celkový počet dotazů na databázi: "
"total_privacy_checks";"Úplných kontrol privátnosti celkem:"
"back";"Zpět"
"privacy_list_indi_error";"Kvůli nastavení privátnosti je jedna či více osob skrytých."
"privacy_list_fam_error";"Kvůli nastavení privátnosti je jedna či více osob skrytých."
"aka";"alias"
"male";"Muž"
"female";"Žena"
"temple";"Chrám LDS (Temple)"
"temple_code";"Kód LDS Chrámu (Temple):"
"status";"Stav"
"source";"Pramen"
"citation";"Citace:"
"text";"Zdrojový text:"
"note";"Poznámka"
"unrecognized_code";"Nebyl rozpoznán GEDCOM kód"
"unrecognized_code_msg";"Došlo k chybě. Rádi bychom ji opravili. Prosím informujte nás o tomto problému na "
"indi_info";"Informace o osobě"
"family";"Rodina"
"family_with";"Rodina s"
"as_spouse";"Rodina s partnerem"
"as_child";"Rodina s rodiči"
"view_gedcom";"Zobrazit GEDCOM záznam"
"add_to_cart";"Přidat do schránky výstřižků"
"still_living_error";"tato osoba ještě žije u ní nejsou zaznamenána data narození a úmrtí. Všechny podrobnosti o žijících osobách jsou skryta.<br />Pro další informace kontaktujte"
"privacy_error";"Podrobnosti o této osobě jsou soukromé.<br />"
"more_information";"Pro další informace kontaktujte"
"name";"Jméno"
"given_name";"Křestní jméno:"
"surname";"Příjmení:"
"suffix";"Suffix:"
"object_note";"Poznámka k objektu:"
"sex";"Pohlaví"
"personal_facts";"Osobní údaje a podrobnosti"
"type";"Typ"
"date";"Datum"
"place_description";"Místo / Popis"
"parents";"Rodiče:"
"siblings";"Sourozenci"
"father";"Otec"
"mother";"Matka"
"relatives";"Blízcí příbuzní"
"child";"Dítě"
"spouse";"Partner"
"surnames";"Příjmení"
"adopted";"Adoptován(a)"
"foster";"Pěstoun"
"sealing";"nepřeloženo!!!: Sealing"
"no_tab1";"K této osobě nejsou dostupné žádné údaje."
"no_tab2";"K této osobě nejsou žádné poznámky."
"no_tab3";"K této osobě nejsou žádné citace pramenů."
"no_tab4";"K této osobě nejsou k dispozici žádné obrázky."
"no_tab5";"K této osobě nejsou dostupní žádní blízcí příbuzní."
"family_info";"Informace o rodině"
"family_group_info";"Informace o rodině (manželství)"
"husband";"Manžel"
"wife";"Manželka"
"marriage";"Sňatek:"
"lds_sealing";"LDS Sealing:"
"marriage_license";"Svatební smlouva:"
"media_object";"Multimediální soubor:"
"children";"Děti"
"no_children";"Žádné zaznamenané děti"
"parents_timeline";"Ukázat pár na<br />časové ose"
"clip_cart";"Schránka výstřižků"
"clip_explaination";"Schránka výstřižků vám umožňuje pořídit z tohoto rodokmenu &quot;výstřižky&quot; a uložit je do samostatného GEDCOM souboru ke stáhnutí.<br /><br />"
"item_with_id";"Položka s id"
"error_already";"již je mezi výstřižky."
"which_links";"Které vztahy z této rodiny byste ještě rádi přidali?"
"just_family";"Přidat jen tento rodinný záznam."
"parents_and_family";"Přidat rodiče s tímto rodinným záznamem."
"parents_and_child";"Přidat záznamy rodičů a dětí s tímto rodinným záznamem."
"parents_desc";"Přidat všechny záznamy rodičů a všech potomků s tímto rodinným záznamem."
"continue";"Pokračovat v přidávání"
"which_p_links";"Které vztahy této osoby byste chtěli také přidat?"
"just_person";"Přidat jen tuto osobu."
"person_parents_sibs";"Přidat tuto osobu, její rodiče a sourozence."
"person_ancestors";"Přidat tuto osobu a její předky v přímé linii."
"person_ancestor_fams";"Přidat tuto osobu, její předky v přímé linii a jejich rodiny."
"person_spouse";"Přidat tuto osobu, jejího partnera a děti."
"person_desc";"Přidat záznam o této osobě, jejím partnerovi a všech potomcích."
"unable_to_open";"Nebylo možné složku s výstřižky otevřít pro zápis"
"person_living";"Toto je žijící osoba. Osobní údaje nebudou zahrnuty."
"person_private";"Podrobnosti o této osobě jsou soukromé. Osobní údaje nebudou zahrnuty."
"family_private";"Podrobnosti o této rodině jsou soukromé. Rodinné údaje nebudou zahrnuty."
"download";"Pro stáhnutí souborů klikněte pravým tlačítkem (na Macu control-click) na odkazy dole a označte &quot;Uložit cíl jako&quot;."
"media_files";"V tomto GEDCOM souboru jsou reference na soubory médií."
"cart_is_empty";"Vaše Schránka výstřižků je prázdná."
"id";"ID"
"name_description";"Jméno / Popis"
"remove";"Odstranit"
"empty_cart";"Vyprázdnit schránku"
"download_now";"Stáhnout"
"indi_downloaded_from";"Tato osoba byla stažena z:"
"family_downloaded_from";"Tato rodina byla stažena z:"
"source_downloaded_from";"Tento zdroj byl stažen z:"
"connections";"nalezených souvislostí v místech"
"top_level";"Horní úroveň"
"form";"Místa jsou zapsána ve tvaru: "
"default_form";"město, kraj, stát, země"
"default_form_info";"(Default)"
"gedcom_form_info";"(GEDCOM)"
"unknown";"Neznám(a)"
"individuals";"Osoby"
"view_records_in_place";"Zobrazit všechny záznamy spojené s tímto místem"
"place_list2";"Seznam míst"
"show_place_hierarchy";"Zobrazit místa hierarchicky"
"show_place_list";"Zobrazit všechna místa ze seznamu."
"total_unic_places";"Unikátních míst celkem"
"multi_title";"Seznam multimediálních souborů"
"media_found";"nalezených mediálních souborů."
"view_person";"Zobrazit osobu"
"view_family";"Zobrazit rodinu"
"view_source";"Zobrazit zdroj"
"prev";"&lt; Předchozí"
"next";"Další &gt;"
"file_not_found";"Soubor nebyl nalezen."
