"stat_sources";"Quellen, "
"stat_other";"Andere Datensätze"
"stat_individuals";"Personen, "
"stat_families";"Familien, "
"gedcom_block";"GEDCOM-Willkommen"
"gedcom_favorites_block";"GEDCOM-Lesezeichen"
"gedcom_favorites";"Stammbaum-Lesezeichen"
"gedcom_news_block";"GEDCOM-Neuigkeiten"
"gedcom_news";"Neuigkeiten"
"gedcom_stats";"GEDCOM-Statistiken"
"gedcom_created_using";"Diese GEDCOM-Datei wurde erstellt mit <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"am <b>#DATE#</b>"
"html_block_name";"HTML"
"html_block_sample_part1";"<p class="blockhc"><b>Titel hier eingeben</b></p><br /><p>Klicken Sie auf Konfigurieren"
"html_block_sample_part2";"um diesen Text hier zu ändern.</p>"
"config_block";"Konfigurieren"
"logged_in_users_block";"Angemeldete Benutzer"
"login_block";"Login"
"random_media_block";"Zufälliges Bild"
"recent_changes_block";"Aktuelle Änderungen"
"review_changes_block";"Offene Änderungen"
"rss_feeds";"RSS Feeds"
"theme_select_block";"Theme Auswahl"
"todays_events_block";"An diesem Tag"
"top10_pageviews";"Meist aufgerufene Einträge"
"block_top10";"Häufigste Nachnamen"
"upcoming_events_block";"Bevorstehende Ereignisse"
"user_news_block";"Benutzer-Journal"
"user_favorites_block";"Benutzer Lesezeichen"
"user_messages_block";"Benutzer-Nachrichten"
"welcome_block";"Willkommen"
"login";"Login"
"welcome_page";"Begrüßungs-Seite"
"help_not_exist";"<b>Die Hilfe für diese Seite oder dieses Element ist noch nicht verfügbar.</b>"
"mygedview";"Mein GedView Portal"
"charts";"Diagramme"
"pedigree_chart";"Stammbaum"
"descend_chart";"Nachfahrenbaum"
"timeline_chart";"Lebenspannenanzeige"
"relationship_chart";"Verwandtschaftsberechnung"
"ancestry_chart";"Ahnentafel"
"fan_chart";"Kreis-Diagramm"
"hourglass_chart";"Sanduhr-Diagramm"
"lists";"Listen"
"individual_list";"Personen Liste"
"family_list";"Familien Liste"
"patriarch_list";"Liste der Spitzenahnen"
"source_list";"Quellen Liste"
"repo_list";"Archiv Liste"
"place_list";"Liste der Orte"
"alive_in_year";"Lebend im Jahr"
"media_list";"Multimedia Liste"
"anniversary_calendar";"Jahrestag Kalender"
"viewday";"Tag anzeigen"
"viewmonth";"Monat anzeigen"
"viewyear";"Jahr anzeigen"
"reports";"Berichte"
"clippings_cart";"Ausschnitts-Sammelbehälter"
"search";"Suche"
"search_general";"Normale Suche"
"search_soundex";"Soundex Suche"
"help_for_this_page";"Hilfe für diese Seite"
"help_contents";"Hilfe Inhalt"
"support_contact";"Kontakt für technische Fragen"
"jan";"Januar"
"feb";"Februar"
"mar";"März"
"apr";"April"
"may";"Mai"
"jun";"Juni"
"jul";"Juli"
"aug";"August"
"sep";"September"
"oct";"Oktober"
"nov";"November"
"dec";"Dezember"
"abt";"um"
"aft";"nach"
"and";"und"
"bef";"vor"
"bet";"zwischen"
"cal";"berechnet"
"est";"angenommen"
"from";"vom"
"int";"interpretiert"
"to";"bis"
"cir";"ca."
"apx";"ungefähr"
"NN";"(unbekannt)"
