"stat_sources";"Πηγές, "
"stat_other";"Other Records"
"stat_individuals";"Άτομα, "
"stat_families";"Οικογένειες, "
"gedcom_block";"GEDCOM Welcome Block"
"gedcom_favorites_block";"GEDCOM Favorites Block"
"gedcom_favorites";"This GEDCOM's Favorites"
"gedcom_news_block";"GEDCOM News Block"
"gedcom_news";"Νέα"
"gedcom_stats";"Στατιστικά GEDCOM"
"gedcom_created_using";"This GEDCOM was created using <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"on <b>#DATE#</b>"
"logged_in_users_block";"Πλαίσιο συνδεδεμένων Χρηστών"
"login_block";"Πλαίσιο Διασύνδεσης"
"random_media_block";"Random Media Block"
"recent_changes_block";"Recent Changes Block"
"theme_select_block";"Theme select Block"
"todays_events_block";"On This Day Block"
"block_top10";"Top 10 Surnames Block"
"upcoming_events_block";"Upcoming Events Block"
"user_news_block";"User Journal Block"
"user_favorites_block";"User Favorites Block"
"user_messages_block";"User Messages Block"
"welcome_block";"User Welcome Block"
"login";"Σύνδεση Χρήστη"
"welcome_page";"Σελίδα Καλωσορίσματος"
"help_not_exist";"<b>Το κείμενο βοήθειας, για την σελίδα αυτή ή για το θέμα αυτό, δεν είναι διαθέσιμο ακόμη</b>"
"mygedview";"MyGedView Portal"
"charts";"Διαγράμματα"
"pedigree_chart";"Γενεαλογικό Διάγραμμα"
"descend_chart";"Διάγραμμα Απογόνων"
"timeline_chart";"Χρονοδιάγραμμα"
"relationship_chart";"Διάγραμμα Συγγενείας"
"ancestry_chart";"Διάγραμμα Προγόνων"
"fan_chart";"Διάγραμμα Βεντάλια"
"hourglass_chart";"Διάγραμμα σε σχήμα Κλεψύδρας"
"lists";"Κατάλογοι"
"individual_list";"Κατάλογος Ατόμων"
"family_list";"Κατάλογος Οικογενειών"
"patriarch_list";"Patriarch list"
"source_list";"Κατάλογος Πληροφοριακών Πηγών"
"place_list";"Ιεραρχία Τόπων"
"media_list";"Κατάλογος Πολυμέσων"
"anniversary_calendar";"Ημερολόγιο Επετειών"
"viewday";"Εμφάνισης Ημέρας"
"viewmonth";"Εμφάνιση Μήνα"
"viewyear";"Εμφάνιση Έτους"
"reports";"Αναφορές"
"clippings_cart";"Καλάθι Αποκομμάτων Οικογενειακού Δέντρου"
"search";"Αναζήτηση"
"help_for_this_page";"Βοήθεια για τη σελίδα αυτή"
"help_contents";"Περιεχέμενα Βοήθειας"
"jan";"Ιανουάριος"
