"stat_sources";"Fuentes"
"stat_other";"Otros Records"
"stat_events";"Total eventos"
"stat_users";"Total Usuarios"
"stat_surnames";"Total Apellidos"
"stat_individuals";"Individuos"
"stat_families";"Familias"
"gedcom_block";"Bienvenido GEDCOM"
"gedcom_favorites_block";"Favoritos GEDCOM"
"gedcom_favorites";"Favoritos de GEDCOM"
"gedcom_news_block";"Noticias GEDCOM"
"gedcom_news";"Noticias"
"gedcom_stats";"Estadisticas GEDCOM"
"gedcom_created_using";"Este GEDCOM fue creado usando <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"el <b>#DATE#</b>"
"stat_earliest_birth";"Antilde;o de Nacimiento mas reciente"
"stat_latest_birth";"Antilde;o de Nacimiento mas antiguo"
"stat_longest_life";"Persona que ha vivido/vivio mas tiempo"
"stat_avg_age_at_death";"Average de edad al momento de muerte"
"stat_most_children";"Familia con mas hijos"
"stat_average_children";"Average de hijos por familia"
"html_block_name";"HTML"
"html_block_sample_part1";"<p class="blockhc"><b>Coloque su titulo aqui</b></p><br /><p>Pulse en el boton de configuraci&oacute;n"
"html_block_sample_part2";"para cambiar lo que se imprime aca.</p>"
"config_block";"Configurar"
"logged_in_users_block";"Usuarios conectados"
"login_block";"Conectar"
"random_media_block";"Media al azar"
"recent_changes_block";"Cambios Recientes"
"review_changes_block";"Cambios Pendiente"
"rss_feeds";"RSS Feeds"
"theme_select_block";"Selecci&oacute;n de Tema"
"todays_events_block";"En este dia"
"top10_pageviews";"Objetos que mas se han visto"
"block_top10";"Top 10 Apellidos"
"upcoming_events_block";"Eventos proximos"
"user_news_block";"Jornal de Usuario"
"user_favorites_block";"Favoritos de Usuario"
"user_messages_block";"Mensaje de Usuario"
"welcome_block";"Bienvenido Usuario"
"login";"Conectar"
"welcome_page";"P&aacute;gina de Bienvenida"
"accesskey_home_page";"1"
"help_not_exist";"<b>Texto de Ayuda para esta p&aacute;gina no esta disponible todavia.</b>"
"mygedview";"Mi portal GedView"
"charts";"Fichas"
"pedigree_chart";"Ascendientes"
"descend_chart";"Estilo Descendencia"
"timeline_chart";"Gráfico de edades"
"relationship_chart";"Estilo Relaci&oacute;n"
"ancestry_chart";"Estilo Ancestros"
"fan_chart";"Estilo Abanico"
"hourglass_chart";"Estilo Hora de Tiempo"
"familybook_chart";"Estilo Libro Familiar"
"lists";"Listas"
"individual_list";"Lista de Individuos"
"family_list";"Lista de Familias"
"patriarch_list";"Lista de Patriarcas"
"source_list";"Lista de Fuente"
"repo_list";"Lista de Repositorio"
"place_list";"Colocar Herencia"
"alive_in_year";"Vivo en el a&ntilde;o"
"media_list";"Lista MultiMedia"
"anniversary_calendar";"Calendario de Aniversario"
"viewday";"Ver Dia"
"viewmonth";"Ver Mes"
"viewyear";"Ver A&ntilde;o"
"reports";"Reportes"
"clippings_cart";"Tiras de Arbol Familiar"
"search";"B&uacute;squeda"
"search_general";"B&uacute;squeda General"
"search_soundex";"B&uacute;squeda Soundex"
"help_for_this_page";"Ayuda con esta p&aacute;gina"
"help_contents";"Contenido de Ayuda"
"faq_list";"Lista FAQ"
"hs_title";"Texto de B&uacute;squeda"
"support_contact";"Contacto de apoyo t&eacute;cnico"
"jan";"Enero"
"feb";"Febrero"
"mar";"Marzo"
"apr";"Abril"
"may";"Mayo"
"jun";"Junio"
"jul";"Julio"
"aug";"Agosto"
"sep";"Septiembre"
"oct";"Octubre"
"nov";"Noviembre"
"dec";"Diciembre"
"abt";"hacia"
"aft";"despu&eacute;s de"
"and";"y"
"bef";"antes de"
"bet";"entre"
"cal";"calculada"
"est";"estimada"
"from";"desde"
"int";"interpretada"
"to";"a"
"cir";"cercana"
"apx";"aprox."
"NN";"(desconocido)"
"PN";"(desconocido)"
"maxviews_exceeded";"Por favor intente nuevamante."
"broadcast_not_logged_6mo";"Envie mensaje a usuarios que no han entrado a nuestro sitio en los ultimos 6 meses"
"broadcast_never_logged_in";"Envie mensaje a todos los usuarios que nunca se han conectado, entrado a nuestro sitio"
"stats_to_show";"Seleccione las estadisticas o datos que desea mostrar en este bloque"
"no_family_facts";"No existen hechos para esta familia."
"sunday_1st";"D"
"monday_1st";"L"
"tuesday_1st";"M"
"wednesday_1st";"Mi"
"thursday_1st";"J"
