"Genmod_message";"Genmod viesti"
"NN";"(Tuntematon)"
"PN";"(Tuntematon)"
"SHOW_SOURCES";"Näytä lähteet?"
"abt";"noin"
"accept";"Hyväksy"
"accept_all";"Hyväksy kaikki muutokset"
"accept_changes";"Hyväksy/Hylkää muutokset"
"accept_gedcom";"Päätä hyväksytkö vai hylkäätkö kunkin muutoksen.<br /><br />Hyväksyäksesi kaikki muutokset kerralla, napauta <b>"Hyväksy kaikki muutokset"</b> alla olevassa laatikossa.<br />Saadaksesi lisätietoa muutoksesta,<br />napauta <b>"Katso muutoksen erot"</b> nähdäksesi vanhan ja uuden  tilanteen eroavuudet,<br /> tai napauta <b>"Katso GEDCOM tietuetta"</b> nähdäksesi uuden tilanteen GEDCOM-muodossa."
"accept_successful";"Hyväksy tiedosto muutokset"
"access_denied";"<b>Pääsy kielletty</b><br />Sinulla ei ole oikeutta tähän resurssiin."
"accesskey_contact";"4"
"accesskey_family_children_timeline";"D"
"accesskey_family_gedcom";"G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_timeline";"T"
"accesskey_home_page";"1"
"accesskey_individual_descendancy";"D"
"accesskey_individual_details";"I"
"accesskey_individual_gedcom";"G"
"accesskey_individual_media";"A"
"accesskey_individual_notes";"N"
"accesskey_individual_pedigree";"P"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_relatives";"R"
"accesskey_individual_research_log";"L"
"accesskey_individual_sources";"O"
"accesskey_individual_timeline";"T"
"accesskey_search";"S"
"accesskey_skip_to_content";"S"
"accesskey_skip_to_content_desc";"Oikaise sisältöön"
"accesskey_viewing_advice";"O"
"accesskey_viewing_advice_desc";"Katsomisohje"
"accesskeys";"Näppäinoikotiet"
"account_information";"Tietoja käyttäjätilistä"
"add";"Lisää"
"add_another";"Lisää uusi henkilö kaavioon:<br />Henkilön ID:"
"add_asso";"Lisää uusi läheinen"
"add_child";"Lisää lapsi"
"add_child_to_family";"Lisää lapsi perheeseen"
"add_directory";"Lisää hakemisto"
"add_fact";"Lisää tieto"
"add_faq_header";"FAQ-otsikko"
"add_father";"Lisää isä"
"add_fav_enter_id";"Lisää henkilö, perhe tai lähde-ID"
"add_fav_enter_note";"Kirjoita lisätieto tästä suosikista"
"add_fav_or_enter_url";"TAI<br /> lisää URL-osoite ja otsikko"
"add_favorite";"Lisää uusi suosikki"
"add_from_clipboard";"Lisää leikepöydältä"
"add_gedcom";"Lisää uusi GEDCOM tiedostoon"
"add_gedcom_instructions";"Anna nimi tälle uudelle GEDCOMille. Uusi GEDCOM luodaan indeksihakemistoon:"
"add_husb";"Lisää aviomies"
"add_husb_to_family";"Lisää aviomies perheeseen"
"add_journal";"Lisää päiväkirja merkintä"
"add_media";"Lisää uusi media"
"add_media_button";"Lisää media"
"add_media_descr";"Tämä työkalu lisää media OBJE-merkitsimen GEDCOM:iin. Sulje tämä ikkuna kun olet lopettanut median lisäämisen."
"add_media_lbl";"Lisää media"
"add_media_records";"Lisää mediatietueita"
"add_media_tool";""Lisää media"-työkalu"
"add_mother";"Lisää äiti"
"add_name";"Lisää nimi"
"add_new_chil";"Lisää uusi lapsi"
"add_new_gedcom";"Luo uusi GEDCOM-tiedosto"
"add_new_husb";"Lisää uusi puoliso"
"add_new_wife";"Lisää uusi puoliso"
"add_news";"Lisää uutisartikkeli"
"add_note";"Lisää lisätieto"
"add_note_lbl";"Lisää lisätieto"
"add_obje";"Lisää multimediakohde"
"add_sibling";"Lisää sisarus"
"add_son_daughter";"Lisää poika tai tytär"
"add_source";"Lisää lähde"
"add_source_lbl";"Lisää lähde"
"add_to_cart";"Lisää leikekoriin"
"add_to_my_favorites";"Lisää suosikkeihini"
"add_unlinked_person";"Lisää linkittämätön henkilö"
"add_user";"Lisää uusi käyttäjä"
"add_wife";"Lisää vaimo"
"add_wife_to_family";"Lisää vaimo perheeseen"
"adding";"Lisää"
"addmedia";"Lisää mediatyökalu"
"address";"Osoite:"
"address_labels";"Osoitetarrat"
"address_list";"Osoiteluettelo"
"adds_completed";"Median lisäys GEDCOM-tiedostoon onnistui."
"admin";"Ylläpito"
"admin_approved";"Hallinnointija on vahvistanut tilisi palvelimella #SERVER_NAME#."
"admin_gedcom";"Ylläpito"
"admin_geds";"Data- ja GEDCOM-ylläpito"
"admin_info";"Tiedoksi"
"admin_site";"Sivuston ylläpito"
"administration";"Järjestelmänhallinta"
"adopted";"Adoptoitu"
"aft";"jälkeen"
"after";"jälkeen"
"age";"Ikä"
"ahnentafel_report";"Ahnentafelraporti"
"aka";"Lisänimi"
"alive";"Elossa"
"0";"0"
"alive_in_year";"Elossa vuonna"
"all";"Kaikki"
"all_people";"Kaikki henkilöt"
"alpha_index";"Aakkosellinen hakemisto"
"ancestors";"Esivahemmat ja heidän perheensä suoraan ylenevässä polvessa"
"ancestry_chart";"Esipolvikaavio"
"and";"-"
"anniversary_calendar";"Vuosipäiväkalenteri"
"anon_user";"1 tuntematon käyttäjä kirjautunut"
"anon_users";"#gm_lang[global_num1]# kirjautunutta tuntematonta käyttäjää"
"ansi_encoding_detected";"Havaittiin ANSI tiedostokoodaus. Genmod toimii parhaiten, kun tiedostot on koodattu UTF-8-muotoon."
"ansi_to_utf8";"Muunnetaanko tämä ANSI-koodattu GEDCOM UTF-8 muotoon?"
"append";"Lisää tietue"
"apply_privacy";"Toteuta yksityisyysasetukset?"
"apr";"huhtikuu"
"apx";"noin"
"article_text";"Teksti:"
"as_child";"Perhe vanhempineen"
"as_spouse";"Oma perhe"
"associate";"läheinen"
"attendant";"Avustaja"
"attending";"Avustamassa"
"aug";"elokuu"
"aunt";"Täti"
"author";"Kirjoittaja:"
"autocomplete";"Automaattinen täydentäminen"
"available_blocks";"Käytettävissä olevat alueet"
"back";"Takaisin"
"basic_or_all";"Näytä vain syntymät, kuolemat ja avioliitot?"
"bdm";"Syntymät, kuolemat, avioliitot"
"bef";"ennen"
"before";"ennen"
"before_or_after";"Sijoita lukumäärät ennen nimeä tai sen jälkeen?"
"bet";"välillä"
"birth";"Syntynyt:"
"birth_report";"Syntymäaika- ja -paikkaraportti"
"birthdate1";"Syntymäaika-alueen alku"
"birthdate2";"Syntymäaika-alueen loppu"
"birthplace";"Syntymäpaikka sisältää "
"block_default_index";"~Oletusalueet #gm_lang[welcome]#-sivulla#<br /><br />Kun tyhjennät luettelot #gm_lang[main_section]# and #gm_lang[right_section]#, tai kun näpäytät <b>#gm_lang[reset_default_blocks]#</b>-painiketta, alue asettuu seuraavasti:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_default_portal";"~Oletusalueet #gm_lang[mygedview]#-sivulla~<br /><br />Kun tyhjennät luettelot #gm_lang[main_section]# ja #gm_lang[right_section]#, tai näpäytät <b>#gm_lang[reset_default_blocks]#</b>-painiketta, alue asettuu seuraavasti: <br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[todays_events_block]#<br />#gm_lang[user_messages_block]#<br />#gm_lang[user_favorites_block]#<br />&nbsp;</td><td>#gm_lang[welcome_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[upcoming_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
"block_desc";"Alueiden kuvaukset"
"block_not_configure";"Tätä aluetta ei voi konfiguroida."
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Tässä on lyhyt selostus jokaisesta alueesta, jonka voit sijoittaa #gm_lang[welcome]#- tai #gm_lang[mygedview]#-sivulle.<br /><center><table border='1'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table></center><br /><br />"
"block_summary_table";"&nbsp;"
"block_top10";""10 suosituinta sukunimeä"-alue"
"block_top10_descr";"Tämä alue näyttää taulukon tietokannan 10 suosituimmasta sukunimestä."
"block_top10_title";"Yleisimmät sukunimet"
"box_width";"Leveys"
"broadcast_all";"Lähetä kaikille käyttäjille"
"brother";"Veli"
"brother-in-law";"Lanko"
"build_error";"GEDCOM-tiedosto on päivitetty."
"build_title";"Luo indeksitiedostoja"
"building_index";"Muodostetaan indeksiluettelo"
"building_indi";"Muodostetaan henkilökohtainen ja perhekohtainen indeksi"
"bytes_read";"Tavua luettu:"
"cal";"laskettu"
"calc_marr_names";"Lasketaan avionimet"
"call_number";"Tallennuspaikkanumero"
"can_admin";"Käyttäjä voi ylläpitä"
"can_edit";"Käyttäjä voi muokata"
"cancel";"Peruuta"
"cancel_preview";"Takaisin tavalliseen katseluun"
"cancel_upload";"Peru lataus"
"cart_is_empty";"Leikekorisi on tyhjä."
"challenged";"Kyseenalainen "
"change";"Muuta"
