"stat_sources";"fonti, "
"stat_other";"altri dati"
"stat_individuals";"persone, "
"stat_families";"famiglie, "
"gedcom_favorites";"I Preferiti del GEDCOM"
"gedcom_stats";"Statistiche del GEDCOM"
"gedcom_created_using";"Il GEDCOM è stato creato usando <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"il <b>#DATE#</b>"
"html_block_name";"Blocco HTML"
"config_block";"Blocco di Configurazione"
"review_changes_block";"Cambiamenti Pendenti"
"welcome_page";"Pagina di Benvenuto"
"mygedview";"Il mio GEDView"
"charts";"Diagrammi"
"pedigree_chart";"Albero genealogico"
"descend_chart";"Tabella dei Discendenti"
"timeline_chart";"Scala Temporale"
"relationship_chart";"Grafico relazioni"
"ancestry_chart";"Grafico Antenati"
"hourglass_chart";"Grafico a clessidra"
"lists";"Liste"
"individual_list";"Lista delle Persone"
"family_list";"Lista delle Famiglie"
"source_list";"Lista delle Fonti"
"place_list";"Gerarchia dei Luoghi"
"alive_in_year";"Vivi nel"
"media_list";"Lista degli Oggetti Multimediali"
"anniversary_calendar";"Calendario anniversari"
"viewday";"Guarda il giorno"
"viewmonth";"Guarda il mese"
"viewyear";"Guarda l'anno"
"reports";"Report"
"clippings_cart";"Carrello Ritagli dell'Albero Genealogico"
"search";"Cerca"
"help_for_this_page";"Aiuto di questa pagina"
"help_contents";"Contenuti"
"support_contact";"Contatto Tecnico"
"jan";"Gennaio"
"feb";"Febbraio"
"mar";"Marzo"
"apr";"Aprile"
"may";"Maggio"
"jun";"Giugno"
"jul";"Luglio"
"aug";"Agosto"
"sep";"Settembre"
"oct";"Ottobre"
"nov";"Novembre"
"dec";"Dicembre"
"aft";"dopo"
"and";"e"
"bef";"prima"
"bet";"tra"
"cal";"calcolato"
"est";"stimato"
"from";"da"
"int";"interpretato"
"to";"fino a"
"NN";"(sconosciuto)"
"PN";"(sconosciuta)"
"cancel";"Annulla"
"changelog";"Cambiamenti della versione #VERSION#"
"html_block_descr";"Questo è un semplice blocco HTML che puoi mettere nella tua pagina per aggiungere qualsiasi tipo di messaggio che vuoi."
"num_to_show";"Numero di elementi da mostrare"
"days_to_show";"Numero di giorni da mostrare"
"pls_note12";"Usa questo campo per descrivere perché stai richiedendo un account su questo sito e in che modo sei collegato alla genealogia."
"enter_comments";"Per favore indica la tua relazione con i dati nel campo dei Commenti."
"comments";"Commenti"
"none";"Nessuno"
"child-family";"Genitori e Fratelli"
"spouse-family";"Coniuge e figli"
"direct-ancestors";"Antenati in linea diretta"
"ancestors";"Antenati in linea diretta e familiari"
"descendants";"Discendenti"
"choose_relatives";"Seleziona Parenti"
"relatives_report";"Report Parenti"
"total_living";"Totale vivi"
"total_dead";"Totale morti"
"total_not_born";"Totale non ancora nati"
"remember_me";"Ricordami da questo computer"
"add_unlinked_person";"Aggiungi una persona non collegata"
"fams_with_surname";"Famiglie con cognome #surname#"
"continue_import";"Continua l'importazione dei luoghi"
"importing_places";"Importazione luoghi"
"total_memory_usage";"Totale Utilizzo Memoria:"
"mothers_family_with";"Famiglia materna con "
"fathers_family_with";"Famiglia paterna con "
"family_timeline";"Mostra la famiglia sulla linea temporale"
"children_timeline";"Mostra i figli sulla tabella temporale"
"other";"Altro"
"sort_by_marriage";"Ordina per data di matrimonio"
"reorder_families";"Riordina le famiglie"
"indis_with_surname";"Persone con il cognome #surname#"
"total_names";"Totale Nomi"
"show_spouses";"Mostra sposi"
"quick_update_title";"Modifica veloce"
"update_name";"Aggiorna Nome"
"update_fact";"Aggiorna un Fatto"
"update_photo";"Aggiorna Foto"
"select_fact";"Seleziona un fatto..."
"add_new_chil";"Aggiungi un figlio"
"user_default_tab";"Scheda di Default per la tua pagina personale"
"max_upload_size";"Grandezza Massima Caricamento: "
"edit_fam";"Modifica famiglia"
"fams_charts";"Opzioni per la famiglia"
"copy";"Copia"
"cut";"Taglia"
"indis_charts";"Opzioni per la persona"
"edit_indi";"Modifica Persona"
"locked";"non cambiare"
"qm";"?"
"qm_ah";"?"
"login_head";"Genmod Login Utenti"
"error_title";"ERRORE: Impossibile aprire il file GEDCOM"
"error_header";"Il file GEDCOM, <b>#GEDCOM#</b>, non esiste nella posizione specificata."
"for_support";"Per informazioni tecniche e supporto contattare"
"for_contact";"Per informazioni sulla genealogia contattare"
"for_all_contact";"Per informazioni tecniche o domande sulla genealogia contattare"
"build_title";"Costruzione dei file di indice in corso"
"build_error";"Trovato un nuovo file GEDCOM."
"please_wait";"Per favore attendere: il file Indice sta venendo aggiornato."
"choose_gedcom";"Scegli un archivio GEDCOM"
"invalid_username";"L'user name contiene caratteri non validi"
"confirm";"Conferma Password:"
"user_contact_method";"Metodo di contatto preferito"
"login_aut";"Modifica Utente"
"admin";"Amministra"
"logged_in_as";"Collegato come"
"my_pedigree";"Il mio pedigree"
"yes";"Si"
"add_gedcom";"Aggiungi un altro file GEDCOM"
"change_theme";"Cambia Tema"
"index_header";"Albero genealogico"
"gen_ped_chart";"Tabella delle #PEDIGREE_GENERATIONS# Generazioni"
"generations";"Generazioni"
"view";"Visualizza"
"fam_spouse";"Famiglia con coniuge"
"root_person";"ID persona"
"hide_details";"Nascondi i dettagli"
"show_details";"Mostra i dettagli"
"person_links";"Collegamento ai grafici, famigliari e parenti stretti di questa persona"
"zoom_box";"Zoom IN/OUT"
"portrait";"In altezza"
"landscape";"In larghezza"
"start_at_parents";"Inizia dai genitori"
"box_width";"Grandezza riquadro"
"unable_to_find_family";"Impossibile trovare una famiglia con questo ID"
"unable_to_find_indi";"Impossibile trovare una persona con questo ID"
"unable_to_find_record";"Impossibile trovare un record con questo ID"
"unable_to_find_source";"Impossibile trovare una fonte con questo ID"
"unable_to_find_repo";"Impossibile trovare un repository con questo ID"
"repo_name";"Nome dell'Archivio:"
"address";"Indirizzo:"
"phone";"Telefono:"
"source_name";"Nome della Fonte:"
"title";"Titolo:"
"author";"Autore:"
"publication";"Pubblicazione:"
"call_number";"Numero:"
"living";"In vita"
"private";"Privato"
"birth";"Nascita:"
"death";"Morte:"
"not_an_array";"Non è un'array"
"print_preview";"Anteprima di Stampa"
"change_lang";"Cambia Lingua"
"print";"Stampa"
"total_queries";"Totale Query al Database"
"back";"Indietro"
"male";"Maschio"
"female";"Femmina"
"temple";"Tempio della Chiesa Mormone"
"temple_code";"Codice della Chiesa Mormone:"
"status";"Stato"
"source";"Fonte:"
"citation";"Citazione:"
"text";"Testo:"
"note";"Note:"
"unrecognized_code";"Codice GEDCOM sconosciuto"
"indi_info";"Informazione Individuale"
"family";"Famiglia"
"family_with";"Famiglia con"
"as_spouse";"Famiglia con<br />il/la Coniuge"
"as_child";"Famiglia da<br />Bambino/a"
"view_gedcom";"Visualizza il campo<br />GEDCOM"
"add_to_cart";"Aggiungi al<br />Carrello Ritagli"
"still_living_error";"Questa persona è ancora in vita oppure non ha una data di nascita o di morte registrata.  I dettagli delle persone ancora in vita non sono visualizzabili pubblicamente.<br />Per maggiori informazioni contattare"
"privacy_error";"I dettagli di questa persona sono privati."
"more_information";"Per maggiori informazioni contattare"
"name";"Nome:"
"given_name";"Nome proprio:"
"surname";"Cognome:"
"suffix";"Suffisso:"
"object_note";"Nota sull'Oggetto:"
"sex";"Sesso"
"personal_facts";"Fatti e Dettagli personali"
"type";"Tipo"
"date";"Data"
"place_description";"Posto / Descrizione"
"parents";"Genitori"
"siblings";"Fratello"
"father";"Padre"
"mother";"Madre"
"relatives";"Parenti stretti"
"child";"Bambino"
"spouse";"Coniuge"
"surnames";"Cognomi"
"adopted";"Adottato"
"foster";"Tutela"
"no_tab2";"Non ci sono note per questa persona."
"no_tab3";"Non ci sono Fonti per questa persona."
"no_tab4";"Non ci sono oggetti multimediali per questa persona."
"family_info";"Informazioni sulla Famiglia"
"family_group_info";"Informazione sul Gruppo famigliare"
"husband";"Marito:"
"wife";"Moglie:"
"marriage";"Matrimonio:"
"lds_sealing";"Suggellatura Mormone:"
"marriage_license";"Licenza di Matrimonio:"
"media_object";"Oggetto Multimediale:"
"children";"Figli"
"no_children";"Nessun figlio"
"parents_timeline";"Mostra i genitori sulla<br />tabella temporale"
"clip_cart";"Carrello Ritagli"
"clip_explaination";"Il Carrello Ritagli dell'Albero Genealogico permette di effettuare &quot;ritagli&quot; su questo albero genealogico e di inserirli in un unico file GEDCOM scaricabile.<br /><br />"
"item_with_id";"Elemento con id"
"error_already";"È nel tuo carrello ritagli."
"which_links";"Che legami di questa famiglia si vorrebbero ancora aggiungere?"
"just_family";"Aggiungere solo questa persona"
"parents_and_family";"Aggiungere i genitori con questa famiglia."
"parents_and_child";"Aggiungere i genitori e i figli a questo record di famiglia."
"parents_desc";"Aggiungere i genitori e tutti i discendenti a questo record di famiglia."
"continue";"Continuare ad aggiungere"
"which_p_links";"Che legami di questa persona si vorrebbero ancora aggiungere?"
"just_person";"Aggiungere solo questa persona."
"person_parents_sibs";"Aggiungere questa persona, i suoi genitori e i suoi fratelli e sorelle."
"person_ancestors";"Aggiungere questa persona e i suoi antenati in linea diretta."
"person_ancestor_fams";"Aggiungere questa persona, i suoi antenati in linea diretta e le loro famiglie."
"person_spouse";"Aggiungere questa persona, la sua sposa, e i bambini."
"person_desc";"Aggiungere questa persona, la sua sposa e tutti i registri dei discendenti."
"unable_to_open";"Impossibile aprire la cartella dei ritagli in scrittura"
"person_living";"Questa persona è ancora in vita.  I dettagli personali non verranno pertanto inclusi."
"person_private";"I dettagli di questa persona sono privati. I dettagli personali non saranno inclusi"
"family_private";"I dettagli della famiglia sono privati e pertanto non saranno inclusi."
"download";"Right click (control-click sui Mac) sui collegamenti e selezionare &quot;Salva oggetto con nome...&quot; per scaricare i file."
"media_files";"File multimediali a cui si fa riferimento in questo GEDCOM"
"cart_is_empty";"Il carrello ritagli dell'alberoè vuoto."
