"ABBREVIATE_CHART_LABELS";"Afgekorte veldtitels"
"ALLOW_CHANGE_GEDCOM";"Sta wisselen van GEDCOM-bestand toe"
"ALLOW_EDIT_GEDCOM";"Sta wijzigen toe"
"ALLOW_REMEMBER_ME";"Toon "Onthoudt mij" op inlogpagina"
"ALLOW_THEME_DROPDOWN";"Toon keuzelijst voor wijziging thema"
"ALLOW_USER_THEMES";"Gebruikers toestaan om hun eigen site-opmaak te kiezen"
"ALPHA_INDEX_LISTS";"Splits lange lijsten volgens de eerste letter, als meer dan"
"AUTO_GENERATE_THUMBS";"Miniweergaves automatisch maken"
"BCC_WEBMASTER";"Bcc systeem e-mails naar de sitebeheerder"
"CALENDAR_FORMAT";"Kalenderformaat"
"CHANGELOG_CREATE";"Archiveer logbestand wijzigingen"
"CHARACTER_SET";"Karakterset codering"
"CHART_BOX_TAGS";"Andere feiten in overzichten"
"CHECK_CHILD_DATES";"Controleer datums van de kinderen"
"CHECK_MARRIAGE_RELATIONS";"Controleer relaties door huwelijk"
"COMMON_NAMES_ADD";"Namen om toe te voegen aan "Meest voorkomende achternamen""
"COMMON_NAMES_REMOVE";"Namen om te verwijderen uit Meest voorkomende achternamen (komma gescheiden)"
"COMMON_NAMES_THRESHOLD";"Minimum aantal voor "Meest voorkomende achternamen""
"CONTACT_EMAIL";"E-mail genealogische vragen"
"CONTACT_METHOD";"Verzendwijze genealogische vragen"
"DAYS_TO_SHOW_LIMIT";"Maximaal aantal dagen voor "Binnenkort....""
"DBHOST";"Database-machine"
"DBNAME";"Databasenaam"
"DBPASS";"Database-wachtwoord"
"DBPERSIST";"Gebruik permanente database-verbinding"
"DBUSER";"Database-gebruikersnaam"
"DEFAULT_GEDCOM";"Standaard GEDCOM"
"DEFAULT_PAGE_SIZE";"Standaard paginagrootte voor rapporten"
"DEFAULT_PEDIGREE_GENERATIONS";"Generaties kwartierstaat"
"DISPLAY_JEWISH_GERESHAYIM";"Toon Hebreeuws Gershayim"
"DISPLAY_JEWISH_THOUSANDS";"Geef Hebreeuwse duizendtallen weer"
"DISPLAY_PINYIN";"PinYin vertaling toevoegen aan Chinese namen en locaties"
"DISPLAY_TRANSLITERATE";"Translitereer Cyrillische namen/locaties naar Romaanse karakters"
"EDIT_AUTOCLOSE";"Wijzig-venster automatisch sluiten"
"EDIT_GEDCOM_RECORD";"STa gebruikers toe om GEDCOM-gegevens direct te wijzigen"
"ENABLE_CLIPPINGS_CART";"Knipselbak aanzetten"
"ENABLE_MULTI_LANGUAGE";"Laat de gebruiker de taal wijzigen"
"EXCLUDE_HOSTS";"Hostnamen en IP-adres(bereiken) uit te sluiten van de sessie-IP controle"
"EXCLUDE_REQUIRE_AUTHENTICATION";"Uitzonderingen op vereis bezoekersauthenticatie"
"EXPAND_RELATIVES_EVENTS";"Gebeurtenislijst automatisch openklappen"
