"select_an_option";"Gjør et valg under:"
"stat_sources";"Kilder"
"stat_other";"Andre oppføringer"
"stat_events";"Antall hendelser"
"stat_users";"Antall brukere"
"stat_surnames";"Antall etternavn"
"stat_individuals";"Personer"
"stat_families";"Familier"
"gedcom_block";"Rammen Slektsbase-info"
"gedcom_favorites_block";"Rammen Favoritter i slektsbasen"
"gedcom_favorites";"Favoritter i denne slektsbasen"
"gedcom_news_block";"Rammen Nyheter for slektsbasen"
"gedcom_news";"Nyheter"
"gedcom_stats";"Statistikk for slektsbasen"
"gedcom_created_using";"Denne slektsbasen ble lagd ved hjelp av <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"<b>#DATE#</b>"
"stat_earliest_birth";"Tidligste fødselsår"
"stat_latest_birth";"Siste fødselsår"
"stat_longest_life";"Person som har levd lengst"
"stat_avg_age_at_death";"Gjennomsnittsalder ved død"
"stat_most_children";"Familie med flest barn"
"stat_average_children";"Gjennomsnittsantall med barn pr. familie"
"html_block_name";"Rammen Enkle beskjeder (HTML)"
"html_block_sample_part1";"<p class="blockhc"><b>Sett inn tittelen din her</b></p><br /><p>Klikk på knappen for oppsett"
"html_block_sample_part2";"for å endre det som skal stå her.</p>"
"config_block";"Endre oppsett for rammen"
"logged_in_users_block";"Rammen Brukere som er logget inn"
"login_block";"Rammen Logg inn"
"random_media_block";"Rammen Tilfeldig utvalgt bilde- / mediefil"
"recent_changes_block";"Rammen Siste endringer"
"review_changes_block";"Rammen Endringer på vent"
"rss_feeds";"RSS lenker"
"theme_select_block";"Rammen Velg stil"
"todays_events_block";"Rammen Årsdag for hendelser i slekten"
"top10_pageviews";"Vist flest ganger"
"block_top10";"Rammen Topp 10 etternavn"
"upcoming_events_block";"Rammen Kommende begivenheter"
"user_news_block";"Rammen Notatblokk for bruker"
"user_favorites_block";"Rammen Brukeres favoritter-personer"
"user_messages_block";"Rammen Bruker-beskjeder"
"welcome_block";"Rammen Bruker/eier-info"
"login";"Logg inn"
"welcome_page";"Hovedside"
"accesskey_home_page";"1"
"help_not_exist";"<b>Hjelpeteksten for denne siden eller delen er ikke lagt inn enda</b>"
"mygedview";"Min GedView"
"charts";"Diagram"
"pedigree_chart";"Anetre"
"descend_chart";"Etterkommere"
"timeline_chart";"Tidslinje"
"relationship_chart";"Slektskap"
"ancestry_chart";"Forfedre"
"fan_chart";"Slekts-hjul"
"hourglass_chart";"Timeglass"
"familybook_chart";"Familiebok"
"lists";"Lister"
"individual_list";"Personer"
"family_list";"Familier"
"patriarch_list";"Stamfedre"
"source_list";"Kilder"
"repo_list";"Oppbevaringssteder"
"place_list";"Stedsnavn"
"alive_in_year";"Levde i året..."
"media_list";"Bilder / medier"
"anniversary_calendar";"Historisk kalender"
"viewday";"Vis dag"
"viewmonth";"Vis måned"
"viewyear";"Vis år"
"reports";"Rapporter"
"clippings_cart";"Utklippsmappe"
"search";"Søk"
"search_general";"Vanlig søk"
"search_soundex";"Slik du tror det er skrevet"
"help_for_this_page";"Hjelp for denne siden"
"help_contents";"Emner i Hjelp"
"faq_list";"Spørsmål & svar"
"hs_title";"Søk i hjelpetekst"
"support_contact";"Teknisk hjelp"
"jan";"januar"
"feb";"februar"
"mar";"mars"
"apr";"april"
"may";"mai"
"jun";"juni"
"jul";"juli"
"aug";"august"
"sep";"september"
"oct";"oktober"
"nov";"november"
"dec";"desember"
"abt";"omkring"
"aft";"etter"
"and";"og"
"bef";"før"
"bet";"mellom"
"cal";"beregnet"
"est";"anslått"
"from";"fra"
"int";"tolket"
"to";"til"
"cir";"cirka"
"apx";"ca"
"NN";"Ukjent"
"PN";"(<i>ukjent</i>)"
"maxviews_exceeded";"Du har ikke tilgang til å se flere sider. - Prøv igjen senere."
"broadcast_not_logged_6mo";"Send beskjed til brukere som ikke har logget seg inn siste 6 måneder"
"broadcast_never_logged_in";"Send beskjed til brukere som aldri har logget seg inn"
"stats_to_show";"Velg statistikker som skal vises i denne rammen"
"no_family_facts";"Ingen faktopplysninger for denne familien."
"sunday_1st";"S"
"monday_1st";"M"
"tuesday_1st";"Ti"
"wednesday_1st";"O"
"thursday_1st";"To"
"friday_1st";"F"
"saturday_1st";"L"
"edit_source";"Rediger kilde"
