"stat_sources";"źródeł, "
"stat_other";"innych danych"
"stat_individuals";"osób, "
"stat_families";"rodzin, "
"gedcom_block";"Blok powitania GEDCOMu"
"gedcom_favorites_block";"Blok głównych postaci GEDCOMu"
"gedcom_favorites";"Główne postacie GEDCOM-u"
"gedcom_news_block";"Blok wiadomości GEDCOM"
"gedcom_news";"Wiadomości"
"gedcom_stats";"Statystyki GEDCOM"
"gedcom_created_using";"Ten GEDCOM został utworzony przez <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"dnia <b>#DATE#</b>"
"html_block_name";"Blok HTML"
"config_block";"Konfiguruj Blok"
"logged_in_users_block";"Blok zalogowanych użytkowników"
"login_block";"Blok logowania"
"random_media_block";"Blok losowych multimediów"
"recent_changes_block";"Blok ostatnich zmian"
"review_changes_block";"Oczekujące zmiany"
"theme_select_block";"Blok zmiany wystroju"
"todays_events_block";"Blok tego dnia w historii"
"top10_pageviews";"Najczęściej przeglądane"
"block_top10";"Blok 10 najpowrzechniejszych nazwisk"
"upcoming_events_block";"Blok nadchodzących wydarzeń"
"user_news_block";"Blok dziennika użytkownika"
"user_favorites_block";"Blok zakładek użytkownika"
"user_messages_block";"Blok wiadomości użytkownika"
"welcome_block";"Blok powitania użytkownika"
"login";"Zaloguj się"
"welcome_page";"Strona powitalna"
"help_not_exist";"<b>Pomoc dla tego elementu lub strony jest niedostępna</b>"
"mygedview";"Portal MyGedView"
"charts";"Wykresy"
"pedigree_chart";"Wykres<br />rodowy"
"descend_chart";"Wykres potomków"
"timeline_chart";"Wykres linii czasu"
"relationship_chart";"Wykres pokrewieństwa"
"ancestry_chart";"Wykres przodków"
"fan_chart";"Wykres kołowy"
"hourglass_chart";"Wykres klepsydrowy"
"lists";"Listy"
"individual_list";"Lista osób"
"family_list";"Lista rodzin"
"patriarch_list";"Lista patriarchów"
"source_list";"Lista źródeł"
"place_list";"Hierarchia miejsc"
"media_list";"Lista multimediów"
"anniversary_calendar";"Kalendarz rocznic"
"viewday";"Pokaż dzień"
"viewmonth";"Pokaż miesiąc"
"viewyear";"Pokaż rok"
"reports";"Raporty"
"clippings_cart";"Koszyk wycinków z drzewa"
"search";"Wyszukwianie"
"help_for_this_page";"Pomoc dla tej strony"
"help_contents";"Pomoc ogólna"
"support_contact";"Kontakt techniczny"
"jan";"Styczeń"
"feb";"Luty"
"mar";"Marzec"
"apr";"Kwiecień"
"may";"Maj"
"jun";"Czerwiec"
"jul";"Lipiec"
"aug";"Sierpień"
"sep";"Wrzesień"
"oct";"Październik"
"nov";"Listopad"
"dec";"Grudzień"
"abt";"około"
"aft";"po"
"and";"i"
"bef";"przed"
"bet";"między"
"cal";"obliczone"
"est";"szacowane"
"from";"od"
"int";"zinterpretowane"
"to";"do"
"cir";"około"
"apx";"w przybl."
"NN";"(nieznane)"
"PN";"(nieznane)"
"cancel";"Anuluj"
"changelog";"Zmiany w wersji #VERSION#"
"html_block_descr";"Jest to prosy blok HTML, który możesz umieścić na swojej stronie aby dodać dowolny rodzaj wiadomości jaki chcesz."
"days_to_show";"Liczba dni to pokazania"
"pls_note12";"Proszę użyj tego pola aby opisać dlaczego prosisz o nowe konto i w jaki sposób jesteś spokrewniony z osobami znajdującymi się w tej genealogii."
"enter_comments";"Proszę wpisać twoje pokrewieństwo to danych w komentarzu"
"comments";"Komentarze"
"none";"Żadne"
"ahnentafel_report";"Wywód przodków"
"child-family";"Rodzice i rodzeństwo"
"spouse-family";"Małżonek/Małżonka i dzieci"
"direct-ancestors";"Przodkowie w lini prostej"
"ancestors";"Przodkowie w bezpośredniej linii i ich rodziny"
"descendants";"Potomkowie"
"choose_relatives";"Wybierz krewnych"
"relatives_report";"Raport krewnych"
"total_living";"Wszystkich żywych"
"total_dead";"Wszystkich zmarłych"
"total_not_born";"Jeszcze nienarodzonych"
"remember_me";"Pamiętaj mnie"
"add_unlinked_person";"Dodaj niepowiązaną osobę"
"fams_with_surname";"Rodziny z nazwiskiem #surname#"
"genealogy_contact";"Kontakt genealogiczny"
"continue_import";"Kontynuuj importowanie miejsc"
"importing_places";"Importowanie miejsc"
"common_upload_errors";"Bład ten prawdopodobnie znaczy, że próbowałeś załadować plik większy niż dozwolona wielkość. Domyślnie w PHP limit jest ustawiony na 2MB. Spróbuj skontakować się z twoim administratorem aby zwiększył limit w pliku php.ini lub załaduj plik używając FTP. Użyj strony <a href="uploadgedcom.php?action=add_form"><b>Dodaj GEDCOM</b></a> po załadowaniu pliku GEDCOM za pomocą FTP."
"total_memory_usage";"Zużycie Pamięci:"
"mothers_family_with";"Matki rodzina z"
"fathers_family_with";"Ojca rodzina z"
"halfbrother";"Przyrodni brat"
"halfsister";"Przyrodnia siostra"
"family_timeline";"Pokaż rodzinę na wykresie czasu"
"children_timeline";"Pokaż dzieci na wykresie czasu"
"other";"Inne"
"sort_by_marriage";"Sortuj według daty ślubu"
"reorder_families";"Uporządkuj rodziny"
"indis_with_surname";"Osoby z nazwiskiem #surname#"
"first_letter_fname";"Wybierz literę aby wyświetlić osoby, których imię zaczyna się od tej litery"
"import_marr_names";"Importuj nazwiska małżeńskie"
"calc_marr_names";"Generowanie nazwisk małżeńskich"
"total_names";"Wszystkich nazwisk"
