"stat_sources";"Fontes, "
"stat_other";"Outros registros"
"stat_individuals";"Pessoas, "
"stat_families";"Famílias, "
"gedcom_block";"Bem-Vindo - Site"
"gedcom_favorites_block";"Favoritos - Site"
"gedcom_favorites";"Favoritos do Site"
"gedcom_news_block";"Notícias"
"gedcom_news";"Notícias"
"gedcom_stats";"Dados Estatísticos"
"gedcom_created_using";"Este arquivo de Árvore Genealógica foi criado usando <b>#SOFTWARE# #VERSION#</b>."
"gedcom_created_on2";"em <b>#DATE#</b>"
"logged_in_users_block";"Usuários Conectados"
"login_block";"Conectar"
"random_media_block";"Imagem Aleatória"
"recent_changes_block";"Últimas Atualizações"
"theme_select_block";"Seleção de Temas"
"todays_events_block";"Este dia em nossa História"
"block_top10";"Sobrenomes Populares"
"upcoming_events_block";"Próximos Eventos"
"user_news_block";"Meu Jornal"
"user_favorites_block";"Meus Favoritos"
"user_messages_block";"Minhas Mensagens"
"welcome_block";"Bem-Vindo - Usuário"
"login";"Conectar"
"welcome_page";"Página Inicial"
"help_not_exist";"<b>Um texto de Ajuda, para esta página ou ítem, ainda não está disponível</b>"
"mygedview";"Meu Portal"
"charts";"Gráficos"
"pedigree_chart";"Árvore Genealógica"
"descend_chart";"Descendentes"
"timeline_chart";"Linha do Tempo"
"relationship_chart";"Relacionamentos"
"ancestry_chart";"Ancestrais"
"fan_chart";"Gráfico de Ascendência"
"hourglass_chart";"Gráfico Hourglass"
"lists";"Listas"
"individual_list";"Pessoas"
"family_list";"Famílias"
"patriarch_list";"Lista Patriarch"
"source_list";"Fontes"
"place_list";"Locais"
"media_list";"Objetos Multimídia"
"anniversary_calendar";"Calendário"
"viewday";"Ver Dia"
"viewmonth";"Ver Mês"
"viewyear";"Ver Ano"
"reports";"Relatórios"
"clippings_cart";"Extração de Dados"
"search";"Pesquisar"
"help_for_this_page";"Ajuda desta página"
"help_contents";"Ajuda Índice"
"jan";"Janeiro"
"feb";"Fevereiro"
"mar";"Março"
"apr";"Abril"
"may";"Maio"
"jun";"Junho"
"jul";"Julho"
"aug";"Agosto"
"sep";"Setembro"
"oct";"Outubro"
"nov";"Novembro"
"dec";"Dezembro"
"abt";"sobre"
"aft";"após"
"and";"e"
"bef";"antes"
"bet";"entre"
"cal";"calculado"
"est";"estimado"
"from";"de"
"int";"interpretado"
"to";"para"
"cir";"aproximadamente"
"apx";"aprox."
"NN";"(Nome desconhecido)"
"PN";"(Prenome desconhecido)"
"cancel";"Cancel"
"none";"Sem Acesso Privado"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"Dados Estatísticos"
"sorry";"<b>Desculpe, nós ainda não completamos o texto de ajuda para esta página ou ítem </b>"
"resolution";"Resolução de tela"
"menu";"Menu"
"header";"Cabeçalho"
"imageview";"Visualizador de Imagens"
"login_head";"Genmod Indentificação de Usuário"
"error_title";"ERRO: Não pude abrir o Arquivo GEDCOM"
"error_header";"O arquivo GEDCOM, [#GEDCOM#], não existe no local informado."
"error_header_write";"O arquivo GEDCOM, [#GEDCOM#], não tem permissão para escrita. Verifique atributos e direitos de acesso."
"for_support";"Para Suporte Técnico e Informações entre em contato com"
"for_contact";"Para Ajuda sobre questões Genealógicas entre em contato com"
"for_all_contact";"Para suporte técnico ou questões Genealógicas, por favor entre em contato com"
"build_title";"Gerando Arquivo de Índices"
"build_error";"O Arquivo GEDCOM foi atualizado."
"please_wait";"Por Favor aguarde enquanto os arquivos de índices são regerados."
"choose_gedcom";"Escolha o arquivo GEDCOM"
"username";"Usuário"
"invalid_username";"Nome do Usuário contém caracteres inválidos"
"password";"Senha"
"confirm";"Confirme Senha"
"user_contact_method";"Método preferido de Contato"
"login_aut";"Alterar Usuário"
"logout";"Desconectar"
"admin";"Administrador"
"logged_in_as";"Conectado como "
"my_pedigree";"Minha Árvore"
"my_indi";"Meus Dados"
"yes";"Sim"
"no";"Não"
"add_gedcom";"Incluir arquivo GEDCOM"
"change_theme";"Temas"
"index_header";"Árvore Genealógica"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# Gerações"
"generations";"Gerações"
"view";"Ver"
"fam_spouse";"Família com cônjuge:"
"root_person";"ID Raiz"
"hide_details";"Esconder Detalhes"
"show_details";"Mostrar Detalhes"
"person_links";"Links para gráficos, famílias e parentes próximos desta pessoa. Clique neste ícone para ver a página começando nesta pessoa."
"zoom_box";"Zoom +/- nesta caixa"
"portrait";"Retrato"
"landscape";"Paisagem"
"start_at_parents";"Iniciar nos Pais"
"max_generation";"O número máximo de gerações é #PEDIGREE_GENERATIONS#."
"min_generation";"O número mínimo de gerações é 3."
"box_width";"Largura"
"unable_to_find_family";"Incapaz de localizar família com este ID"
"unable_to_find_indi";"Incapaz de localizar pessoa com este ID"
"unable_to_find_record";"Incapaz de localizar registro com este ID"
"unable_to_find_source";"Incapaz de localizar fonte com este ID"
"unable_to_find_repo";"Incapaz de localizar um Repositório com este id"
"repo_name";"Nome do Repositório:"
"address";"Endereço:"
"phone";"Telefone:"
"source_name";"Nome da Fonte:"
"title";"Título"
"author";"Autor:"
"publication";"Publicação:"
"call_number";"Número da Chamada:"
"living";"Vivo"
"private";"Privado"
"birth";"Nascimento:"
"death";"Falecimento:"
"place_list_aft";"Locais após"
"not_an_array";"Não é um Array"
"print_preview";"Exibir formato de Impressão"
"cancel_preview";"Voltar ao modo normal de exibição"
"change_lang";"Trocar o Idioma"
"print";"Imprimir"
"total_queries";"Nº de consultas ao Banco de Dados: "
"total_privacy_checks";"Quantidade de verificações de privacidade:"
"back";"Voltar"
"privacy_list_indi_error";"De acordo com as regras de privacidade, estarão ocultas informações de uma ou mais pessoas."
"privacy_list_fam_error";"De acordo com as regras de privacidade, estarão ocultas informações de uma ou mais famílias."
"aka";"AKA('s) Também conhecido(s) como"
"male";"Masculino"
"female";"Feminino"
"temple";"Templo LDS"
"temple_code";"Código Templo LDS:"
"status";"Status"
"source";"Fonte"
"citation";"Citação:"
"text";"Texto da Fonte:"
"note";"Nota"
"unrecognized_code";"Código GEDCOM Desconhecido"
"unrecognized_code_msg";"Isto é um erro, e nós gostaríamos de corrigí-lo. Por favor, informe esse erro para"
