"stat_sources";"Источников,"
"stat_other";"Других записей"
"stat_individuals";"Персон,"
"stat_families";"Семей,"
"gedcom_block";"Блок GEDCOM приветствия"
"gedcom_favorites_block";"Блок GEDCOM фаворитов"
"gedcom_favorites";"Фавориты этого GEDCOM"
"gedcom_news_block";"Блок новостей GEDCOM"
"gedcom_news";"Новости"
"gedcom_stats";"GEDCOM Статистика"
"gedcom_created_using";"Эта GEDCOM база данных была создана с помощью <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"от <b>#DATE#</b>"
"logged_in_users_block";"Блок активных пользователей"
"login_block";"Блок входа"
"random_media_block";"Блок случайного Медиа-объекта"
"recent_changes_block";"Блок последних изменений"
"theme_select_block";"Блок выбора темы"
"todays_events_block";"Блок этого дня"
"block_top10";"Блок 10 лучших фамилий"
"upcoming_events_block";"Блок Наступающих Событий"
"user_news_block";"Блок дневника пользователя"
"user_favorites_block";"Блок фаворитов"
"user_messages_block";"Блок сообщений"
"welcome_block";"Блок приветствия пользователя"
"login";"Вход в программу"
"welcome_page";"Стартовая страница"
"help_not_exist";"<b>Текст помощи об этой странице или объекте пока не готов.</b>"
"mygedview";"Моя GedView страница"
"charts";"Чертежи"
"pedigree_chart";"Восходящее<br />Древо"
"descend_chart";"Нисходящее Древо"
"timeline_chart";"Временная ось"
"relationship_chart";"Родство"
"ancestry_chart";"Восходящее дерево"
"fan_chart";"Веерное дерево"
"hourglass_chart";"Двунаправленное дерево"
"lists";"Списки"
"individual_list";"Список лиц"
"family_list";"Список семей"
"patriarch_list";"Список основателей"
"source_list";"Список источников"
"place_list";"География лиц"
"media_list";"Список фото/аудио/видео"
"anniversary_calendar";"Календарь событий"
"viewday";"Показать день"
"viewmonth";"Показать месяц"
"viewyear";"Показать год"
"reports";"Отчеты"
"clippings_cart";"Вырезать под-древо"
"search";"Поиск"
"help_for_this_page";"Помощь по этой странице"
"help_contents";"Контекстная помощь"
"jan";"январь"
"feb";"февраль"
"mar";"март"
"apr";"апрель"
"may";"май"
"jun";"июнь"
"jul";"июль"
"aug";"август"
"sep";"сентябрь"
"oct";"октябрь"
"nov";"ноябрь"
"dec";"декабрь"
"abt";"приблизительно"
"aft";"после"
"and";"и"
"bef";"до"
"bet";"между"
"cal";"сосчитано"
"est";"предположительно определено"
"from";"от"
"int";"производный"
"to";"до"
"cir";"приблизительно"
"apx";"примерно"
"NN";"(неопределено)"
"PN";"(неопределено)"
"cancel";"Прервать"
"add_unlinked_person";"Присоединить новую "непривязанную" персону"
"qm";"?"
"qm_ah";"?"
"gedcom_stats_block";"Блок GEDCOM статистики"
"sorry";"<b>Извините, текст помощи об этой странице или объекте пока еще не закончен.</b>"
"resolution";"Разрешение экрана"
"menu";"Меню"
"header";"Заголовок"
"imageview";"Просмотрщик изображений"
"login_head";"Genmod Вход Пользователя"
"error_title";"ОШИБКА: Невозможно открыть файл GEDCOM"
"error_header";"Файл GEDCOM, $GEDCOM, отсутствует в заданном оглавлении."
"error_header_write";"GEDCOM-файл, [#GEDCOM#], закрыт на запись. Проверьте аттрибуты доступа к файлу."
"for_support";"За помощью и информацией просьба обращаться по адресу"
"for_contact";"С вопросами по генеологии (база данных) обращаться по адресу"
"for_all_contact";"С вопросами по базе данных и по сайту обращаться по адресу"
"build_title";"Создание индексных файлов"
"build_error";"Обнаружен новый файл GEDCOM."
"please_wait";"Индексные файлы должны быть обновлены, просьба подождать."
"choose_gedcom";"Выберите файл GEDCOM"
"username";"Имя пользователя:"
"invalid_username";"Имя пользователя имеет недопустимые символы."
"password";"Пароль:"
"confirm";"Введите пароль заново:"
"user_contact_method";"Предпочтительный метод связи"
"login_aut";"Мои данные"
"logout";"Выход из программы"
"admin";"Администрирование"
"logged_in_as";"Вы зарегистрированы как"
"my_pedigree";"Мое восходящее дерево"
"my_indi";"Я"
"yes";"Да"
"no";"Нет"
"add_gedcom";"Добавить файл GEDCOM"
"change_theme";"Изменить тему"
"index_header";"Восходящее Древо"
"gen_ped_chart";"Восходящее Древо из $PEDIGREE_GENERATIONS поколений"
"generations";"Поколения:"
"view";"Показать"
"fam_spouse";"Семья с супругом:"
"root_person";"Начинать с персоны под номером ID:"
"hide_details";"Спрятать детали"
"show_details";"Показать детали"
"person_links";"Ссылки на обзор, фамилии и родство с этой персоной."
"zoom_box";"Более расширенные/менее расширенные данные."
"portrait";"Вертикально"
"landscape";"Горизонтально"
"start_at_parents";"Идти на родителей"
"max_generation";"Максимальное количество поколений равно #PEDIGREE_GENERATIONS#."
"min_generation";"Минимальное количество поколений равно 3."
"box_width";"Ширина рамки"
"unable_to_find_family";"Невозможно найти Семью под номером ID:"
"unable_to_find_indi";"Невозможно найти Лицо под номером ID:"
"unable_to_find_record";"Невозможно найти Запись под номером ID:"
"unable_to_find_source";"Невозможно найти Источник под номером ID:"
"unable_to_find_repo";"Невозможно найти Архив под номером ID:"
"repo_name";"Название архива:"
"address";"Адрес:"
"phone";"Телефон:"
"source_name";"Название источника:"
"title";"Заголовок:"
"author";"Автор:"
"publication";"Публикация:"
"call_number";"Шифр:"
"living";"Сведения недоступны"
"private";"Личные сведения (priv&eacute);"
"birth";"Рождение: "
"death";"Кончина: "
"place_list_aft";"Разместите иерархию после"
"not_an_array";"Нет таблицы"
"print_preview";"Просмотр для печати"
"cancel_preview";"Назад к нормальному виду"
"change_lang";"Изменить язык"
"print";"Печатать"
"total_queries";"Количество вопросов по базе данных:"
"total_privacy_checks";"Полная проверка доступа:"
"back";"Назад"
"privacy_list_indi_error";"В соответствии с правами доступа, одна или несколько персон скрыты."
"privacy_list_fam_error";"В соответствии с правами доступа, одна или несколько семей скрыты."
"aka";"Прозвище"
"male";"Муж."
"female";"Жен."
"temple";"Храм мормонов"
"temple_code";"Код Храма мормонов:"
"status";"Статус"
"source";"Источник:"
"citation";"Цитата:"
"text";"Текст:<br />"
"note";"Примечание:"
"unrecognized_code";"Неопознанный тэг GEDCOM"
"unrecognized_code_msg";"Ошибка, надо бы ее исправить. Пожалуйста, сообщите об ошибке"
"indi_info";"Персональные сведения"
"family";"Семья"
"family_with";"Семья и"
"as_spouse";"-я семья<br />в браке"
"as_child";"-я семья<br />в детстве"
"view_gedcom";"Запись в<br />формате GEDCOM"
"add_to_cart";"Вырезать<br />Под-древо"
"still_living_error";"Сведения о ныне живущих недоступны.<br />За дополнительной информацией просьба обращаться по адресу"
"privacy_error";"Детальные сведения об этой персоне являются личными; <br />"
"more_information";"Более полную информацию получить здесь"
"name";"Фамилия, имя, отчество (имена):"
"given_name";"Имя, отчество (имена):"
"surname";"Фамилия:"
"suffix";"Суффикс:"
"object_note";"Примечание к объекту:"
"sex";"Пол:"
"personal_facts";"Подробности биографии"
"type";"Событие"
"date";"Дата"
"place_description";"Место / Описание"
"parents";"Родители:"
"siblings";"Братья/сестры"
"father";"Отец"
"mother";"Мать"
"relatives";"Родство"
"child";"Ребенок"
"spouse";"Супруг(а)"
"surnames";"Фамилии"
"adopted";"Усыновлен/удочерена"
"foster";"Приемный (не родной по крови)"
"sealing";"Закреплено документом"
"no_tab1";"Для этой персоны нету фактов."
"no_tab2";"Для этой персоны нет заметок."
"no_tab3";"Для этой персоны нет источников цитирования."
"no_tab4";"Для этой персоны нет медиа-объектов."
"no_tab5";"Нет закрытых родственных отношений для этой персоны."
"no_tab6";"Никаких исследовательских записей не присоеденено к персоне."
"family_info";"Сведения о семье"
"family_group_info";"Сведения о семье"
"husband";"Супруг:"
"wife";"Супруга:"
"marriage";"Брак:"
"lds_sealing";"Печать мормонов:"
"marriage_license";"Разрешение на брак:"
"media_object";"Фото/аудио/видео объект:"
"children";"Дети"
"no_children";"Сведений о детях нет"
"parents_timeline";"Показать супругов<br />на временной оси"
"clip_cart";"Вырезание Под-древа"
"clip_explaination";"Данный инструмент позволяет вырезать &quot;Под-древа&quot; из Генеалогического Древа данной семьи и соединять их в единый файл формата GEDCOM для последующей загрузки на свой компьютер.<br /><br />"
"item_with_id";"Элемент под номером ID:"
"error_already";"уже находится в Вашей корзине."
"which_links";"Каких родственников этой семьи Вы желали бы добавить?"
"just_family";"Добавить запись лишь об этой семье."
"parents_and_family";"Добавить записи о родителях вместе с записью об этой семье."
"parents_and_child";"Добавить записи о родителях и детях вместе с записью об этой семье."
"parents_desc";"Добавить записи о родителях и всех потомках вместе с записью об этой семье."
"continue";"Продолжить добавление"
"which_p_links";"Каких родственников этого лица Вы желали бы добавить?"
"just_person";"Добавить запись лишь об этом лице."
"person_parents_sibs";"Добавить записи об этом лице, его родителях, братьях и сестрах."
"person_ancestors";"Добавить записи об этом лице и о всех его прямых предках."
"person_ancestor_fams";"Добавить записи об этом лице, о всех его прямых предках и об их семьях."
"person_spouse";"Добавить записи об этом лице, его супруге и детях."
"person_desc";"Добавить записи об этом лице, его супруге и всех потомках."
"unable_to_open";"Невозможно открыть каталог Под-древ на запись"
"person_living";"Это лицо - современник(ца). Персональные сведения о ныне живущих недоступны и включены не будут."
"person_private";"Детальные сведения об этом лице являются личными. Персональные детальные данные не могут быть добавлены."
"family_private";"Детальные данные об этой семье являются личными. Персональные сведения об этой семье недоступны и включены не будут."
"download";"Щелкните правой кнопкой мыши на нижеследующую ссылку и выберите &quot;Save target as&quot; для загрузки файла."
"media_files";"Фото/аудио/видео файлы, на которые ссылается этот файл GEDCOM"
"cart_is_empty";"Ваша корзина пуста."
"id";"Идентификационный номер"
"name_description";"Название / Описание"
"remove";"Убрать"
"empty_cart";"Освободить корзину"
"download_now";"Загрузить файл"
"indi_downloaded_from";"Данные об этом лице загружены из:"
"family_downloaded_from";"Данные об этой семье загружены из:"
"source_downloaded_from";"Источник этой информации загружен из:"
"connections";"Географическая связь найдена<br />посмотреть результаты"
"top_level";"Верхний уровень"
"form";"Географические названия стоят в следующем порядке: "
"default_form";"населенный пункт, уезд/район(уездн./рай. центр), губерния/область(губ./обл. центр)/штат, страна"
"default_form_info";"(стандарт)"
"gedcom_form_info";"(согласно файла GEDCOM)"
"unknown";"Неизвестно"
"individuals";"Список лиц"
"view_records_in_place";"Посмотреть список всех лиц, проживавших тут"
"place_list2";"Список мест"
"show_place_hierarchy";"Показать иерархию мест"
"show_place_list";"Показать все места в виде списка."
"total_unic_places";"Полностью уникальные места"
"multi_title";"Список фото/аудио/видео объектов"
"media_found";"фото/аудио/видео объекты найдены"
"view_person";"Смотреть сведения о лице"
"view_family";"Смотреть сведения о семье"
"view_source";"Смотреть источник"
"prev";"< предыдущий"
"next";"cледующий>"
"file_not_found";"Файл не найден."
"medialist_show";"Показать"
"per_page";"медиа-объектов на странице"
"upload_media";"Выгрузить медиа (фото/аудио/видио) файлы"
"media_file";"Файл фото/аудио/видио"
"thumbnail";"Миниатюрное воспроизведение"
"upload_successful";"Выгрузка завершена успешно"
"search_gedcom";"Поиск по файлу GEDCOM"
"enter_terms";"Введите ключевое слово для поиска:"
"soundex_search";"Фонетический поиск по фамилии (Soundex):"
"sources";"Источники"
"firstname_search";"Имя, отчество:"
"lastname_search";"Фамилия:"
"search_place";"Место:"
"search_year";"Год:"
"no_results";"Информация по запросу не найдена"
"invalid_search_input";"Пожалуйста укажите имя, фамилию или место nt в дополнение к году"
"sources_found";"Источники найдены"
"titles_found";"Заголовки"
"source_info";"Информация по источнику"
"other_records";"Другие записи, ссылающиеся на этот источник:"
"people";"ЛИЦА"
