"stat_sources";"Källor, "
"stat_other";"Andra poster"
"stat_events";"Totalt antal händelser"
"stat_users";"Totalt antal användare"
"stat_surnames";"Totalt anal efternamn"
"stat_individuals";"Personer, "
"stat_families";"Familjer, "
"gedcom_block";"Välkomstområde för GEDCOM-filen"
"gedcom_favorites_block";"Favoriterområdet för GEDCOM-filer"
"gedcom_favorites";"Denna GEDCOM-fils favoriter"
"gedcom_news_block";"GEDCOM-nyhetsområde"
"gedcom_news";"Nyheter"
"gedcom_stats";"GEDCOM-statistik"
"gedcom_created_using";"Denna GEDCOM är skapad av <b>#SOFTWARE# #VERSION#</b>."
"gedcom_created_on2";"den <b>#DATE#</b>"
"stat_earliest_birth";"Tidigaste födelseår"
"stat_latest_birth";"Senaste födelseåret"
"stat_longest_life";"Person som levt längst"
"stat_avg_age_at_death";"Medelålder vid död"
"stat_most_children";"Familj med flest barn"
"stat_average_children";"Genomsnittligt antal barn per familj"
"html_block_name";"HTML-område"
"html_block_sample_part1";"<p class="blockhc"><b>Skriv din titel här</b></p><br /><p>Klicka på konfigureraknappen"
"html_block_sample_part2";"för att ändra vad som skrivs här.</p>"
"config_block";"Konfigurationsområde"
"logged_in_users_block";"Inloggad anvädarområde"
"login_block";"Inloggningsområde"
"random_media_block";"Slumpmässigt mediaområde"
"recent_changes_block";"Nyligen ändrade område"
"review_changes_block";"Ej accepterade ändringar"
"rss_feeds";"RSS matningar"
"theme_select_block";"Tema väljarområde"
"todays_events_block";"På denna dagen..."
"top10_pageviews";"De mest besökta objekten"
"block_top10";"De 10 vanligaste efternamns-området"
"upcoming_events_block";"Kommande händelser-block"
"user_news_block";"Användarens dagboksområde"
"user_favorites_block";"Område med användarens favoriter"
"user_messages_block";"Meddelandeområde för användare"
"welcome_block";"Välkomstblock för användare"
"login";"Logga in"
"welcome_page";"Välkomstsidan"
"accesskey_home_page";"1"
"help_not_exist";"<b>Hjälptext för denna sida eller artikel är inte tillgänglig än</b>"
"mygedview";"Min GedViewPortal"
"charts";"Diagram"
"pedigree_chart";"Antavla"
"descend_chart";"Ättlingar"
"timeline_chart";"Tidslinjediagram"
"relationship_chart";"Relationer"
"ancestry_chart";"An-diagram"
"fan_chart";"Solfjäderdiagram"
"hourglass_chart";"Timglasdiagram"
"familybook_chart";"Familjeboksdiagram"
"lists";"Listor"
"individual_list";"Personer"
"family_list";"Familjer"
"patriarch_list";"Patriarklista"
"source_list";"Källlor"
"repo_list";"Arkivlista"
"place_list";"Orter"
"alive_in_year";"Levde år"
"media_list";"Multimedialista"
"anniversary_calendar";"Historisk kalender"
"viewday";"Visa dag"
"viewmonth";"Visa månad"
"viewyear";"Visa år"
"reports";"Rapporter"
"clippings_cart";"Släktträdsurklippskorg"
"search";"Sök"
"search_general";"Generell sökning"
"search_soundex";"Soundex-sökning"
"help_for_this_page";"Hjälp för denna sida"
"help_contents";"Hjälpinnehåll"
"faq_list";"FAQ lista"
"hs_title";"Hjälptext för sökning"
"support_contact";"Kontakt för teknisk hjälp"
"jan";"Januari"
"feb";"Februari"
"mar";"Mars"
"apr";"April"
"may";"Maj"
"jun";"Juni"
"jul";"Juli"
"aug";"Augusti"
"sep";"September"
"oct";"Oktober"
"nov";"November"
"dec";"December"
"abt";"omkring"
"aft";"efter"
"and";"och"
"bef";"före"
"bet";"mellan"
"cal";"beräknad"
"est";"uppskattat"
"from";"från"
"int";"tolkat"
"to";"till"
"cir";"cirka"
"apx";"ungefär"
"NN";"(Okänt)"
"PN";"(Okänt)"
"maxviews_exceeded";"Det maximala antalet visade sidor har överstigits, försök igen senare."
"broadcast_not_logged_6mo";"Skicka meddelande till användare som inte loggat in på 6 månader"
"broadcast_never_logged_in";"Skicka meddelande till användare som aldrig loggat in"
"stats_to_show";"Välj vilken statestik som ska visas i detta område"
"no_family_facts";"Inga fakta om denna familj."
"sunday_1st";"S"
"monday_1st";"M"
"tuesday_1st";"Ti"
"wednesday_1st";"O"
"thursday_1st";"To"
"friday_1st";"F"
"saturday_1st";"L"
"edit_source";"Redigera källa"
"source_menu";"Val för källor"
"user_auto_accept";"Acceptera ändringar för denna användare automatiskt"
"cancel";"Avbryt"
"change";"Ändra"
"change_family_instr";"Använd denna sida att lägga till eller tabort familjemedlemmar.<br /><br />För varje medlem i familjen kan du använda ändra länken för att välja en annan person att ta platsen i familjen. Du kan också tabortlänken för att tabort personen från familjen.<br /><br />När du är klar med ändringarna av familjemedlemmarna ska du klicka på spara-knappen för att spara ändringarna.<br />"
"change_family_members";"Ändra familjemedlemmar"
"delete_family_confirm";"Radering av familjen kommer att koppla loss alla personerna ifrån familjen men kommer att lämna alla personerna orörda. Är du säker på att du ska radera familjen?"
"delete_family";"Radera familj"
"add_favorite";"Lägg till en ny favorit"
"url";"URL"
"add_fav_enter_note";"Skriv en frivillig notering om denna favorit"
"add_fav_or_enter_url";"ELLER<br />Skriv in en URL och en titel"
"add_fav_enter_id";"Skriv in ett person-, familj- eller käll- id"
"import_time_exceeded";"Exekveringstidens gräns nåddes. Klicka på fortsätt nedan för att fortsätta importera GEDCOM-filen."
"next_email_sent";"Nästa epostpåminnelse kommer att skickas efter "
"last_email_sent";"Senaste epostpåminnelse skickades "
"confirm_remove";"Är du säker på att du vill ta bort denna person ifrån familjen?"
"remove_child";"Tabort detta barn från familjen"
"link_new_husb";"Lägg till en make för en existerande person"
"link_new_wife";"Lägg till en maka för en existerande person"
"address_labels";"Adressetikett"
"filter_address";"Visa adresser som innehåler:"
"address_list";"Adresslista"
"autocomplete";"Autokompletera"
"index_edit_advice";"Markera ett områdes namn, klicka sedan på en av pilikonerna för att flytta det markerade området i pilens riktning."
"importing_dates";"Importera datumposter"
"changelog";"Ändringar i #VERSION#"
"view_changelog";"Visa changelog.txt-filen"
"html_block_descr";"Detta är ett enkelt HTML-område som du kan sätta på dina sida för att lägga till valfri information i."
"num_to_show";"Antal objekt att visa"
"days_to_show";"Antal dagar att visa"
"before_or_after";"Placera räknare före eller efter namn?"
"before";"före"
"after";"efter"
"pls_note12";"Var vänlig och beskriv varför du begär ett konto för denna sajt och vad du har för släktförhållande till den genealogiska datan på sajten."
"enter_comments";"Var vänlig och beskriv ditt förhållande till släkten i kommentarfältet."
"comments";"Kommentarer"
"none";"Inga"
"ahnentafel_report";"Antavelrapport"
"child-family";"Föräldrar och syskon"
"spouse-family";"Make/maka och barn"
"direct-ancestors";"Rakt nedstigande förfäder"
"ancestors";"Rakt nedstigande förfäder och deras familjer"
"descendants";"Ättlingar"
"choose_relatives";"Välj släkting"
"relatives_report";"Släktrapport"
"total_living";"Totalt antal levande"
"total_dead";"Totalt antal döda"
"total_not_born";"Totalt antal ännu ej födda"
