"select_an_option";"選擇一個選擇如下::"
"login";"登錄"
"welcome_page";"新聞和資訊頁"
"help_not_exist";"幫助文本, 為這個頁或項目, 不是可利用的"
"mygedview";"MyGedView"
"charts";"圖表"
"pedigree_chart";"家譜圖表"
"descend_chart";"子項圖表"
"timeline_chart";"時間安排圖"
"relationship_chart";"關係圖"
"lists";"列表"
"individual_list";"單獨列表"
"family_list";"系列列表"
"source_list";"來源列表"
"place_list";"安置層次結構"
"media_list";"多媒體列表"
"anniversary_calendar";"週年紀念日曆"
"viewday";"視圖日"
"viewmonth";"視圖月份"
"reports";"報表"
"clippings_cart";"系族樹剪報購物車"
"search";"搜索"
"help_for_this_page";"幫助使用這頁"
"help_contents";"幫助目錄"
"jan";"一月"
"feb";"二月"
"mar";"三月"
"apr";"四月"
"may";"五月"
"jun";"六月"
"jul";"七月"
"aug";"八月"
"sep";"九月"
"oct";"十月"
"nov";"十一月"
"dec";"十二月"
"abt";"關於"
"aft";"以後"
"and";"並且"
"bef";"以前"
"bet";"在之間"
"cal";"計算"
"est";"估計"
"from";"從"
"int";"解釋"
"cir";"大約"
"apx";"大約"
"NN";"(未知)"
"PN";"(未知)"
"cancel";"取消"
"quick_update_title";"快速更新"
"quick_update_instructions";"這頁允許您快速更新資訊為單個。 您只需要填好新建或更改了從的資訊什麼當前是在這個網站。 在您的更改被提交之後他們將由站點管理員覆核在您能看他們聯機之前。"
"update_name";"更新名字"
"update_photo";"更新相片"
"photo_replace";"您想要用這一個替換一張更舊的相片嗎?"
"select_fact";"選擇一個情況..."
"update_address";"更新地址"
"add_new_chil";"添加新建子項"
"qm";"？"
"sorry";"對不起, 我們未完成幫助文本為這個頁"
"resolution";"屏幕解決方法"
"menu";"菜單"
"header";"標頭"
"error_title";"錯誤: 不能打開GEDCOM 文件"
"error_header";"GEDCOM 文件, [#GEDCOM#], 不存在在被指定的地點。"
"for_support";"為技術支持和資訊聯絡"
"for_contact";"為幫助以譜學問題聯絡"
"for_all_contact";"為技術支持或譜學問題, 請聯絡"
"build_title";"大廈索引文件"
"build_error";"GEDCOM 文件被更新了。"
"please_wait";"請等待當索引文件必須被重建。"
"choose_gedcom";"選擇GEDCOM 資料集"
"username";"帳號"
"password";"密碼"
"confirm";"證實密碼"
"logout";"註銷"
"admin";"管理"
"logged_in_as";"登錄 "
"my_pedigree";"我的家譜"
"my_indi";"我的單個"
"yes";"是"
"no";"不"
"add_gedcom";"添加其它GEDCOM"
"index_header";"家譜結構樹"
"gen_ped_chart";"#PEDIGREE_GENERATIONS# 生成家譜圖表"
"generations";"生成"
"view";"視圖"
"fam_spouse";"系列與配偶:"
"root_person";"根人員身份證:"
"hide_details";"隱藏詳細資料"
"show_details";"顯示詳細資料"
"person_links";"圖表的連結, 系列, 並且這個人員的近親。"
"zoom_box";"迅速移動/在這個配件箱。"
"portrait";"高圖表"
"landscape";"寬圖表"
"start_at_parents";"開始在爸爸媽媽"
"unable_to_find_family";"無法找到系列"
"unable_to_find_indi";"無法找到單個"
"unable_to_find_record";"無法查找記錄"
"unable_to_find_source";"無法查找來源"
"unable_to_find_repo";"無法查找程式庫"
"repo_name";"程式庫名字:"
"address";"地址:"
"phone";"電話:"
"source_name";"來源名字:"
"title";"稱謂:"
"author";"作者:"
"publication";"發行:"
"call_number";"索書號:"
"living";"居住"
"private";"專用"
"birth";"誕生:"
"death";"死亡:"
"not_an_array";"不是列陣"
"print_preview";"列印預覽"
"change_lang";"更改語言"
"print";"列印"
"total_queries";"總資料庫查詢: "
"back";"返回"
"male";"馬律"
"female";"女性"
"temple";"LDS 寺廟"
"temple_code";"LDS 寺廟編碼:"
"status";"狀態"
"source";"來源:"
"citation";"引證:"
"text";"源文本:"
"note";"注:"
"unrecognized_code";"未被認出的GEDCOM 編碼"
"indi_info";"單獨資訊"
"family";"家"
"family_with";"家庭成員"
"as_spouse";"系列與配偶"
"as_child";"系列以父項"
"view_gedcom";"圖GEDCOM 記錄"
"add_to_cart";"添加來剪報購物車"
"still_living_error";"這個人員居住或仍然不安排誕生或死亡日期被記錄。  生存人員所有詳細資料被隱藏從公共視圖。<br />為更多資訊聯絡"
"privacy_error";"詳細資料在這個人員專用。<br />"
"more_information";"為更多資訊聯絡"
"name";"名字:"
"given_name";"指定的名字:"
"surname";"姓氏:"
"suffix";"後綴:"
"object_note";"對象附註:"
"sex";"性別"
