"ABBR";"Afkorting"
"ADDR";"Adres"
"ADOP";"Adoptie"
"ADR1";"Adres 1"
"ADR2";"Adres 2"
"AFN";"Bestandsnummer stamvaders (AFN)"
"AGE";"Leeftijd"
"AGNC";"Instantie"
"ALIA";"Verwijzing"
"ANCE";"Voorouders"
"ANCI";"Onderzoek naar voorouders"
"ANUL";"Vernietiging"
"ASSO";"Gerelateerd persoon"
"AUTH";"Auteur"
"BAPL";"LDS Doop"
"BAPM";"Gedoopt"
"BARM";"Bar mitswa"
"BASM";"Bas mitswa"
"BIRT";"Geboorte"
"BLES";"Zegening"
"BLOB";"Binaire data"
"BURI";"Begrafenis"
"CALN";"Inventarisnummer"
"CAST";"Kaste / sociale status"
"CAUS";"Oorzaak"
"CEME";"Begraafplaats"
"CENS";"Volkstelling"
"CHAN";"Laatste wijziging"
"CHAR";"Karakterset"
"CHIL";"Kind"
"CHR";"Gedoopt"
"CHRA";"Volwassen doop"
"CITN";"Staatsburgerschap"
"CITY";"Stad"
"COMM";"Commentaar"
"CONF";"Bevestiging"
"CONL";"LDS bevestiging"
"COPR";"Copyright"
"CORP";"Bedrijf"
"CREM";"Crematie"
"CTRY";"Land"
"DATA";"Data"
"DATE";"Datum"
"DEAT";"Overleden"
"DESC";"Nakomelingen"
"DESI";"Onderzoek naar nakomelingen"
"DEST";"Bestemming"
"DIV";"Scheiding"
"DIVF";"Scheiding ingeschreven"
"DSCR";"Fysieke beschrijving"
"EDUC";"Opleiding"
"EMAIL";"E-mailadres"
"EMAL";"E-mailadres"
"EMIG";"Emigratie"
"ENDL";"LDS gave"
"ENGA";"Verloving"
"EVEN";"Gebeurtenis"
"FACT";"Feit"
"FAM";"Gezin"
"FAMC";"Gezinsleden van kind"
"FAMF";"Gezinsbestand"
"FAMS";"Gezinsleden van ega"
"FAX";"Fax"
"FCOM";"Eerste communie"
"FILE";"Extern bestand"
"FONE";"Fonetisch"
"FORM";"Formaat"
"GIVN";"Voorna(a)m(en)"
"GNOTE";"Gedeelde notitie"
"GRAD";"Geslaagd"
"HUSB";"Partner"
"IDNO";"Identificatienummer"
"IMMI";"Immigratie"
"LATI";"Breedtegraad"
"LEGA";"Legataris"
"LONG";"Lengtegraad"
"MAP";"Landkaart"
"MARB";"Ondertrouw"
"MARC";"Huwelijkscontract"
"MARL";"Huwelijkstoestemming"
"MARR";"Huwelijk"
"MARR_CIVIL";"Burgerlijk huwelijk"
"MARR_PARTNERS";"Geregistreerd partnerschap"
"MARR_RELIGIOUS";"Kerkelijk huwelijk"
"MARR_UNKNOWN";"Gewoon huwelijk"
"MARS";"Huwelijksvoorwaarden"
"MEDI";"Multimediatype"
"NAME";"Naam"
"NATI";"Nationaliteit"
"NATU";"Naturalisatie"
"NCHI";"Aantal kinderen"
"NICK";"Roepnaam"
"NMR";"Aantal huwelijken"
"NOTE";"Notitie"
"NPFX";"Voorvoegsel"
"NSFX";"Achtervoegsel"
"OBJE";"Multimedia-object"
"OCCU";"Beroep"
"ORDI";"Ritueel"
"ORDN";"Wijding"
"PAGE";"Details citaat"
"PEDI";"Relatie kind/ouders"
"PHON";"Telefoon"
"PLAC";"Plaats"
"POST";"Postcode"
"PROB";"Wilserkenning"
"PROP";"Eigendom"
"PUBL";"Publicatie"
"QUAY";"Kwaliteit van de gegevens"
"REFN";"Referentienummer"
"RELA";"Relatie"
"RELI";"Religie"
"REPO";"Bewaarplaats"
"RESI";"Woonplaats"
"RESN";"Beperking"
"RETI";"Pensioen"
"RFN";"Record bestandsnummer"
