"ABBR";"Skrót"
"ADDR";"Adres"
"ADOP";"Adopcja"
"ADR1";"Adres 1"
"ADR2";"Adres 2"
"AFN";"Numer Ancestral File (AFN)"
"AGE";"Wiek"
"AGNC";"Agencja"
"ALIA";"Inaczej"
"ANCE";"Przodkowie"
"ANCI";"Udział przodków"
"ANUL";"Unieważnienie"
"ASSO";"Połączenia"
"AUTH";"Autor(ka)"
"BAPL";"Chrzest Mormoński"
"BAPM";"Chrzest"
"BARM";"Bar Mitzva"
"BASM";"Bas Mitzva"
"BIRT";"Narodziny"
"BLES";"Błogosławieństwo"
"BLOB";"Obiekt binarny"
"BURI";"Pogrzeb"
"CALN";"Numer źródła"
"CAST";"Kasta / Status społeczny"
"CAUS";"Przyczyna śmierci"
"CEME";"Cmentarz"
"CENS";"Spis powszechny"
"CHAN";"Ostatnia zmiana"
"CHAR";"Zestaw znaków"
"CHIL";"Dziecko"
"CHR";"Chrzciny"
"CHRA";"Chrzciny dorosłego"
"CITN";"Obywatelstwo"
"CITY";"Miasto"
"COMM";"Komentarz"
"CONF";"Bierzmowanie"
"CONL";"Bierzmowanie Mormońskie"
"COPR";"Prawa autorskie"
"CORP";"Korporacja / Firma"
"CREM";"Kremacja"
"CTRY";"Kraj"
"DATA";"Dane"
"DATE";"Data"
"DEAT";"Śmierć"
"DESC";"Potomkowie"
"DESI";"Udział potomków"
"DEST";"Cel"
"DIV";"Rozwód"
"DIVF";"Uzyskanie rozwodu"
"DSCR";"Opis"
"EDUC";"Edukacja"
"EMAIL";"Adres email"
"EMIG";"Emigracja"
"ENDL";"Posag Mormoński"
"ENGA";"Zaręczyny"
"EVEN";"Wydarzenie"
"FACT";"Fakt"
"FAM";"Rodzina"
"FAMC";"W rodzinie jako dziecko"
"FAMF";"Dane rodziny"
"FAMS";"W rodzinie jako małżonek"
"FAX";"FAX"
"FCOM";"Pierwsza Komunia"
"FILE";"Zewnętrzny plik"
"FONE";"Fonetycznie"
"FORM";"Format"
"GIVN";"Imię (Imiona)"
"GRAD";"Ukończenie studiów"
"IDNO";"Numer Identyfikacyjny"
"IMMI";"Imigracja"
"LATI";"Szerokość geograficzna"
"LEGA";"Legatariusz / Zapisobiorca"
"LONG";"Długość geograficzna"
"MAP";"Mapa"
"MARB";"Zapowiedzi"
"MARC";"Kontrakt małżeński"
"MARL";"Licencja małżeńska"
"MARR";"Ślub"
"MARR_CIVIL";"Ślub cywilny"
"MARR_PARTNERS";"Zarejestrowane partnerstwo"
"MARR_RELIGIOUS";"Ślub kościelny"
