"ABBREVIATE_CHART_LABELS";"קצר תגים בתרשימים"
"ALLOW_CHANGE_GEDCOM";"הרשה מעבר בין GEDCOM-ים"
"ALLOW_EDIT_GEDCOM";"אפשר עריכה מקוונת"
"ALLOW_REMEMBER_ME";"הראה את האופציה <b>זכור אותי</b> על דף ההתחברות"
"ALLOW_THEME_DROPDOWN";"הראה את הבחירה הנגללת של שינויי העיצוב"
"ALLOW_USER_THEMES";"אפשר למשתמשים לבחור עיצוב"
"ALPHA_INDEX_LISTS";"פרק רשימה ארוכה לפי אות ראשונה"
"AUTO_GENERATE_THUMBS";"תמונות מזעריות שנוצרו בצורה אוטומטית"
"CALENDAR_FORMAT";"מבנה לוח שנה"
"CHANGELOG_CREATE";"שמור קבצי לוג של השינויים"
"CHARACTER_SET";"סוג קידוד תווים"
"CHART_BOX_TAGS";"נתונים אחרים שניתן להציג בתרשימים"
"CHECK_CHILD_DATES";"בדוק תאריכי ילדים"
"CHECK_MARRIAGE_RELATIONS";"בדוק קשרי נישואין"
"COMMON_NAMES_ADD";"שמות שיש להוסיף לרשימת שמות המשפחה השכיחים (הפרד ע"י פסיק)"
"COMMON_NAMES_REMOVE";"שמות שיש להסיר מרשימת שמות המשפחה השכיחים (הפרד ע"י פסיק)"
"COMMON_NAMES_THRESHOLD";"הכמות המינימלית של מקרים כדי להכלל ב-"שמות המשפחה השכיחים""
"CONTACT_EMAIL";"הקשר לנתוני שושלת יוחסין"
"CONTACT_METHOD";"שיטת הקשר"
"DAYS_TO_SHOW_LIMIT";"הגבלת הימים באזור האירועים הקרובים"
"DBHOST";"מארח מסד נתונים"
"DBNAME";"שם מסד הנתונים"
"DBPASS";"סיסמת מסד הנתונים"
"DBUSER";"קוד משתמש של מסד נתונים"
"DEFAULT_GEDCOM";"ברירת מחדל"
"DEFAULT_PEDIGREE_GENERATIONS";"מספר דורות באילן יוחסין"
"DISPLAY_JEWISH_GERESHAYIM";"הראה גרשיים בתאריך עברי"
"DISPLAY_JEWISH_THOUSANDS";"הראה אלפים בתאריך עברי"
"EDIT_AUTOCLOSE";"סגור אוטומטית חלון עריכה"
"ENABLE_CLIPPINGS_CART";"אפשר עגלת גזירות"
"ENABLE_MULTI_LANGUAGE";"האם כל משתמש יכול לשנות שפה"
"EXPAND_RELATIVES_EVENTS";"הרחב בצורה אוטומטית את רשימת המאורעות"
"FAM_ID_PREFIX";"קידומת קוד זיהוי של משפחה"
"FAVICON";"צלמית של מועדפים"
"GEDCOM_DEFAULT_TAB";"חוצץ ברירת המחדל שיוצג על דף הנתונים האישיים"
"GEDCOM_ID_PREFIX";"קידומת קוד זיהוי אישי "
"GM_MEMORY_LIMIT";"גודל הזיכרון המוקצה ל-PHP"
"GM_SESSION_SAVE_PATH";"נתיב לשמירת נתונים"
"GM_SESSION_TIME";"פסק-זמן מתחברות עד לניתוק אוטומטי"
"GM_SIMPLE_MAIL";"השתמש בכותרות פשוטות של דואר עבור דואר חיצוני"
"GM_STORE_MESSAGES";"הרשה שמירת הודעות מקוונת"
"Genmod_message";"Genmod הודעת"
"HIDE_GEDCOM_ERRORS";"החבא שגיאות GEDCOM"
"HIDE_LIVE_PEOPLE";"אפשר פרטיות"
"HOME_SITE_TEXT";"טכסט של האתר הראשי"
"HOME_SITE_URL";"URL של האתר הראשי"
"INDEX_DIRECTORY";"תיקיית קובץ אינדקסים"
"JEWISH_ASHKENAZ_PRONUNCIATION";"הגייה אשכנזית"
"LANGUAGE";"שפה"
"LANG_SELECTION";"שפות נתמכות"
"LINK_ICONS";"הופעת תיבות קישור בתיבת התרשימים"
"LOGFILE_CREATE";"גנוז קבצי יומן"
"LOGIN_URL";"URL של התחברות"
"MAX_ALIVE_AGE";"גיל שממנו מניחים שאדם ניפטר"
