"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"ALLOW_CHANGE_GEDCOM";"Tillat bytting av slektsbaser"
"ALLOW_EDIT_GEDCOM";"Aktivere online-redigering"
"ALLOW_REMEMBER_ME";"Vis valget <b>Husk meg</b> på siden Logg inn"
"ALLOW_THEME_DROPDOWN";"Vis valgfelt for å bytte Stil"
"ALLOW_USER_THEMES";"Tillat brukere å velge<br />deres egen stil"
"ALPHA_INDEX_LISTS";"Del opp lange lister etter etternavnenes første bokstav"
"AUTO_GENERATE_THUMBS";"Lage automatisk miniatyrbilder"
"CALENDAR_FORMAT";"Format på kalender"
"CHANGELOG_CREATE";"Arkiver endring-logg-filer"
"CHARACTER_SET";"Tegnsett"
"CHART_BOX_TAGS";"Vise andre fakta i diagram"
"CHECK_CHILD_DATES";"Sjekk datoer til barn"
"CHECK_MARRIAGE_RELATIONS";"Sjekk ekteskapsbånd"
"COMMON_NAMES_ADD";"Legg til følgende etternavn i listen <i>Mest brukte etternavn</i> (komma-separert)"
"COMMON_NAMES_REMOVE";"Fjern følgende etternavn i listen <i>Mest brukte etternavn</i> (komma-separert)"
"COMMON_NAMES_THRESHOLD";"Antall ganger et etternavn<br />må finnes for å vises i<br /><i>Mest brukte etternavn</i>"
"CONTACT_EMAIL";"Kontaktperson for slektsspørsmål"
"CONTACT_METHOD";"Kontaktmåte (slekt)"
"DAYS_TO_SHOW_LIMIT";"Antall dager for rammen Kommende hendelser"
"DBHOST";"Database-vert"
"DBNAME";"Database-navn"
"DBPASS";"Database-passord"
"DBPERSIST";"Bruk vedvarende database-forbindelse"
"DBUSER";"Database-brukernavn"
"DEFAULT_GEDCOM";"Standard slektsbase "
"DEFAULT_PEDIGREE_GENERATIONS";"Antall generasjoner i diagram / trær"
"DISPLAY_JEWISH_GERESHAYIM";"Vis hebraisk Geyrshayim"
"DISPLAY_JEWISH_THOUSANDS";"Vis hebraiske tusentall"
"EDIT_AUTOCLOSE";"Lukk automatisk vindu for redigering"
"ENABLE_CLIPPINGS_CART";"Aktivere utklippsmappen"
"ENABLE_MULTI_LANGUAGE";"Tillat brukere å skifte språk"
"EXPAND_RELATIVES_EVENTS";"Utvid automatisk listen med hendelser"
"FAM_FACTS_ADD";"Legg til familiefakta"
"FAM_FACTS_UNIQUE";"Unik familiefakta"
"FAM_ID_PREFIX";"Prefiks til Familie-ID"
"FAVICON";"Mappe til favoritt-ikon"
"GEDCOM_DEFAULT_TAB";"Standard ark/kort som skal vises på faktasiden til personer"
"GEDCOM_ID_PREFIX";"GEDCOM ID prefiks"
"GM_MEMORY_LIMIT";"Maks Minnegrense"
"GM_SESSION_SAVE_PATH";"Logg-lagrings-sti"
"GM_SESSION_TIME";"Logg-inn timeout"
"GM_SIMPLE_MAIL";"Bruk enkel epost-hode i eksterne epost-meldinger"
"GM_STORE_MESSAGES";"Tillat at beskjeder<br />blir lagret online"
"Genmod_message";"Genmod beskjed"
"HIDE_GEDCOM_ERRORS";"Skjul GEDCOM feilmeldinger"
"HIDE_LIVE_PEOPLE";"Aktivere <b>personvern</b>"
"HOME_SITE_TEXT";"Tittelen på hjemmesiden din"
"HOME_SITE_URL";"URL til hjemmesiden din"
"INDEX_DIRECTORY";"Mappe for indekseringsfil"
"INDI_FACTS_ADD";"Legg til personfakta"
"INDI_FACTS_UNIQUE";"Unik personfakta"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jødisk Ashkenazi uttale"
"LANGUAGE";"Språk"
"LANG_SELECTION";"Støttede språk"
"LINK_ICONS";"Ikon for "undermeny" i diagrambokser"
"LOGFILE_CREATE";"Arkiver logfiler"
"LOGIN_URL";"Logg inn URL"
"MAX_ALIVE_AGE";"Antatt maks levetid for en person"
"MAX_DESCENDANCY_GENERATIONS";"Maks generasjoner for etterkommere"
"MAX_PEDIGREE_GENERATIONS";"Maks generasjoner for aner/forfedre"
"MAX_RELATION_PATH_LENGTH";"Maks steglengde for slektskap"
"MAX_VIEW_RATE";"Vis maks antall sider"
