"messaging2_help";"Po wysłaniu tej wiadomości otrzymasz jej kopię na adres email, który podałeś."
"gd_helplink";"http://www.php.net/gd"
"edit_URL_help";"Wpisz adres URL wraz z http://.<br /><br />Przykładowy adres URL wygląda tak: <b>http://www.phpgedview.net/</b> Pozostaw to pole puste jeśli nie chcesz wpisywać adresu URL."
"edit_EMAIL_help";"Wpisz adres poczty elektronicznej (email).<br /><br />Przykładowy adres wygląda w następujący sposób: <b>name@hotmail.com</b> Pozostaw to pole wolne jeśli nie chcesz podawać adresu email."
"edit_FAX_help";"Wpisz numer faksu włączając numer kierunkowy kraju i miasta.<br /><br /> Pozostaw to pole puste jeśli nie chcesz wpisywać numeru faksu. Przykładowy numer dla Niemiec wygląda w tak: +49 25859 56 76 89 a numer dla USA lub Kanady: +1 888 555-1212.|"
"edit_PHON_help";"Wpisz numer telefonu wraz z numerem kierunkowym kraju i miasta.<br/><br/>Pozostaw to pole puste jeśnie nie chcesz wpisywać numeru telefonu. Na przykład numer do Niemiec wygląda w następujący sposób: +49 2567 78 47 47."
"edit_ADDR_help";"Wpisz adres pocztowy tak samo jakbyś napisał go na kopercie .<br /><br />Pozostaw te pole puste jeśli nie chcesz wpisywać adresu."
"context_help";"Więcej pomocy jest dostępne przez kliknięcie <b>?</b> obok wybranej pozycji na stronie."
"register_comments_help";"~#gm_lang[comments]#~<br /><br />Użyj tego pola aby przekazać administratorowi dlaczego prosisz o zalożenie konta i w jaki sposób jesteś spokrewniony/a z rodziną, której genealogia znajduje się na tej stroenie. Możesz także wisać inny kommentarz jak chcesz przesłać administratorowi."
"edit_NCHI_help";"~#factarray[NCHI]#~<br /><br />Wpisz liczbę dziedzi jaką miała dana osoba. Jest to pole opcjonalne.<br /><br />"
"edit_TIME_help";"~#factarray[TIME]# HELP~<br /><br />Wpisz czas wydarzenia. Właściwy format HH:MM. Przykłady: 04:50 13:00 20:30.<br /><br />"
"edit_NOTE_help";"~#factarray[NOTE]# HELP~<br /><br />Jest to wolne miejsce na dowolny tekst, który ukaże się w częsci szczegóły zdarzenia..<br /><br />"
"edit_CEME_help";"~#factarray[CEME]# HELP~<br /><br />Wpisz nazwę cmentarza lub innego miejsce pochówku gdzie dana osoba została pochowana.<br /><br />"
"edit__THUM_help";"~#factarray[_THUM]#~<br /><br />To pole pozwala zaznaczyć wybraną miniaturkę zdjęcia, która będzie użyta na wykresach nawet jeżeli miniaturka nie istnieje dla danego zdjęcia.<br /><br />"
"edit_add_parent_help";"~DODAJ NOWĄ  MATKĘ LUB OJCA~<br/><br/>Na tej stronie możesz dodać do danej osoby nową matkę lub ojca. Wpisz dla tej nowej osoby informację o narodzinach i śmierci jeśli są znane. Pozostaw pola puste dla informacji, których nie znasz. <br/><br/>Aby dodać inne nowe wydarzenia(poza informacjami o narodzinach i śmierci) do dodanej osoby należy najpierw zapisać zmiany w bazie danych.Następnie kliknij na nazwisko osoby na zaktualzowanej stronie rodziny albo zakładkę #gm_lang[relatives]#  aby prześć do strony #gm_lang[indi_info]#. Na stronie #gm_lang[indi_info]# bardziej szczegółowe informacje.<br/><br/>"
