"messaging2_help";"Bu mesajın bir kopyası belirlediğiniz E-posta adresinize gönderilecektir."
"more_config_help";"<br /><b>Ayrıntılı yardım</b><br />Ayrıntılı yardım form içinde mevcuttur. Bu yardıma ulaşmak için lütfen gerektiğinde <b>?</b> (soru işaretlerine) tıklayın.<br />"
"index_help";"~Tercümanlara~<br />Bu yardım mesajı daha tamamlanmamıştır. Mesajı tercüme edebilirsiniz ama daha bir kaç değişiklik yapılacaktır.<br />Bu size bir yardım sayfasının nasıl görünmesinin gerektiğini göstermek içindir.</b><br /><br /><br /><b>İNDEKS SAYFASI.</b><br /><br /><b>*)</b> ile işaretlenmiş kelimeler bu yardım mesajının sonunda açıklanmıştır.<br /><br />Bu giriş sayfası*) aktüel olarak kullanınlan GEDCOM dosyasının*) ilk sayfasıdır.<br /><br />v3.0 versiyonunun hayata geçirilmesinden beri Genmod*) yazılımının yüzü değişmiştir.<br />Artık daha iyi bir menu sistemi vardır, giriş sayfası değişmiştir ve bir çok yeni öğe eklenmiş yada geliştirilmiştir.<br /><br />#gm_lang[menu_help]#<br />#gm_lang[menuu_help]#<br /><br />#gm_lang[index_portal_blocks_help]#<br /><br /><br /><br />At the right of some links, drop-down boxes or buttons you may find a Question Mark. Clicking this ? will pop-up this little help screen with some more information<br /><br />* LOGIN<br />Although you can login on almost every page of this program, mostly you want to do so at the first page, since you can only access the permitted information when you are logged in.<br />You login by clicking the link "Login" at the top of the page.<br />Visitors who like to apply for a username and password, also click the "Login" link.<br /><br /><br /><br />Some explanations of words, used in this help text:<br /><b>Portal</b><br />Also on this web site a Portal is like a lobby of a restaurant. It is the place where you enter, but you can also find important information like explainations, menus etc..<br /><b>Gedcom file</b><br />The Gedcom file is the file that contains all the information about the family.<br />All facts, dates, events, etc. are stored in the Gedcom file.<br />A Gedcom file has to follow strict rules, because it is exchangeable between many programs, independent of platforms and/or systems.<br /><b>Genmod</b><br />Genmod (or GM) is a program, designed by John Finlay, to view the Gedcom files on line.<br />As you see, this program is not just putting static pages on the web, but is dynamic and can be customized in many ways.<br />John started developing the program on his own, but in the meanwhile a whole, international, team of developers and translators is working together to improve the program.<br />Apart from just viewing the Gedom files, the user can add and edit events on line now.<br /><br /><br />BU YARDIM MESAJI DAHA GELİŞTİRİLMEKTEDİR."
"show_full_help";"~DETAYLARI GÖSTER YADA SAKLA~<br /><br />Bu seçenek ile şahıs kutularında gösterilen tüm detayları ya gösterebilir yada saklayabirsiniz.<br />Detaylar saklandığında ekranınızda ayni anda normal ayara oranla bir kaç kutu daha görebilirsiniz.<br /><br />Eğer detayları saklamayı tercih ediyorsanız but detayları farenizi büyüteçin (eğer bu sitenin yöneticisi ayarlar bölümünde bu seçeneğe izin vermişse) üzerine getirerek görebilirsiniz.<br /><br />If you normally have to click on the magnifying glass to zoom in, then you can reveal details as well by clicking on the name box.<br />If you normally zoom in, just by hoovering over the magnifying glass, then it will work the same way when you hoover over the "simple"box."
"talloffset_help";"~EKRANIN BİÇİM AYARI~<br /><br />Bu seçenek ile ekranın biçimini ayarlayabilirsiniz.<br />Bu ayarı niye değiştirmeniz gerekebilir?<br />Eğer ekranda gördüğünüzü printerinizde yazdırmak istiyorsanız yada ekranınızın ölçümü normal bir ekranınkine benzemiyorsa, bu seçenek size yardımcı olabilir"
"rootid_help";"~YENİ KÖK ŞAHIS~<br /><br />Diğer bir şahısın soy ağacını görmek istiyorsanız yandaki kutya bu şahısın İD (tanımlayıcı) numarasını yazabilirsiniz. <br />Görmek istediğiniz şahısın İD numarasını bilmiyorsanız <b>>Şahıs seç<</b> bağlantısını kullanıp şahısı dırek olarak bir listeden seçebilirsiniz.<br /><br /><b>İD NUMARASI</b><br />Genmod yazılımında kullanılan İD numarası şahıslarının kimlik numarası değildir!<br />Burada kullanılan İD numarası sırf bu GEDCOM veritabanında bulunan şahıslara otomatik olarak verilmiş bir tanımlayıcı numarasıdır!"
"PEDIGREE_GENERATIONS_help";"~GÖSTERİLEN NESİL SAYISI~<br /><br />Bu sayı sayfada görünen soy ağacında ayni anda gösterilen nesillerin sayısıdır.<br />Siyin için uygun olan sayı ekranınızın ölçüsüne ve detayları saklayıp saklamadığınıza bağlıdır."
"login_page_help";"~GİRİŞ (LOGİN) SAYFASI~<br /><br />Bu sayfadan bu siteye giriş yapabilirsiniz.<br />Eğer sitenin üyesiyseniz unuttuğunuz bir şifrenin yerine yeni bir şifre, yada siteye yeni üyelik isteminde bulunabilirsiniz.<br />Daha ayrıntılı yardımı kutularının yada bağlantıların yanındaki <b>?</b> işaretine tıklayarak bulabilirsiniz."
"username_help";"~RUMUZ (USER NAME)~<br /><br />Bu kutuya rumuzunuzu işleyebilirsiniz.<br />Lütfen dikkat edin: Sistem rumuzunuzda büyük ve küçük harf arasında ayırd ediyor."
"password_help";"~ŞİFRE~<br /><br />Bu kutuya rumuzunuza bağlı olan şifrenizi işleyebilirsiniz.<br />Lütfen dikkat edin: Sistem şifrenizde büyük ve küçük harf arasında ayırd ediyor."
"new_password_help";"~YENİ ŞİFRE İSTEMİ~<br /><br />Eğer sitenin üyesiyseniz bu bağlantıya tıklayıp unuttuğunuz şifrenin yerine yeni bir şifre isteminde bulunabilirsiniz."
