"stat_sources";"Nguồn,"
"stat_other";"Ký lục khác"
"stat_individuals";"Nhân Vật,"
"stat_families";"Gia Đình,"
"gedcom_favorites";"Ưa Chuộng của GEDCOM này"
"gedcom_news";"Tin tức"
"gedcom_stats";"Thống Kê GEDCOM"
"gedcom_created_using";"Cái GEDCOM này gây ra bởi <b>#SOFTWARE# #VERSION#</b>"
"gedcom_created_on2";"từ ngày <b>#DATE#</b>"
"html_block_name";"Đoạn HTML"
"config_block";"Định hình thể của đoạn"
"random_media_block";"Đoạn Môi Thể tuyển lựa tình cờ"
"recent_changes_block";"Đoạn Thay Đổi Mới Đây"
"todays_events_block";"Đoạn Sự Việc Trong Ngảy Nay"
"upcoming_events_block";"Đoạn Sự Việc Sắp Xảy Tới "
"user_news_block";"Khối nhật ký của thành viên"
"login";"Đăng nhập"
"welcome_page";"Trang Chào Mừng"
"help_not_exist";"<b>Hướng dẫn cho trang hay món này chưa có.</b>"
"mygedview";"Trang GedView của Tôi"
"charts";"Đồ Thị"
"pedigree_chart";"Đồ Thị Dòng Giống "
"descend_chart";"Đồ Thị Con Cái"
"timeline_chart";"Đồ Thị theo Lịch Sử"
"relationship_chart";"Đồ Thị Họ Hàng"
"ancestry_chart";"Bản Đồ Tổ Tiên"
"hourglass_chart";"Bản Đồ Đồng Hồ Cát"
"lists";"Danh Sách"
"individual_list";"Danh Sách Từng Người"
"family_list";"Danh Sách Từng Gia Đình"
"patriarch_list";"Danh Sách Ông Tổ"
"source_list";"Danh Sách của những Nguồn"
"repo_list";"Danh Sách của những Nơi Tàng Trữ"
"place_list";"Danh Sách của những Nơi"
"alive_in_year";"Còn Sống trong Năm"
"media_list";"Danh Sách của những Ða Môi Thể"
"anniversary_calendar";"Lịch của những Ngày Kỷ Niệm"
"viewday";"Coi Ngày"
"viewmonth";"Coi Tháng"
"viewyear";"Coi Năm"
"reports";"Bản Báo Cáo"
"clippings_cart";"Lấy Dữ Liệu"
"search";"Tìm Kiếm"
"search_general";"Tìm đại thể"
"search_soundex";"Tìm theo nói"
"help_for_this_page";"Hướng dẫn cho trang này"
"help_contents";"Nội dung của Hướng dẫn"
"support_contact";"Cần hướng dẫn kỹ thuật"
"jan";"Tháng Giêng"
"feb";"Tháng Hai"
"mar";"Tháng Ba"
"apr";"Tháng Tư"
"may";"Tháng Nam"
"jun";"Tháng Sáu"
"jul";"Tháng Bảy"
"aug";"Tháng Tám"
"sep";"Tháng Chín"
"oct";"Tháng Mười"
"nov";"Tháng Mười Một"
"dec";"Tháng Mười Hai"
"abt";"vào khoảng"
"aft";"sau"
"and";"và"
"bef";"trước"
"bet";"giữa"
"cal";"đếm được"
"est";"ước đoán"
"from";"từ"
"int";"Hiểu là"
"to";"tới"
"cir";"vào khoảng"
"apx";"xấp xỉ"
"NN";"(vô danh)"
"PN";"(không biết tuổi)"
"changelog";"Khác đổi của bản số #VERSION#"
"html_block_descr";"Đây là một đoạn HTML bạn có thể để trong trang của bạn đặng thêm bất cứ thông báo nào bạn muốn."
"num_to_show";"Số món đặng trưng bày"
"days_to_show";"Số ngày đặng trưng bày"
"pls_note12";"Xin cho biẽt tại sao bạn muốn tài khoản trên website này và liên hệ của bạn với bảng phả hệ ở đây."
"enter_comments";"Xin cho biẽt liên hệ của bạn với tài liệu trong chổ bình luận."
"comments";"Bình Luận"
"none";"Không hạn chế"
"ahnentafel_report";"Bản Báo Cáo Ahnentafel"
"child-family";"Bố Mẹ và Anh(Chị) Em"
"spouse-family";"Thư Nhân và Con Cái"
"direct-ancestors";"Tổ tiên trực hệ"
"ancestors";"Tổ tiên trực hệ cùng gia đình"
"descendants";"Những người nối dõi"
"choose_relatives";"Chọn họ hàng"
"relatives_report";"Báo Cáo theo Họ Hàng"
"total_living";"Tổng số còn sống"
"total_dead";"Tổng số chết"
"total_not_born";"Tổng số chưa sinh"
"remove_custom_tags";"Bỏ những thẻ của GM? (eg. _GMU, _THUM)"
"remember_me";"Nhớ tôi ở trên máy điện toán này"
"add_unlinked_person";"Thêm người lẻ"
"fams_with_surname";"Gia đình với tên họ #surname#"
"genealogy_contact";"Người đầu mối liên lạc về gia phả"
"continue_import";"Tiếp tục lấy vào những nơi"
"importing_places";"Lấy vào những ký lục nơi"
"total_memory_usage";"Tổng số Bộ Nhớ đang sài:"
"mothers_family_with";"Gia đình của mẹ với "
"fathers_family_with";"Gia đình của bố với "
"halfbrother";"Anh (em) cùng cha khác mẹ, anh (em) cùng mẹ khác cha"
"halfsister";"Chị (em) cùng cha khác mẹ, chị (em) cùng mẹ khác cha"
"family_timeline";"Coi lịch sử gia đình"
"children_timeline";"Coi lịch sử con cái"
"other";"Cái khác"
"sort_by_marriage";"Sắp xếp theo ngày kết hôn"
"reorder_families";"Sắp xếp gia đình theo thứ tự"
"first_letter_fname";"Chọn một chữ đặng coi những cá nhân có tên gọi bắt đầu bằng chữ đó"
"import_marr_names";"Lấy vào những Tên Sau Khi Lập Gia-Đình"
"marr_name_import_instr";"Nhấn vào nút dưới này nếu bạn muốn Genmod đếm những tên sau khi lập gia-đình trong GEDCOM này. Cái này cho bạn tìm và liệt kê đàn bà theo tên sau khi lập gia-đình."
"calc_marr_names";"Đếm những Tên Sau Khi Lập Gia-Đình"
"total_names";"Tổng số những Tên"
"show_spouses";"Cho xem Thư Nhân"
"quick_update_title";"Sửa nhanh nhẹn"
